	('PC1Loading 0',)	('PC2Loading 1',)
(' 209', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-p90RSK(S380)')	-0.9363	1.8387
(' 210', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-p90RSK(T573)')	-0.98591	1.7524
(' 211', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-AKT(T308)')		
(' 212', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-AKT(S473)')	-2.0692	1.2582
(' 213', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-mTOR(S2448)')	-2.3686	1.3136
(' 214', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	-1.6294	0.50825
(' 215', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-p70S6K(T389)')	1.2702	1.0484
(' 216', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-S6(S235/236)')	1.5436	0.65013
(' 217', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-AMPK(T172)')	-2.7774	2.4237
(' 218', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	-1.9497	1.4012
(' 219', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: Total c-Jun')	1.3875	1.0382
(' 220', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-cJun(S63)')	0.3818	0.65797
(' 221', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	-0.97295	0.77814
(' 222', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-HSP27(S82)')	-1.2142	0.86781
(' 223', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-NFKB(S536)')	-2.7548	0.72246
(' 224', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: Bim')	-2.415	0.90851
(' 225', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: cPARP')	-1.9067	0.6682
(' 226', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-1.6206	0.18084
(' 227', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p27 Kip1')	-1.1048	0.13724
(' 228', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-p90RSK(S380)')	2.6117	2.7458
(' 229', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-p90RSK(T573)')	2.0036	2.2052
(' 230', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-AKT(T308)')		
(' 231', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-AKT(S473)')	-0.081963	1.7676
(' 232', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-mTOR(S2448)')	2.3315	2.8477
(' 233', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	4.3853	1.846
(' 234', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-p70S6K(T389)')	4.5455	1.402
(' 235', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-S6(S235/236)')	5.6351	1.4824
(' 236', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-AMPK(T172)')	2.3841	1.7462
(' 237', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	2.2425	2.5253
(' 238', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: Total c-Jun')	4.0281	1.2292
(' 239', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-cJun(S63)')	3.3243	1.2097
(' 240', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	1.8419	1.3769
(' 241', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-HSP27(S82)')	1.1663	1.5252
(' 242', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-NFKB(S536)')	1.5672	1.2809
(' 243', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: Bim')	-0.56647	0.76614
(' 244', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: cPARP')	0.60038	1.6388
(' 245', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-Histone H3(S10)')	-0.67023	0.38668
(' 246', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p27 Kip1')	-1.6734	0.10721
(' 247', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-p90RSK(S380)')	-5.1267	1.2954
(' 248', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-p90RSK(T573)')	-3.2167	2.0677
(' 249', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-AKT(T308)')		
(' 250', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-AKT(S473)')	-5.8567	1.2082
(' 251', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-mTOR(S2448)')	-2.2347	1.2498
(' 252', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	-2.9073	0.72683
(' 253', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-p70S6K(T389)')	2.2434	0.72263
(' 254', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-S6(S235/236)')	4.3821	1.1113
(' 255', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-AMPK(T172)')	0.53946	0.97046
(' 256', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	-5.1505	1.4832
(' 257', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: Total c-Jun')	-2.023	0.49681
(' 258', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-cJun(S63)')	-2.4499	0.32614
(' 259', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	-4.3377	0.79723
(' 260', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-HSP27(S82)')	-4.3222	0.55263
(' 261', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-NFKB(S536)')	-5.3083	0.31391
(' 262', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: Bim')	-5.8314	-0.015859
(' 263', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: cPARP')	-5.5932	1.0455
(' 264', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-Histone H3(S10)')	2.9477	0.65925
(' 265', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p27 Kip1')	-6.1412	-0.28155
(' 266', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-p90RSK(S380)')	-6.2815	1.093
(' 267', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-p90RSK(T573)')	-4.4396	1.6226
(' 268', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-AKT(T308)')		
(' 269', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-AKT(S473)')	-7.0106	-0.038579
(' 270', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-mTOR(S2448)')	-2.3769	1.7218
(' 271', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	-5.0373	0.43839
(' 272', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-p70S6K(T389)')	-0.75079	0.11929
(' 273', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-S6(S235/236)')	2.728	0.53886
(' 274', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-AMPK(T172)')	-5.1243	0.70245
(' 275', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	-6.0154	0.83886
(' 276', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: Total c-Jun')	-6.4918	0.010789
(' 277', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-cJun(S63)')	-7.3117	-0.15137
(' 278', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	-6.427	1.077
(' 279', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-HSP27(S82)')	-6.5903	-0.084163
(' 280', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-NFKB(S536)')	-7.0752	0.67174
(' 281', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: Bim')	-6.6752	0.27411
(' 282', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: cPARP')	-6.8699	1.0312
(' 283', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-Histone H3(S10)')	6.5676	0.31298
(' 284', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p27 Kip1')	-8.0477	0.19757
(' 285', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-p90RSK(S380)')	2.0992	-1.4087
(' 286', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-p90RSK(T573)')	1.2346	-0.75513
(' 287', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-AKT(T308)')		
(' 288', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-AKT(S473)')	1.5973	0.25148
(' 289', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-mTOR(S2448)')	2.9443	-2.0575
(' 290', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	3.5736	-2.0774
(' 291', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-p70S6K(T389)')	3.1266	-1.6801
(' 292', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-S6(S235/236)')	0.13664	-0.41927
(' 293', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-AMPK(T172)')	2.8491	-1.6273
(' 294', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	2.6827	-1.4087
(' 295', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: Total c-Jun')	1.6244	-0.88426
(' 296', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-cJun(S63)')	1.735	-1.6441
(' 297', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	3.8479	-1.8903
(' 298', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-HSP27(S82)')	2.7342	-1.9973
(' 299', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-NFKB(S536)')	3.7943	-2.5393
(' 300', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: Bim')	3.5821	-0.86495
(' 301', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: cPARP')	2.6159	-0.88816
(' 302', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-Histone H3(S10)')	0.86121	0.2023
(' 303', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p27 Kip1')	2.4768	-1.8474
(' 304', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-p90RSK(S380)')	1.5963	1.7052
(' 305', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-p90RSK(T573)')	1.0429	0.60809
(' 306', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-AKT(T308)')		
(' 307', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-AKT(S473)')	0.28859	2.0026
(' 308', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-mTOR(S2448)')	1.2889	1.5217
(' 309', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	1.0407	1.8828
(' 310', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-p70S6K(T389)')	1.2758	1.8264
(' 311', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-S6(S235/236)')	0.67326	-0.09839
(' 312', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-AMPK(T172)')	0.5597	1.6436
(' 313', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	1.1455	1.3507
(' 314', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: Total c-Jun')	1.35	0.37604
(' 315', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-cJun(S63)')	-0.58397	-0.27823
(' 316', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	0.45082	1.7186
(' 317', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-HSP27(S82)')	1.2785	0.79376
(' 318', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-NFKB(S536)')	0.83022	2.4206
(' 319', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: Bim')	1.1128	1.9781
(' 320', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: cPARP')	1.0074	1.9375
(' 321', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-Histone H3(S10)')	0.31803	1.1424
(' 322', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p27 Kip1')	1.3132	0.16415
(' 323', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-p90RSK(S380)')	3.149	-1.2124
(' 324', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-p90RSK(T573)')	2.5228	-0.4901
(' 325', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-AKT(T308)')		
(' 326', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-AKT(S473)')	2.2895	-0.33653
(' 327', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-mTOR(S2448)')	3.8786	-1.7093
(' 328', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	3.7341	-1.5883
(' 329', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-p70S6K(T389)')	3.5218	-1.684
(' 330', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-S6(S235/236)')	1.3948	-0.56202
(' 331', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-AMPK(T172)')	2.4644	-1.249
(' 332', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	3.0499	-1.0742
(' 333', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: Total c-Jun')	2.4327	-1.1405
(' 334', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-cJun(S63)')	0.95479	-2.0446
(' 335', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	2.8909	-1.4694
(' 336', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-HSP27(S82)')	2.8822	-1.673
(' 337', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-NFKB(S536)')	4.1993	-1.2846
(' 338', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: Bim')	3.0897	-0.95133
(' 339', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: cPARP')	2.3985	-0.62375
(' 340', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-Histone H3(S10)')	1.5128	-0.2696
(' 341', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p27 Kip1')	1.5214	-0.9988
(' 342', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-p90RSK(S380)')	2.6012	1.2704
(' 343', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-p90RSK(T573)')	1.184	0.50146
(' 344', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-AKT(T308)')		
(' 345', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-AKT(S473)')	-0.16581	1.58
(' 346', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-mTOR(S2448)')	1.6099	1.2526
(' 347', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	1.3297	1.6321
(' 348', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-p70S6K(T389)')	2.4695	1.7802
(' 349', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-S6(S235/236)')	1.4114	-0.2042
(' 350', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-AMPK(T172)')	-0.090578	1.4904
(' 351', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	1.3154	1.8536
(' 352', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: Total c-Jun')	1.821	-0.070874
(' 353', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-cJun(S63)')	0.29077	-0.46001
(' 354', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	0.96614	1.5432
(' 355', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-HSP27(S82)')	1.2605	0.51399
(' 356', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-NFKB(S536)')	1.1905	1.6193
(' 357', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: Bim')	0.58901	2.1534
(' 358', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: cPARP')	0.65458	1.8969
(' 359', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-Histone H3(S10)')	4.0123	1.2002
(' 360', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p27 Kip1')	0.20392	-0.39136
(' 361', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-p90RSK(S380)')	1.5451	-0.060328
(' 362', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-p90RSK(T573)')	0.21866	-0.14161
(' 363', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-AKT(T308)')		
(' 364', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-AKT(S473)')	1.2724	-1.37
(' 365', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-mTOR(S2448)')	1.1378	-0.86291
(' 366', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	1.7654	-1.8201
(' 367', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-p70S6K(T389)')	2.2766	-1.2557
(' 368', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-S6(S235/236)')	-0.48195	0.73247
(' 369', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-AMPK(T172)')	-0.41897	-1.5695
(' 370', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	0.78232	-0.97404
(' 371', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: Total c-Jun')	0.87113	-0.68673
(' 372', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-cJun(S63)')	-0.69371	-1.2827
(' 373', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	0.85795	-0.79429
(' 374', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-HSP27(S82)')	0.62521	-1.4883
(' 375', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-NFKB(S536)')	0.47359	0.11448
(' 376', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: Bim')	0.061771	-0.8767
(' 377', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: cPARP')	0.20754	-0.070128
(' 378', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-Histone H3(S10)')	3.7804	0.53335
(' 379', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p27 Kip1')	-0.19682	-1.1294
(' 380', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p-p90RSK(S380)')	4.8313	-0.59006
(' 381', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p-p90RSK(T573)')	2.9705	-0.45467
(' 382', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p-AKT(T308)')		
(' 383', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p-AKT(S473)')	1.8797	-1.2021
(' 384', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p-mTOR(S2448)')	3.7476	-0.99595
(' 385', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	4.3661	-1.8192
(' 386', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p-p70S6K(T389)')	4.2293	-0.20444
(' 387', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p-S6(S235/236)')	1.6086	0.082395
(' 388', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p-AMPK(T172)')	3.7267	-1.0766
(' 389', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	3.9011	-0.032763
(' 390', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: Total c-Jun')	4.0758	-0.37925
(' 391', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p-cJun(S63)')	3.0495	-0.26049
(' 392', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	4.9216	0.759
(' 393', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p-HSP27(S82)')	3.1113	0.0037243
(' 394', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p-NFKB(S536)')	3.0117	-1.5915
(' 395', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: Bim')	2.3342	-1.1456
(' 396', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: cPARP')	2.7317	-0.63696
(' 397', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p-Histone H3(S10)')	1.2522	-0.29564
(' 398', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 1', 'variable: p27 Kip1')	2.6515	-1.4579
(' 399', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 5', 'variable: p-p90RSK(S380)')	-2.2838	0.21402
(' 400', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 5', 'variable: p-p90RSK(T573)')	-2.4695	0.17693
(' 401', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 5', 'variable: p-AKT(T308)')		
(' 402', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 5', 'variable: p-AKT(S473)')	-4.4946	-0.92136
(' 403', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 5', 'variable: p-mTOR(S2448)')	-3.798	0.13167
(' 404', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	-2.2938	-0.82898
(' 405', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 5', 'variable: p-p70S6K(T389)')	-3.2934	1.1308
(' 406', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 5', 'variable: p-S6(S235/236)')	1.2568	0.52988
(' 407', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 5', 'variable: p-AMPK(T172)')	-3.4641	-0.69623
(' 408', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	-3.7741	0.55959
(' 409', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 5', 'variable: Total c-Jun')	1.3946	0.87369
(' 410', 'clName: MMAC-SF', 'clCenterSpecificID: 50999', 'timePoint: 5', 'variable: p-cJun(S63)')	-3.7113	-0.34678
