	('meanlog10(k) (a.u.) 0',)	('meantau(min) 1',)	('survivingFraction 2',)	('classificationAccuracy(theta_T) 3',)	('classificationAccuracy(fate boundary) 4',)
(' 62', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 100', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.5969	107.2881	0.37288	0.72155	0.7046
(' 63', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 100', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-4.9454	157.5059	0.38771	0.85106	0.72104
(' 64', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 200', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-4.9368	155.5995	0.38609	0.81055	0.7482
(' 65', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 200', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.883	139.229	0.45805	0.839	0.70068
(' 66', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 2.5', 'antibodyConcUnit: nM', 'Antibody2Concentration: 2.5', 'Antibody2ConcUnit: nM', 'replicate: 1')	-5.018	168.6104	0.58182	0.83117	0.71688
(' 67', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 2.5', 'antibodyConcUnit: nM', 'Antibody2Concentration: 2.5', 'Antibody2ConcUnit: nM', 'replicate: 2')	-5.1403	181.8431	0.49412	0.9	0.78824
(' 68', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 5', 'antibodyConcUnit: nM', 'Antibody2Concentration: 5', 'Antibody2ConcUnit: nM', 'replicate: 1')	-4.8022	134.658	0.47557	0.7101	0.61238
(' 69', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 5', 'antibodyConcUnit: nM', 'Antibody2Concentration: 5', 'Antibody2ConcUnit: nM', 'replicate: 2')	-4.9285	153.1692	0.3469	0.89079	0.76445
(' 70', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 5', 'antibodyConcUnit: nM', 'Antibody2Concentration: 5', 'Antibody2ConcUnit: nM', 'replicate: 3')	-4.936	145.1482	0.54987	0.8221	0.67925
(' 71', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 10', 'antibodyConcUnit: nM', 'Antibody2Concentration: 10', 'Antibody2ConcUnit: nM', 'replicate: 1')	-4.4936	83.0851	0.30851	0.68617	0.65691
(' 72', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 10', 'antibodyConcUnit: nM', 'Antibody2Concentration: 10', 'Antibody2ConcUnit: nM', 'replicate: 2')	-4.6312	107.8715	0.40554	0.74559	0.66751
(' 73', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 10', 'antibodyConcUnit: nM', 'Antibody2Concentration: 10', 'Antibody2ConcUnit: nM', 'replicate: 3')	-4.6803	110.9162	0.28796	0.84817	0.79581
(' 74', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: 25', 'Antibody2ConcUnit: nM', 'replicate: 1')	-4.5002	85.1585	0.26761	0.73592	0.70775
(' 75', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: 25', 'Antibody2ConcUnit: nM', 'replicate: 2')	-4.5497	92.1239	0.38053	0.66372	0.64307
(' 76', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: 25', 'Antibody2ConcUnit: nM', 'replicate: 3')	-4.5385	92.8286	0.23794	0.8386	0.78369
(' 77', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 100', 'antibodyConcUnit: nM', 'Antibody2Concentration: 100', 'Antibody2ConcUnit: nM', 'replicate: 1')	-4.5002	87.7636	0.27273	0.80364	0.73091
(' 78', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 100', 'antibodyConcUnit: nM', 'Antibody2Concentration: 100', 'Antibody2ConcUnit: nM', 'replicate: 2')	-4.5664	88.4746	0.36949	0.65085	0.6678
(' 79', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 100', 'antibodyConcUnit: nM', 'Antibody2Concentration: 100', 'Antibody2ConcUnit: nM', 'replicate: 3')	-4.5381	86.0039	0.21832	0.84016	0.79337
(' 80', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 200', 'antibodyConcUnit: nM', 'Antibody2Concentration: 200', 'Antibody2ConcUnit: nM', 'replicate: 1')	-4.5205	86.018	0.22754	0.82635	0.8004
(' 81', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 200', 'antibodyConcUnit: nM', 'Antibody2Concentration: 200', 'Antibody2ConcUnit: nM', 'replicate: 2')	-4.6931	101.5925	0.43794	0.79391	0.66979
('Bortezomib 82', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: ', 'antibodyConcentration: 10', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.4735	338.705	0.033573	0.89448	0.31894
('Bortezomib 83', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: ', 'antibodyConcentration: 10', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-5.4682	319.6967	0.07465	0.86936	0.30949
('Bortezomib 84', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: ', 'antibodyConcentration: 10', 'antibodyConcUnit: nM', 'Antibody2Concentration: 10', 'Antibody2ConcUnit: nM', 'replicate: 1')	-4.7025	139.7368	0.011164	0.92026	0.78469
('Bortezomib 85', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Mapatumumab', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: ', 'antibodyConcentration: 10', 'antibodyConcUnit: nM', 'Antibody2Concentration: 10', 'Antibody2ConcUnit: nM', 'replicate: 2')	-4.9333	186.2624	0.009901	0.90759	0.68812
(' 86', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-6.4442	211.4919	0.96774	0.97581	0.75806
(' 87', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-6.4472	249.8519	0.95556	0.97037	0.88148
(' 88', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-6.3652	263.51	0.87679	0.87966	0.88252
(' 89', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 4')	-6.6698	260.1646	0.88889	0.893	0.83951
(' 90', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 5')	-6.5762	309.2188	0.90144	0.90865	0.88462
(' 91', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 6')	-6.5322	267.1805	0.83835	0.85338	0.84962
(' 92', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 50', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-6.3902	285.0388	0.95349	0.95349	0.85271
(' 93', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 50', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-6.48	250.9659	0.97159	0.98864	0.80682
(' 94', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 100', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-6.1277	217.8947	0.93421	0.92763	0.77632
(' 95', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 100', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-6.3092	231.7647	0.97059	0.98529	0.85294
(' 96', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 100', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-6.5386	273.3562	0.91096	0.95205	0.84932
(' 97', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 200', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-6.2459	250.2333	0.94	0.96667	0.85333
(' 98', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 200', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-6.3401	213.4375	0.92857	0.94643	0.78571
(' 99', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: 25', 'Antibody2ConcUnit: nM', 'replicate: 1')	-5.5678	236.0268	0.84821	0.90179	0.77679
(' 100', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: 25', 'Antibody2ConcUnit: nM', 'replicate: 2')	-5.7009	239.289	0.83945	0.94037	0.83028
(' 101', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: 25', 'Antibody2ConcUnit: nM', 'replicate: 3')	-6.5225	286.186	0.87601	0.8841	0.86523
(' 102', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: 25', 'Antibody2ConcUnit: nM', 'replicate: 4')	-6.1219	272.4815	0.90741	0.92963	0.88889
(' 103', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: 25', 'Antibody2ConcUnit: nM', 'replicate: 5')	-6.311	302.5813	0.87202	0.90672	0.84816
(' 104', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: 25', 'Antibody2ConcUnit: nM', 'replicate: 6')	-5.7308	240.3203	0.8078	0.91922	0.84401
(' 105', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 50', 'antibodyConcUnit: nM', 'Antibody2Concentration: 50', 'Antibody2ConcUnit: nM', 'replicate: 1')	-5.5022	240.5143	0.79429	0.93143	0.81143
(' 106', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 50', 'antibodyConcUnit: nM', 'Antibody2Concentration: 50', 'Antibody2ConcUnit: nM', 'replicate: 2')	-5.5784	216.2613	0.81982	0.96396	0.81532
(' 107', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 100', 'antibodyConcUnit: nM', 'Antibody2Concentration: 100', 'Antibody2ConcUnit: nM', 'replicate: 1')	-5.5851	246.195	0.84277	0.91195	0.75472
(' 108', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 100', 'antibodyConcUnit: nM', 'Antibody2Concentration: 100', 'Antibody2ConcUnit: nM', 'replicate: 2')	-5.5724	204.0816	0.80952	0.89116	0.78231
(' 109', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 100', 'antibodyConcUnit: nM', 'Antibody2Concentration: 100', 'Antibody2ConcUnit: nM', 'replicate: 3')	-5.6745	243.5165	0.86264	0.94505	0.84066
(' 110', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 200', 'antibodyConcUnit: nM', 'Antibody2Concentration: 200', 'Antibody2ConcUnit: nM', 'replicate: 1')	-5.7349	280.2	0.79429	0.92571	0.84
(' 111', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: ', 'antibodyConcentration: 200', 'antibodyConcUnit: nM', 'Antibody2Concentration: 200', 'Antibody2ConcUnit: nM', 'replicate: 2')	-5.8045	251.2577	0.89571	0.95706	0.8773
('Bortezomib 112', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-6.1959	481.7639	0.80106	0.96817	0.7878
('Bortezomib 113', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-5.3931	331.3306	0.08316	0.86694	0.49064
('Bortezomib 114', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 3')	-6.3549	445.1084	0.88889	0.98103	0.88889
('Bortezomib 115', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 4')	-6.211	485.6552	0.81379	0.97069	0.80517
('Bortezomib 116', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: nM', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 5')	-6.0476	472.6445	0.68308	0.94218	0.72805
('Bortezomib 117', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: ng/ml', 'Antibody2Concentration: 25', 'Antibody2ConcUnit: ng/ml', 'replicate: 1')	-5.2952	298.2392	0.072581	0.94086	0.48387
('Bortezomib 118', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: ng/ml', 'Antibody2Concentration: 25', 'Antibody2ConcUnit: ng/ml', 'replicate: 2')	-5.363	315.93	0.077295	0.87923	0.49275
('Bortezomib 119', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: ng/ml', 'Antibody2Concentration: 25', 'Antibody2ConcUnit: ng/ml', 'replicate: 3')	-5.8698	409.375	0.5675	0.8875	0.6825
('Bortezomib 120', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: ng/ml', 'Antibody2Concentration: 25', 'Antibody2ConcUnit: ng/ml', 'replicate: 4')	-5.5584	395.299	0.16279	0.92691	0.51163
('Bortezomib 121', 'smCenterCompoundID: 10241.0', 'smCenterSampleID: 2.0', 'smName: Bortezomib', 'clName: HeLa ICRP', 'clCenterSpecificID: 51102', 'antibodyName: Apomab', 'smallMolConcentration: 100', 'smallMolConcUnit: nM', 'proteinConcentration: ', 'antibodyConcentration: 25', 'antibodyConcUnit: ng/ml', 'Antibody2Concentration: 25', 'Antibody2ConcUnit: ng/ml', 'replicate: 5')	-5.4413	331.4063	0.075893	0.91071	0.41295
(' 122', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP FLIP-L-mCherry', 'clCenterSpecificID: 51103', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 1')	-5.0406	132.6481	0.79094	0.90941	0.73519
(' 123', 'smCenterCompoundID: ', 'smCenterSampleID: ', 'smName: ', 'clName: HeLa ICRP FLIP-L-mCherry', 'clCenterSpecificID: 51103', 'antibodyName: ', 'smallMolConcentration: ', 'smallMolConcUnit: ', 'proteinConcentration: 250', 'antibodyConcentration: ', 'antibodyConcUnit: ', 'Antibody2Concentration: ', 'Antibody2ConcUnit: ', 'replicate: 2')	-4.7583	97.0362	0.79638	0.86878	0.59276
