	('cellCount 0',)	('percentApoptoticCells 1',)
('1132 813', 'recordedWell: D14', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	356.0	0.0
('1133 814', 'recordedWell: D14', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	404.0	0.0
('1134 815', 'recordedWell: D14', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	854.0	5.737705
('1135 816', 'recordedWell: D15', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 11.11111333')	219.0	0.456621
('1136 817', 'recordedWell: D15', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 11.11111333')	218.0	0.458716
('1137 818', 'recordedWell: D15', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 11.11111333')	180.0	3.333333
('1138 819', 'recordedWell: D16', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 33.33333333')	149.0	9.395973
('1139 820', 'recordedWell: D16', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 33.33333333')	181.0	46.961327
('1140 821', 'recordedWell: D16', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 33.33333333')	164.0	60.365852
('1141 822', 'recordedWell: D17', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.015243333')	381.0	0.787402
('1142 823', 'recordedWell: D17', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.015243333')	477.0	1.257862
('1143 824', 'recordedWell: D17', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.015243333')	1071.0	12.885154
('1144 825', 'recordedWell: D18', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 33.33333333')	249.0	14.056225
('1145 826', 'recordedWell: D18', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 33.33333333')	186.0	50.0
('1146 827', 'recordedWell: D18', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 33.33333333')	185.0	58.37838
('1147 828', 'recordedWell: D19', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.015243333')	329.0	0.303951
('1148 829', 'recordedWell: D19', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.015243333')	766.0	0.652741
('1149 830', 'recordedWell: D19', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.015243333')	957.0	22.048067
('1150 831', 'recordedWell: D20', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.045726667')	161.0	11.180124
('1151 832', 'recordedWell: D20', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.045726667')	144.0	76.388885
('1152 833', 'recordedWell: D20', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.045726667')	216.0	46.296295
('1153 834', 'recordedWell: D21', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	344.0	0.0
('1154 835', 'recordedWell: D21', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	661.0	0.302572
('1155 836', 'recordedWell: D21', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	911.0	3.732162
('1156 837', 'recordedWell: D22', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.045726667')	183.0	8.74317
('1157 838', 'recordedWell: D22', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.045726667')	120.0	85.0
('1158 839', 'recordedWell: D22', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.045726667')	245.0	56.734695
('1159 840', 'recordedWell: E03', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	338.0	2.95858
('1160 841', 'recordedWell: E03', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	230.0	42.608696
('1161 842', 'recordedWell: E03', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	209.0	88.038277
('1162 843', 'recordedWell: E04', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	348.0	0.0
('1163 844', 'recordedWell: E04', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	734.0	1.226158
('1164 845', 'recordedWell: E04', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	1041.0	1.344861
('1165 846', 'recordedWell: E05', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	137.0	5.839416
('1166 847', 'recordedWell: E05', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	123.0	20.325203
('1167 848', 'recordedWell: E05', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	173.0	32.947975
('1168 849', 'recordedWell: E06', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	119.0	2.521008
('1169 850', 'recordedWell: E06', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	117.0	13.675214
('1170 851', 'recordedWell: E06', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	182.0	39.56044
('1171 852', 'recordedWell: E07', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	304.0	0.986842
('1172 853', 'recordedWell: E07', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	547.0	0.914077
('1173 854', 'recordedWell: E07', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	1036.0	7.528957
('1174 855', 'recordedWell: E08', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	228.0	4.385965
('1175 856', 'recordedWell: E08', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	182.0	18.131868
('1176 857', 'recordedWell: E08', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	181.0	28.729282
('1177 858', 'recordedWell: E09', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	383.0	0.0
('1178 859', 'recordedWell: E09', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	804.0	0.746269
('1179 860', 'recordedWell: E09', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	1111.0	12.331233
('1180 861', 'recordedWell: E10', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	310.0	2.580645
('1181 862', 'recordedWell: E10', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	561.0	23.707664
('1182 863', 'recordedWell: E10', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	948.0	57.911392
('1183 864', 'recordedWell: E11', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	388.0	0.0
('1184 865', 'recordedWell: E11', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	683.0	0.146413
('1185 866', 'recordedWell: E11', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	915.0	3.060109
('1186 867', 'recordedWell: E12', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	194.0	4.123711
('1187 868', 'recordedWell: E12', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	361.0	32.963989
('1188 869', 'recordedWell: E12', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	975.0	62.358974
('1189 870', 'recordedWell: E13', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	143.0	13.286714
('1190 871', 'recordedWell: E13', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	142.0	61.971832
('1191 872', 'recordedWell: E13', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	98.0	40.816326
('1192 873', 'recordedWell: E14', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	383.0	0.261097
('1193 874', 'recordedWell: E14', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	765.0	0.261438
('1194 875', 'recordedWell: E14', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	1071.0	8.309991
('1195 876', 'recordedWell: E15', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	175.0	5.714286
('1196 877', 'recordedWell: E15', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	99.0	72.727272
('1197 878', 'recordedWell: E15', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	216.0	41.203705
('1198 879', 'recordedWell: E16', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 11.11111333')	149.0	1.342282
('1199 880', 'recordedWell: E16', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 11.11111333')	156.0	29.487179
('1200 881', 'recordedWell: E16', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 11.11111333')	174.0	84.482758
('1201 882', 'recordedWell: E17', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.005083333')	312.0	0.0
('1202 883', 'recordedWell: E17', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.005083333')	492.0	1.219512
('1203 884', 'recordedWell: E17', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.005083333')	917.0	11.014176
('1204 885', 'recordedWell: E18', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 11.11111333')	146.0	0.684932
('1205 886', 'recordedWell: E18', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 11.11111333')	378.0	39.94709
('1206 887', 'recordedWell: E18', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 11.11111333')	233.0	90.557938
('1207 888', 'recordedWell: E19', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.005083333')	338.0	0.295858
('1208 889', 'recordedWell: E19', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.005083333')	798.0	1.002506
('1209 890', 'recordedWell: E19', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.005083333')	905.0	12.044199
('1210 891', 'recordedWell: E20', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.045726667')	324.0	0.308642
('1211 892', 'recordedWell: E20', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.045726667')	396.0	2.272727
('1212 893', 'recordedWell: E20', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.045726667')	923.0	5.742145
('1213 894', 'recordedWell: E21', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	347.0	0.0
('1214 895', 'recordedWell: E21', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	677.0	0.14771
('1215 896', 'recordedWell: E21', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	836.0	2.511962
('1216 897', 'recordedWell: E22', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.045726667')	275.0	0.0
('1217 898', 'recordedWell: E22', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.045726667')	561.0	0.178253
('1218 899', 'recordedWell: E22', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.045726667')	861.0	6.039489
('1219 900', 'recordedWell: F03', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 11.11111333')	293.0	0.341297
('1220 901', 'recordedWell: F03', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 11.11111333')	501.0	13.572854
('1221 902', 'recordedWell: F03', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 11.11111333')	724.0	62.569061
('1222 903', 'recordedWell: F04', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	322.0	0.310559
('1223 904', 'recordedWell: F04', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	723.0	1.521438
('1224 905', 'recordedWell: F04', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	1057.0	15.042573
('1225 906', 'recordedWell: F05', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 11.11111333')	245.0	0.408163
('1226 907', 'recordedWell: F05', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 11.11111333')	491.0	7.535642
('1227 908', 'recordedWell: F05', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 11.11111333')	598.0	65.217392
('1228 909', 'recordedWell: F06', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 11.11111333')	301.0	0.996678
('1229 910', 'recordedWell: F06', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 11.11111333')	107.0	16.82243
('1230 911', 'recordedWell: F06', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 11.11111333')	160.0	26.25
('1231 912', 'recordedWell: F07', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	418.0	0.239234
('1232 913', 'recordedWell: F07', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	655.0	1.068702
('1233 914', 'recordedWell: F07', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	1020.0	17.941177
('1234 915', 'recordedWell: F08', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 11.11111333')	113.0	1.769912
('1235 916', 'recordedWell: F08', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 11.11111333')	291.0	3.092783
('1236 917', 'recordedWell: F08', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 11.11111333')	190.0	14.736842
('1237 918', 'recordedWell: F09', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	395.0	0.0
('1238 919', 'recordedWell: F09', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	502.0	0.59761
('1239 920', 'recordedWell: F09', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	940.0	4.148936
('1240 921', 'recordedWell: F10', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	418.0	0.239234
('1241 922', 'recordedWell: F10', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	769.0	0.260078
('1242 923', 'recordedWell: F10', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	936.0	3.311966
('1243 924', 'recordedWell: F11', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	404.0	0.0
('1244 925', 'recordedWell: F11', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	573.0	0.0
('1245 926', 'recordedWell: F11', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	993.0	3.323263
('1246 927', 'recordedWell: F12', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	255.0	0.0
('1247 928', 'recordedWell: F12', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	812.0	0.615764
('1248 929', 'recordedWell: F12', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	972.0	1.54321
('1249 930', 'recordedWell: F13', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	164.0	0.0
('1250 931', 'recordedWell: F13', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	116.0	0.0
('1251 932', 'recordedWell: F13', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	252.0	9.920635
('1252 933', 'recordedWell: F14', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	418.0	0.0
('1253 934', 'recordedWell: F14', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	693.0	0.4329
('1254 935', 'recordedWell: F14', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	1032.0	7.170543
('1255 936', 'recordedWell: F15', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	235.0	0.0
('1256 937', 'recordedWell: F15', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	174.0	1.149425
('1257 938', 'recordedWell: F15', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	199.0	9.547739
('1258 939', 'recordedWell: F16', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	172.0	11.046512
('1259 940', 'recordedWell: F16', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	110.0	64.545456
('1260 941', 'recordedWell: F16', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	174.0	47.701149
('1261 942', 'recordedWell: F17', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	395.0	0.0
('1262 943', 'recordedWell: F17', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	645.0	0.0
('1263 944', 'recordedWell: F17', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	890.0	3.258427
('1264 945', 'recordedWell: F18', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	233.0	3.862661
('1265 946', 'recordedWell: F18', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	143.0	44.055943
('1266 947', 'recordedWell: F18', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	221.0	65.610863
('1267 948', 'recordedWell: F19', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	379.0	0.0
('1268 949', 'recordedWell: F19', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	745.0	0.268456
('1269 950', 'recordedWell: F19', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	1132.0	15.636043
('1270 951', 'recordedWell: F20', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	133.0	8.270677
('1271 952', 'recordedWell: F20', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	134.0	73.134331
('1272 953', 'recordedWell: F20', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	220.0	58.18182
('1273 954', 'recordedWell: F21', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	491.0	2.03666
('1274 955', 'recordedWell: F21', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	650.0	0.615385
('1275 956', 'recordedWell: F21', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	817.0	9.914321
('1276 957', 'recordedWell: F22', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	293.0	8.191126
('1277 958', 'recordedWell: F22', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	138.0	70.289856
('1278 959', 'recordedWell: F22', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	236.0	50.423729
('1279 960', 'recordedWell: G03', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	261.0	1.915709
('1280 961', 'recordedWell: G03', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	267.0	56.179775
('1281 962', 'recordedWell: G03', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	178.0	94.943817
('1282 963', 'recordedWell: G04', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	323.0	0.928793
('1283 964', 'recordedWell: G04', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	505.0	0.594059
('1284 965', 'recordedWell: G04', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	1007.0	6.057597
('1285 966', 'recordedWell: G05', 'day_timepoint: 1', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	133.0	1.503759
('1286 967', 'recordedWell: G05', 'day_timepoint: 2', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	206.0	51.941746
('1287 968', 'recordedWell: G05', 'day_timepoint: 3', 'cell_clName: IA-LM', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	234.0	86.324783
