	('meanTotalCellCountBeforeTreatment 0',)	('meanTotalCellCountAfterTreatment 1',)	('meanTotalControlCellCount 2',)	('meanRelativeCellCount 3',)	('meanNormalizedGrowthRateInhibitionValue 4',)
('483127 757', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1401.0	3544.0	4168.0	0.85048	0.80406
('483128 758', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1401.0	3319.0	4168.0	0.79521	0.72593
('483129 759', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1401.0	3136.0	4168.0	0.75247	0.66901
('483130 760', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1401.0	2258.0	4168.0	0.542	0.35304
('483131 761', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1401.0	516.0	4168.0	0.12383	-0.47324
('483132 762', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1401.0	1538.0	4245.0	0.36268	0.05785
('483133 763', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1401.0	1511.0	4245.0	0.35638	0.047121
('483134 764', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1401.0	1408.0	4245.0	0.3327	0.0028969
('483135 765', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	1401.0	1481.0	4245.0	0.35004	0.03491
('483136 766', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1401.0	1415.0	4245.0	0.33516	0.0068716
('483137 767', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	1401.0	1344.0	4245.0	0.31686	-0.028175
('483138 768', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10019', 'smallmolecule_smLincsID: LSM-5674', 'smallmolecule_smName: JW-7-24-1', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1401.0	3052.0	4168.0	0.7319	0.63907
('483139 769', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10019', 'smallmolecule_smLincsID: LSM-5674', 'smallmolecule_smName: JW-7-24-1', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1401.0	3356.0	4168.0	0.80564	0.74335
('483140 770', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10019', 'smallmolecule_smLincsID: LSM-5674', 'smallmolecule_smName: JW-7-24-1', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1401.0	3069.0	4168.0	0.73595	0.64513
('483141 771', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10019', 'smallmolecule_smLincsID: LSM-5674', 'smallmolecule_smName: JW-7-24-1', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1401.0	2594.0	4168.0	0.62171	0.47731
('483142 772', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10019', 'smallmolecule_smLincsID: LSM-5674', 'smallmolecule_smName: JW-7-24-1', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1401.0	2131.0	4168.0	0.51109	0.30461
('483143 773', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10019', 'smallmolecule_smLincsID: LSM-5674', 'smallmolecule_smName: JW-7-24-1', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1401.0	1209.0	4168.0	0.28995	-0.090338
('483144 774', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1401.0	4423.0	4245.0	1.0445	1.0575
('483145 775', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1401.0	3799.0	4168.0	0.91264	0.88701
('483146 776', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1401.0	4468.0	4245.0	1.0545	1.0693
('483147 777', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1401.0	3851.0	4168.0	0.92562	0.90327
('483148 778', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1401.0	4307.0	4245.0	1.0149	1.0187
('483149 779', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1401.0	3837.0	4168.0	0.92289	0.89855
('483150 780', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	1401.0	3745.0	4245.0	0.8833	0.85131
('483151 781', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1401.0	3339.0	4168.0	0.80217	0.73795
('483152 782', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1401.0	3019.0	4245.0	0.70923	0.60964
('483153 783', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1401.0	2483.0	4168.0	0.59648	0.43791
('483154 784', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	1401.0	1770.0	4245.0	0.41589	0.15234
('483155 785', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1401.0	900.0	4168.0	0.21632	-0.24821
('483156 786', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10021', 'smallmolecule_smLincsID: LSM-1021', 'smallmolecule_smName: Tozasertib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1401.0	1337.0	4245.0	0.31531	-0.030273
('483157 787', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10021', 'smallmolecule_smLincsID: LSM-1021', 'smallmolecule_smName: Tozasertib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1401.0	1312.0	4245.0	0.30942	-0.04157
('483158 788', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10021', 'smallmolecule_smLincsID: LSM-1021', 'smallmolecule_smName: Tozasertib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1401.0	1448.0	4245.0	0.34166	0.0198
('483159 789', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10021', 'smallmolecule_smLincsID: LSM-1021', 'smallmolecule_smName: Tozasertib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	1401.0	1451.0	4245.0	0.34284	0.022002
('483160 790', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10021', 'smallmolecule_smLincsID: LSM-1021', 'smallmolecule_smName: Tozasertib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1401.0	1428.0	4245.0	0.33759	0.012253
('483161 791', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10021', 'smallmolecule_smLincsID: LSM-1021', 'smallmolecule_smName: Tozasertib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	1401.0	1562.0	4245.0	0.36898	0.07024
('483162 792', 'smallmolecule_smSalt: 103', 'smallmolecule_smCenterCompoundID: 10023', 'smallmolecule_smLincsID: LSM-1023', 'smallmolecule_smName: Imatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1401.0	4418.0	4168.0	1.0591	1.0734
('483163 793', 'smallmolecule_smSalt: 103', 'smallmolecule_smCenterCompoundID: 10023', 'smallmolecule_smLincsID: LSM-1023', 'smallmolecule_smName: Imatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1401.0	4559.0	4168.0	1.0934	1.1167
('483164 794', 'smallmolecule_smSalt: 103', 'smallmolecule_smCenterCompoundID: 10023', 'smallmolecule_smLincsID: LSM-1023', 'smallmolecule_smName: Imatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1401.0	4499.0	4168.0	1.0796	1.0996
('483165 795', 'smallmolecule_smSalt: 103', 'smallmolecule_smCenterCompoundID: 10023', 'smallmolecule_smLincsID: LSM-1023', 'smallmolecule_smName: Imatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1401.0	4581.0	4168.0	1.0994	1.1246
('483166 796', 'smallmolecule_smSalt: 103', 'smallmolecule_smCenterCompoundID: 10023', 'smallmolecule_smLincsID: LSM-1023', 'smallmolecule_smName: Imatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1401.0	4459.0	4168.0	1.0699	1.0881
('483167 797', 'smallmolecule_smSalt: 103', 'smallmolecule_smCenterCompoundID: 10023', 'smallmolecule_smLincsID: LSM-1023', 'smallmolecule_smName: Imatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1401.0	4258.0	4168.0	1.021	1.0261
('483168 798', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1401.0	4262.0	4168.0	1.022	1.0271
('483169 799', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1401.0	4201.0	4168.0	1.0079	1.0101
('483170 800', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1401.0	3927.0	4168.0	0.94203	0.92511
('483171 801', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1401.0	3458.0	4168.0	0.82951	0.77533
('483172 802', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1401.0	2443.0	4168.0	0.58571	0.42153
('483173 803', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1401.0	870.0	4168.0	0.20919	-0.26225
('483174 804', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1401.0	4452.0	4245.0	1.0504	1.0644
('483175 805', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1401.0	1099.0	4168.0	0.26401	-0.14382
('483176 806', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1401.0	3015.0	4245.0	0.7101	0.61324
('483177 807', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1401.0	1013.0	4168.0	0.24316	-0.18636
('483178 808', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1401.0	1329.0	4245.0	0.31355	-0.033554
('483179 809', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1401.0	1081.0	4168.0	0.25936	-0.1524
('483180 810', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	1401.0	1231.0	4245.0	0.29199	-0.076864
('483181 811', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1401.0	934.0	4168.0	0.22421	-0.22735
('483182 812', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1401.0	1086.0	4245.0	0.2561	-0.14916
('483183 813', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1401.0	809.0	4168.0	0.19424	-0.2949
('483184 814', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	1401.0	1063.0	4245.0	0.25056	-0.16154
('483185 815', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1401.0	696.0	4168.0	0.16737	-0.36054
('483186 816', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1401.0	4426.0	4168.0	1.0614	1.0766
('483187 817', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1401.0	4239.0	4168.0	1.017	1.0215
('483188 818', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1401.0	4279.0	4168.0	1.0268	1.033
('483189 819', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1401.0	4453.0	4168.0	1.0696	1.0874
('483190 820', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1401.0	4313.0	4168.0	1.0368	1.0452
('483191 821', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	1401.0	2324.0	4168.0	0.55763	0.37944
('483192 822', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1401.0	3728.0	4245.0	0.87922	0.84591
('483193 823', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1401.0	3970.0	4245.0	0.93456	0.91631
('483194 824', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1401.0	3954.0	4245.0	0.93183	0.91345
('483195 825', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	1401.0	3386.0	4245.0	0.79557	0.72981
('483196 826', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1401.0	2431.0	4245.0	0.57294	0.41009
('483197 827', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	1401.0	1239.0	4245.0	0.29037	-0.080787
('483198 828', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1401.0	4336.0	4168.0	1.0409	1.0521
('483199 829', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1401.0	4153.0	4168.0	0.99581	0.99395
('483200 830', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1401.0	3697.0	4168.0	0.88645	0.85175
('483201 831', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1401.0	3166.0	4168.0	0.75929	0.6782
('483202 832', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1401.0	2205.0	4168.0	0.52824	0.3313
