	('seedingDensity 0',)	('meanTotalCellCountBeforeTreatment 1',)	('meanTotalCellCountAfterTreatment 2',)	('meanTotalControlCellCount 3',)	('meanRelativeCellCount 4',)	('meanNormalizedGrowthRateInhibitionValue 5',)
('Etoposide 964', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	312.5	134.4583	1472.0	1710.3333	0.86676	0.90837
('Etoposide 965', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	312.5	134.4583	1626.6667	1710.3333	0.95328	0.96455
('Etoposide 966', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	312.5	134.4583	1613.6667	1710.3333	0.95508	0.97476
('Etoposide 967', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	312.5	134.4583	455.3333	1710.3333	0.26979	0.3942
('Etoposide 968', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	312.5	134.4583	120.0	1710.3333	0.070874	-0.031671
('Etoposide 969', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	312.5	134.4583	78.0	1710.3333	0.046277	-0.13902
('Etoposide 970', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	312.5	134.4583	68.6667	1710.3333	0.041524	-0.16889
('Etoposide 971', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 2')	312.5	134.4583	66.6667	1710.3333	0.039057	-0.17715
('Nilotinib 972', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	312.5	134.4583	1739.0	1710.3333	1.0129	1.0061
('Nilotinib 973', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	312.5	134.4583	1869.0	1710.3333	1.1018	1.053
('Nilotinib 974', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	312.5	134.4583	2231.0	1710.3333	1.2944	1.1347
('Nilotinib 975', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	312.5	134.4583	2352.0	1710.3333	1.3813	1.1836
('Nilotinib 976', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	312.5	134.4583	2077.3333	1710.3333	1.2348	1.1169
('Nilotinib 977', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	312.5	134.4583	1862.3333	1710.3333	1.073	1.0276
('Nilotinib 978', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	312.5	134.4583	1945.3333	1710.3333	1.1501	1.0781
('Nilotinib 979', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	312.5	134.4583	351.3333	1710.3333	0.19606	0.26005
('Nilotinib 980', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 2')	312.5	134.4583	200.6667	1710.3333	0.11527	0.10195
('PLX-4720 981', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	312.5	134.4583	1946.6667	1710.3333	1.1414	1.0736
('PLX-4720 982', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	312.5	134.4583	1862.0	1710.3333	1.0731	1.033
('PLX-4720 983', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	312.5	134.4583	1612.6667	1710.3333	0.95077	0.97232
('PLX-4720 984', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	312.5	134.4583	2025.3333	1710.3333	1.1847	1.0952
('PLX-4720 985', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	312.5	134.4583	1882.0	1710.3333	1.1089	1.0581
('PLX-4720 986', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	312.5	134.4583	1981.3333	1710.3333	1.1775	1.083
('PLX-4720 987', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	312.5	134.4583	2069.0	1710.3333	1.2281	1.1163
('PLX-4720 988', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	312.5	134.4583	1605.6667	1710.3333	0.94729	0.97085
('PLX-4720 989', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 2')	312.5	134.4583	811.3333	1710.3333	0.48226	0.62799
('NVP-TAE684 990', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 2')	312.5	134.4583	1844.6667	1710.3333	1.0646	1.0263
('NVP-TAE684 991', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	312.5	134.4583	2158.3333	1710.3333	1.2701	1.1363
('NVP-TAE684 992', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	312.5	134.4583	2024.3333	1710.3333	1.1907	1.0989
('NVP-TAE684 993', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	312.5	134.4583	1870.3333	1710.3333	1.0981	1.0523
('NVP-TAE684 994', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	312.5	134.4583	1244.0	1710.3333	0.73097	0.83597
('NVP-TAE684 995', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	312.5	134.4583	747.6667	1710.3333	0.43016	0.5786
('NVP-TAE684 996', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	312.5	134.4583	411.3333	1710.3333	0.24566	0.35954
('NVP-TAE684 997', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	312.5	134.4583	101.0	1710.3333	0.057647	-0.088116
('NVP-TAE684 998', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	312.5	134.4583	67.3333	1710.3333	0.041898	-0.18498
('Palbociclib 999', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	312.5	134.4583	899.6667	1303.25	0.71622	0.79966
('Palbociclib 1000', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	312.5	134.4583	1099.0	1303.25	0.85794	0.90854
('Palbociclib 1001', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	312.5	134.4583	950.3333	1303.25	0.7469	0.82606
('Palbociclib 1002', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	312.5	134.4583	1007.6667	1303.25	0.78892	0.85617
('Palbociclib 1003', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	312.5	134.4583	386.0	1303.25	0.28746	0.3454
('Palbociclib 1004', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	312.5	134.4583	151.3333	1303.25	0.12052	0.037733
('Palbociclib 1005', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	312.5	134.4583	194.3333	1303.25	0.15351	0.11931
('Palbociclib 1006', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	312.5	134.4583	89.0	1303.25	0.07097	-0.11891
('Palbociclib 1007', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 2')	312.5	134.4583	86.0	1303.25	0.069006	-0.13019
('GSK2126458 1008', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 2')	625.0	277.5	1095.3333	3384.25	0.32526	0.4613
('GSK2126458 1009', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	625.0	277.5	724.6667	3384.25	0.21219	0.29606
('GSK2126458 1010', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	625.0	277.5	425.6667	3384.25	0.12632	0.11075
('GSK2126458 1011', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	625.0	277.5	205.0	3384.25	0.061127	-0.097674
('GSK2126458 1012', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	625.0	277.5	52.6667	3384.25	0.015858	-0.37443
('GSK2126458 1013', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	625.0	277.5	30.6667	3384.25	0.0088434	-0.47322
('GSK2126458 1014', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	625.0	277.5	21.6667	3384.25	0.0064408	-0.50827
('GSK2126458 1015', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	625.0	277.5	19.0	3384.25	0.0057066	-0.52756
('GSK2126458 1016', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	625.0	277.5	83.0	3384.25	0.024674	-0.29528
('Methotrexate 1017', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 2')	625.0	277.5	3863.0	3384.25	1.1516	1.0664
('Methotrexate 1018', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	625.0	277.5	3159.3333	3384.25	0.95367	0.95967
('Methotrexate 1019', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	625.0	277.5	2555.6667	3384.25	0.76348	0.85236
('Methotrexate 1020', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	625.0	277.5	3084.0	3384.25	0.92189	0.94812
('Methotrexate 1021', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	625.0	277.5	699.0	3384.25	0.21013	0.29201
('Methotrexate 1022', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	625.0	277.5	1069.0	3384.25	0.31246	0.44283
('Methotrexate 1023', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	625.0	277.5	803.0	3384.25	0.24052	0.34258
('Methotrexate 1024', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	625.0	277.5	745.3333	3384.25	0.22075	0.31124
('Methotrexate 1025', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	625.0	277.5	958.3333	3384.25	0.29398	0.3925
('Taxol 1026', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.00016596', 'replicate: 2')	625.0	277.5	3069.6667	3384.25	0.90034	0.92653
('Taxol 1027', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.00033113', 'replicate: 2')	625.0	277.5	4042.6667	3384.25	1.2077	1.1026
('Taxol 1028', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.001', 'replicate: 2')	625.0	277.5	1488.3333	3384.25	0.4395	0.59124
('Taxol 1029', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0031623', 'replicate: 2')	625.0	277.5	506.3333	3384.25	0.15293	0.17317
('Taxol 1030', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	625.0	277.5	220.0	3384.25	0.066158	-0.063647
('Taxol 1031', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	625.0	277.5	276.6667	3384.25	0.082428	-0.00072433
('Taxol 1032', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	625.0	277.5	198.0	3384.25	0.059571	-0.090568
('Taxol 1033', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	625.0	277.5	256.0	3384.25	0.075607	-0.024045
('Taxol 1034', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	625.0	277.5	246.6667	3384.25	0.073463	-0.032639
('Etoposide 1035', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	625.0	277.5	4298.6667	4163.75	1.0325	1.0159
('Etoposide 1036', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	625.0	277.5	3871.3333	4163.75	0.93293	0.96351
('Etoposide 1037', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	625.0	277.5	3719.3333	4163.75	0.90207	0.9457
('Etoposide 1038', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	625.0	277.5	3249.6667	4163.75	0.77873	0.87326
('Etoposide 1039', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	625.0	277.5	845.3333	4163.75	0.20094	0.31896
('Etoposide 1040', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	625.0	277.5	300.3333	4163.75	0.071634	0.015451
('Etoposide 1041', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	625.0	277.5	161.3333	4163.75	0.039165	-0.13292
('Etoposide 1042', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	625.0	277.5	161.3333	4163.75	0.038514	-0.13496
('Etoposide 1043', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 2')	625.0	277.5	155.3333	4163.75	0.036917	-0.14329
('Nilotinib 1044', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	625.0	277.5	4118.6667	4163.75	0.98572	0.98713
('Nilotinib 1045', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	625.0	277.5	4499.0	4163.75	1.0806	1.039
('Nilotinib 1046', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	625.0	277.5	4904.0	4163.75	1.1871	1.0884
('Nilotinib 1047', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	625.0	277.5	4894.3333	4163.75	1.1681	1.0783
('Nilotinib 1048', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	625.0	277.5	4628.6667	4163.75	1.1221	1.0568
('Nilotinib 1049', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	625.0	277.5	4732.6667	4163.75	1.1398	1.0683
('Nilotinib 1050', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	625.0	277.5	4499.6667	4163.75	1.0886	1.0383
('Nilotinib 1051', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	625.0	277.5	1471.3333	4163.75	0.34662	0.50303
('Nilotinib 1052', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 2')	625.0	277.5	343.3333	4163.75	0.081753	0.050604
('PLX-4720 1053', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	625.0	277.5	4076.6667	4163.75	0.98266	0.98971
('PLX-4720 1054', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	625.0	277.5	3976.0	4163.75	0.95387	0.97556
('PLX-4720 1055', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	625.0	277.5	4840.3333	4163.75	1.1745	1.0811
('PLX-4720 1056', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	625.0	277.5	5016.3333	4163.75	1.2072	1.0954
('PLX-4720 1057', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	625.0	277.5	4441.6667	4163.75	1.0724	1.034
('PLX-4720 1058', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	625.0	277.5	4118.3333	4163.75	0.9968	0.9972
('PLX-4720 1059', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	625.0	277.5	4653.0	4163.75	1.1221	1.0589
('PLX-4720 1060', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	625.0	277.5	3290.3333	4163.75	0.7834	0.87367
('PLX-4720 1061', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 2')	625.0	277.5	1586.0	4163.75	0.37984	0.55459
('NVP-TAE684 1062', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 2')	625.0	277.5	4234.6667	4163.75	1.0114	0.9987
('NVP-TAE684 1063', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	625.0	277.5	4421.0	4163.75	1.0613	1.0304
('NVP-TAE684 1064', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	625.0	277.5	4528.0	4163.75	1.0994	1.0449
('NVP-TAE684 1065', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	625.0	277.5	3771.6667	4163.75	0.90713	0.95083
('NVP-TAE684 1066', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	625.0	277.5	2975.6667	4163.75	0.71445	0.83481
('NVP-TAE684 1067', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	625.0	277.5	1830.3333	4163.75	0.43582	0.61293
('NVP-TAE684 1068', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	625.0	277.5	804.6667	4163.75	0.19346	0.31283
('NVP-TAE684 1069', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	625.0	277.5	265.0	4163.75	0.063489	-0.014039
('NVP-TAE684 1070', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	625.0	277.5	143.3333	4163.75	0.03426	-0.16862
('Palbociclib 1071', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	625.0	277.5	2779.6667	3384.25	0.85069	0.87804
('Palbociclib 1072', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.01', 'replicate: 2')	625.0	277.5	2690.6667	3384.25	0.81668	0.87471
('Palbociclib 1073', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.031623', 'replicate: 2')	625.0	277.5	1769.6667	3384.25	0.5306	0.67341
('Palbociclib 1074', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.1', 'replicate: 2')	625.0	277.5	2602.6667	3384.25	0.7637	0.84308
('Palbociclib 1075', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.31623', 'replicate: 2')	625.0	277.5	1128.0	3384.25	0.33873	0.47046
('Palbociclib 1076', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 1', 'replicate: 2')	625.0	277.5	606.6667	3384.25	0.17997	0.23356
('Palbociclib 1077', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.1623', 'replicate: 2')	625.0	277.5	421.0	3384.25	0.12283	0.112
('Palbociclib 1078', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'replicate: 2')	625.0	277.5	281.6667	3384.25	0.084494	0.002075
('Palbociclib 1079', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF 10A', 'smallMolConcentration: 19.9526', 'replicate: 2')	625.0	277.5	309.8333	3384.25	0.090688	0.010958
('GSK2126458 1080', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0016596', 'replicate: 2')	1250.0	585.7083	2607.0	6891.5	0.37812	0.52102
('GSK2126458 1081', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.0033113', 'replicate: 2')	1250.0	585.7083	2317.3333	6891.5	0.33568	0.46819
