	('averageVIPScore 0',)
('191614 302', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p-Histone H3(S10)')	-0.38163
('191615 303', 'clName: LOXIMVI', 'timePoint: 1', 'variable: p27 Kip1')	0.51672
('191616 304', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p-p90RSK(S380)')	-0.62545
('191617 305', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p-p90RSK(T573)')	0.18547
('191618 306', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p-AKT(T308)')	0.42531
('191619 307', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p-AKT(S473)')	-1.3605
('191620 308', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p-mTOR(S2448)')	
('191621 309', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	-1.1133
('191622 310', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p-p70S6K(T389)')	
('191623 311', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p-S6(S235/236)')	0.40293
('191624 312', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p-AMPK(T172)')	-0.56008
('191625 313', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	
('191626 314', 'clName: LOXIMVI', 'timePoint: 5', 'variable: Total c-Jun')	0.61308
('191627 315', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p-cJun(S63)')	-1.4161
('191628 316', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	
('191629 317', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p-HSP27(S82)')	-0.79216
('191630 318', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p-NFKB(S536)')	-2.3072
('191631 319', 'clName: LOXIMVI', 'timePoint: 5', 'variable: Bim')	-0.90854
('191632 320', 'clName: LOXIMVI', 'timePoint: 5', 'variable: cPARP')	-0.79855
('191633 321', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-0.50964
('191634 322', 'clName: LOXIMVI', 'timePoint: 5', 'variable: p27 Kip1')	
('191635 323', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p-p90RSK(S380)')	1.0586
('191636 324', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p-p90RSK(T573)')	0.8808
('191637 325', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p-AKT(T308)')	0.51167
('191638 326', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p-AKT(S473)')	
('191639 327', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p-mTOR(S2448)')	1.3808
('191640 328', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	1.3338
('191641 329', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p-p70S6K(T389)')	1.2035
('191642 330', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p-S6(S235/236)')	0.80947
('191643 331', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p-AMPK(T172)')	0.73765
('191644 332', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	0.7284
('191645 333', 'clName: LOXIMVI', 'timePoint: 10', 'variable: Total c-Jun')	1.1006
('191646 334', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p-cJun(S63)')	
('191647 335', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	1.1119
('191648 336', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p-HSP27(S82)')	1.1897
('191649 337', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p-NFKB(S536)')	0.82367
('191650 338', 'clName: LOXIMVI', 'timePoint: 10', 'variable: Bim')	0.60869
('191651 339', 'clName: LOXIMVI', 'timePoint: 10', 'variable: cPARP')	0.54372
('191652 340', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p-Histone H3(S10)')	0.16044
('191653 341', 'clName: LOXIMVI', 'timePoint: 10', 'variable: p27 Kip1')	
('191654 342', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p-p90RSK(S380)')	0.99998
('191655 343', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p-p90RSK(T573)')	1.496
('191656 344', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p-AKT(T308)')	1.4455
('191657 345', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p-AKT(S473)')	-0.66718
('191658 346', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p-mTOR(S2448)')	0.86508
('191659 347', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	-0.47196
('191660 348', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p-p70S6K(T389)')	0.80346
('191661 349', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p-S6(S235/236)')	1.031
('191662 350', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p-AMPK(T172)')	-0.6352
('191663 351', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	
('191664 352', 'clName: LOXIMVI', 'timePoint: 24', 'variable: Total c-Jun')	1.254
('191665 353', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p-cJun(S63)')	
('191666 354', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	0.74572
('191667 355', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p-HSP27(S82)')	0.057872
('191668 356', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p-NFKB(S536)')	-0.66655
('191669 357', 'clName: LOXIMVI', 'timePoint: 24', 'variable: Bim')	
('191670 358', 'clName: LOXIMVI', 'timePoint: 24', 'variable: cPARP')	
('191671 359', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p-Histone H3(S10)')	2.2826
('191672 360', 'clName: LOXIMVI', 'timePoint: 24', 'variable: p27 Kip1')	-0.95217
('191673 361', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p-p90RSK(S380)')	0.85142
('191674 362', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p-p90RSK(T573)')	0.78878
('191675 363', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p-AKT(T308)')	1.1951
('191676 364', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p-AKT(S473)')	1.6684
('191677 365', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p-mTOR(S2448)')	0.8421
('191678 366', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	0.79744
('191679 367', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p-p70S6K(T389)')	0.66219
('191680 368', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p-S6(S235/236)')	-0.81001
('191681 369', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p-AMPK(T172)')	-0.83515
('191682 370', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	0.76336
('191683 371', 'clName: LOXIMVI', 'timePoint: 48', 'variable: Total c-Jun')	0.71259
('191684 372', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p-cJun(S63)')	-0.8232
('191685 373', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	0.40864
('191686 374', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p-HSP27(S82)')	0.37526
('191687 375', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p-NFKB(S536)')	-1.2799
('191688 376', 'clName: LOXIMVI', 'timePoint: 48', 'variable: Bim')	-1.0135
('191689 377', 'clName: LOXIMVI', 'timePoint: 48', 'variable: cPARP')	0.74425
('191690 378', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p-Histone H3(S10)')	2.3609
('191691 379', 'clName: LOXIMVI', 'timePoint: 48', 'variable: p27 Kip1')	-0.67224
('191692 380', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p-p90RSK(S380)')	0.99779
('191693 381', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p-p90RSK(T573)')	0.5515
('191694 382', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p-AKT(T308)')	0.29854
('191695 383', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p-AKT(S473)')	
('191696 384', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p-mTOR(S2448)')	0.61775
('191697 385', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	1.0216
('191698 386', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p-p70S6K(T389)')	0.71001
('191699 387', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p-S6(S235/236)')	0.36388
('191700 388', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p-AMPK(T172)')	0.70575
('191701 389', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	0.80535
('191702 390', 'clName: MMAC-SF', 'timePoint: 1', 'variable: Total c-Jun')	0.83757
('191703 391', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p-cJun(S63)')	0.53697
('191704 392', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	1.0804
('191705 393', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p-HSP27(S82)')	0.47795
('191706 394', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p-NFKB(S536)')	
('191707 395', 'clName: MMAC-SF', 'timePoint: 1', 'variable: Bim')	0.4018
('191708 396', 'clName: MMAC-SF', 'timePoint: 1', 'variable: cPARP')	0.39099
('191709 397', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p-Histone H3(S10)')	0.2074
('191710 398', 'clName: MMAC-SF', 'timePoint: 1', 'variable: p27 Kip1')	
('191711 399', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p-p90RSK(S380)')	
('191712 400', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p-p90RSK(T573)')	-0.53739
('191713 401', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p-AKT(T308)')	-0.66226
('191714 402', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p-AKT(S473)')	-0.93946
('191715 403', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p-mTOR(S2448)')	-0.753
('191716 404', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	-0.53633
('191717 405', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p-p70S6K(T389)')	
('191718 406', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p-S6(S235/236)')	0.45323
('191719 407', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p-AMPK(T172)')	
('191720 408', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	
('191721 409', 'clName: MMAC-SF', 'timePoint: 5', 'variable: Total c-Jun')	0.84348
('191722 410', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p-cJun(S63)')	
('191723 411', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	
('191724 412', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p-HSP27(S82)')	-0.55491
('191725 413', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p-NFKB(S536)')	
('191726 414', 'clName: MMAC-SF', 'timePoint: 5', 'variable: Bim')	-0.95959
('191727 415', 'clName: MMAC-SF', 'timePoint: 5', 'variable: cPARP')	-0.85215
('191728 416', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-0.23039
('191729 417', 'clName: MMAC-SF', 'timePoint: 5', 'variable: p27 Kip1')	-0.64165
('191730 418', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p-p90RSK(S380)')	0.93844
('191731 419', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p-p90RSK(T573)')	0.39402
('191732 420', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p-AKT(T308)')	0.19664
('191733 421', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p-AKT(S473)')	
('191734 422', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p-mTOR(S2448)')	0.7936
('191735 423', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	0.88541
('191736 424', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p-p70S6K(T389)')	0.89999
('191737 425', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p-S6(S235/236)')	1.2018
('191738 426', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p-AMPK(T172)')	1.1683
('191739 427', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	0.77294
('191740 428', 'clName: MMAC-SF', 'timePoint: 10', 'variable: Total c-Jun')	1.7684
('191741 429', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p-cJun(S63)')	0.79511
('191742 430', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	0.98729
('191743 431', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p-HSP27(S82)')	0.43475
('191744 432', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p-NFKB(S536)')	1.3327
('191745 433', 'clName: MMAC-SF', 'timePoint: 10', 'variable: Bim')	
('191746 434', 'clName: MMAC-SF', 'timePoint: 10', 'variable: cPARP')	
('191747 435', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p-Histone H3(S10)')	-0.13234
('191748 436', 'clName: MMAC-SF', 'timePoint: 10', 'variable: p27 Kip1')	
('191749 437', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p-p90RSK(S380)')	
('191750 438', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p-p90RSK(T573)')	
('191751 439', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p-AKT(T308)')	-0.33286
('191752 440', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p-AKT(S473)')	-1.0958
('191753 441', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p-mTOR(S2448)')	
('191754 442', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	-0.52786
('191755 443', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p-p70S6K(T389)')	
('191756 444', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p-S6(S235/236)')	1.5986
('191757 445', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p-AMPK(T172)')	
('191758 446', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	
('191759 447', 'clName: MMAC-SF', 'timePoint: 24', 'variable: Total c-Jun')	
('191760 448', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p-cJun(S63)')	
('191761 449', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	
('191762 450', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p-HSP27(S82)')	
('191763 451', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p-NFKB(S536)')	
('191764 452', 'clName: MMAC-SF', 'timePoint: 24', 'variable: Bim')	-1.3101
('191765 453', 'clName: MMAC-SF', 'timePoint: 24', 'variable: cPARP')	-1.3189
('191766 454', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p-Histone H3(S10)')	1.6598
('191767 455', 'clName: MMAC-SF', 'timePoint: 24', 'variable: p27 Kip1')	-1.852
('191768 456', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p-p90RSK(S380)')	
('191769 457', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p-p90RSK(T573)')	1.0946
('191770 458', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p-AKT(T308)')	-2.582
('191771 459', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p-AKT(S473)')	
('191772 460', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p-mTOR(S2448)')	
('191773 461', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	1.2871
('191774 462', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p-p70S6K(T389)')	
('191775 463', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p-S6(S235/236)')	1.4822
('191776 464', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p-AMPK(T172)')	
('191777 465', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	
('191778 466', 'clName: MMAC-SF', 'timePoint: 48', 'variable: Total c-Jun')	
('191779 467', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p-cJun(S63)')	
('191780 468', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	
('191781 469', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p-HSP27(S82)')	0.86518
('191782 470', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p-NFKB(S536)')	1.6839
('191783 471', 'clName: MMAC-SF', 'timePoint: 48', 'variable: Bim')	
('191784 472', 'clName: MMAC-SF', 'timePoint: 48', 'variable: cPARP')	-1.5287
('191785 473', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p-Histone H3(S10)')	1.5996
('191786 474', 'clName: MMAC-SF', 'timePoint: 48', 'variable: p27 Kip1')	
('191787 475', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p-p90RSK(S380)')	0.56785
('191788 476', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p-p90RSK(T573)')	
('191789 477', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p-AKT(T308)')	0.47697
('191790 478', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p-AKT(S473)')	0.98495
('191791 479', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p-mTOR(S2448)')	0.4327
('191792 480', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	0.83406
('191793 481', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p-p70S6K(T389)')	0.75863
('191794 482', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p-S6(S235/236)')	0.42135
('191795 483', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p-AMPK(T172)')	-0.28432
('191796 484', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	0.26621
('191797 485', 'clName: MZ7-mel', 'timePoint: 1', 'variable: Total c-Jun')	0.78288
('191798 486', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p-cJun(S63)')	0.35063
('191799 487', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	0.98757
('191800 488', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p-HSP27(S82)')	0.31493
('191801 489', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p-NFKB(S536)')	0.16181
('191802 490', 'clName: MZ7-mel', 'timePoint: 1', 'variable: Bim')	
('191803 491', 'clName: MZ7-mel', 'timePoint: 1', 'variable: cPARP')	
('191804 492', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p-Histone H3(S10)')	-0.22101
('191805 493', 'clName: MZ7-mel', 'timePoint: 1', 'variable: p27 Kip1')	0.17722
('191806 494', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p-p90RSK(S380)')	
('191807 495', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p-p90RSK(T573)')	
('191808 496', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p-AKT(T308)')	
('191809 497', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p-AKT(S473)')	
('191810 498', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p-mTOR(S2448)')	
('191811 499', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	-0.58275
('191812 500', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p-p70S6K(T389)')	
('191813 501', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p-S6(S235/236)')	0.4843
('191814 502', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p-AMPK(T172)')	-0.57675
('191815 503', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	
('191816 504', 'clName: MZ7-mel', 'timePoint: 5', 'variable: Total c-Jun')	0.67613
('191817 505', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p-cJun(S63)')	
('191818 506', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	
('191819 507', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p-HSP27(S82)')	
('191820 508', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p-NFKB(S536)')	-0.64566
('191821 509', 'clName: MZ7-mel', 'timePoint: 5', 'variable: Bim')	
('191822 510', 'clName: MZ7-mel', 'timePoint: 5', 'variable: cPARP')	
('191823 511', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-0.43926
('191824 512', 'clName: MZ7-mel', 'timePoint: 5', 'variable: p27 Kip1')	-0.36435
('191825 513', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p-p90RSK(S380)')	1.0666
('191826 514', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p-p90RSK(T573)')	0.5912
('191827 515', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p-AKT(T308)')	
('191828 516', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p-AKT(S473)')	0.60071
('191829 517', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p-mTOR(S2448)')	0.64446
('191830 518', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	1.0131
('191831 519', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p-p70S6K(T389)')	0.84778
('191832 520', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p-S6(S235/236)')	1.2384
('191833 521', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p-AMPK(T172)')	-0.70468
('191834 522', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	0.47959
('191835 523', 'clName: MZ7-mel', 'timePoint: 10', 'variable: Total c-Jun')	0.9812
('191836 524', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p-cJun(S63)')	0.45131
('191837 525', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	0.68789
('191838 526', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p-HSP27(S82)')	0.34035
('191839 527', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p-NFKB(S536)')	1.0589
('191840 528', 'clName: MZ7-mel', 'timePoint: 10', 'variable: Bim')	-0.40275
('191841 529', 'clName: MZ7-mel', 'timePoint: 10', 'variable: cPARP')	
('191842 530', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p-Histone H3(S10)')	-0.32072
('191843 531', 'clName: MZ7-mel', 'timePoint: 10', 'variable: p27 Kip1')	-0.56098
('191844 532', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p-p90RSK(S380)')	
('191845 533', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p-p90RSK(T573)')	1.4596
('191846 534', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p-AKT(T308)')	-0.59
('191847 535', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p-AKT(S473)')	
('191848 536', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p-mTOR(S2448)')	
('191849 537', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	0.72891
('191850 538', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p-p70S6K(T389)')	
('191851 539', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p-S6(S235/236)')	2.1002
('191852 540', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p-AMPK(T172)')	-0.48094
('191853 541', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	-0.40353
('191854 542', 'clName: MZ7-mel', 'timePoint: 24', 'variable: Total c-Jun')	0.49324
('191855 543', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p-cJun(S63)')	
('191856 544', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	1.0701
('191857 545', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p-HSP27(S82)')	
('191858 546', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p-NFKB(S536)')	-0.50772
('191859 547', 'clName: MZ7-mel', 'timePoint: 24', 'variable: Bim')	-1.6059
('191860 548', 'clName: MZ7-mel', 'timePoint: 24', 'variable: cPARP')	-1.4135
('191861 549', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p-Histone H3(S10)')	0.88186
('191862 550', 'clName: MZ7-mel', 'timePoint: 24', 'variable: p27 Kip1')	-2.1137
('191863 551', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p-p90RSK(S380)')	
('191864 552', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p-p90RSK(T573)')	2.2427
('191865 553', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p-AKT(T308)')	-0.95693
('191866 554', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p-AKT(S473)')	-0.40393
('191867 555', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p-mTOR(S2448)')	
('191868 556', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	1.0387
('191869 557', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p-p70S6K(T389)')	
('191870 558', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p-S6(S235/236)')	1.325
('191871 559', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p-AMPK(T172)')	-0.54943
('191872 560', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	-0.74394
('191873 561', 'clName: MZ7-mel', 'timePoint: 48', 'variable: Total c-Jun')	-0.52248
('191874 562', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p-cJun(S63)')	
('191875 563', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	1.3873
('191876 564', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p-HSP27(S82)')	
('191877 565', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p-NFKB(S536)')	-0.32198
('191878 566', 'clName: MZ7-mel', 'timePoint: 48', 'variable: Bim')	-2.3909
('191879 567', 'clName: MZ7-mel', 'timePoint: 48', 'variable: cPARP')	-2.0554
('191880 568', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p-Histone H3(S10)')	2.9819
('191881 569', 'clName: MZ7-mel', 'timePoint: 48', 'variable: p27 Kip1')	-2.4182
('191882 570', 'clName: RVH-421', 'timePoint: 1', 'variable: p-p90RSK(S380)')	0.73089
('191883 571', 'clName: RVH-421', 'timePoint: 1', 'variable: p-p90RSK(T573)')	0.42888
('191884 572', 'clName: RVH-421', 'timePoint: 1', 'variable: p-AKT(T308)')	0.37869
('191885 573', 'clName: RVH-421', 'timePoint: 1', 'variable: p-AKT(S473)')	0.18467
('191886 574', 'clName: RVH-421', 'timePoint: 1', 'variable: p-mTOR(S2448)')	0.66328
('191887 575', 'clName: RVH-421', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	1.0904
('191888 576', 'clName: RVH-421', 'timePoint: 1', 'variable: p-p70S6K(T389)')	0.77206
('191889 577', 'clName: RVH-421', 'timePoint: 1', 'variable: p-S6(S235/236)')	0.4975
('191890 578', 'clName: RVH-421', 'timePoint: 1', 'variable: p-AMPK(T172)')	0.83114
('191891 579', 'clName: RVH-421', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	0.73589
('191892 580', 'clName: RVH-421', 'timePoint: 1', 'variable: Total c-Jun')	0.37291
('191893 581', 'clName: RVH-421', 'timePoint: 1', 'variable: p-cJun(S63)')	
('191894 582', 'clName: RVH-421', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	0.71579
