	('totalCellCountBeforeTreatment 0',)	('totalCellCountAfterTreatment 1',)	('totalControlCellCount 2',)	('relativeCellCount 3',)	('normalizedGrowthRateInhibitionValue 4',)
('Imatinib 2537', 'smallmolecule_smSalt: 103.0', 'smallmolecule_smName: Imatinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: N17')	1401.0	4746.0	4272.0	1.1109	1.1351
('Imatinib 2538', 'smallmolecule_smSalt: 103.0', 'smallmolecule_smName: Imatinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: N16')	1401.0	4823.0	4139.0	1.1653	1.2057
('Imatinib 2539', 'smallmolecule_smSalt: 103.0', 'smallmolecule_smName: Imatinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: N16')	1401.0	4287.0	4095.0	1.0468	1.06
('Imatinib 2540', 'smallmolecule_smSalt: 103.0', 'smallmolecule_smName: Imatinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: N16')	1401.0	4387.0	4272.0	1.0268	1.0332
('Imatinib 2541', 'smallmolecule_smSalt: 103.0', 'smallmolecule_smName: Imatinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: N15')	1401.0	4619.0	4139.0	1.116	1.1455
('Imatinib 2542', 'smallmolecule_smSalt: 103.0', 'smallmolecule_smName: Imatinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: N15')	1401.0	4582.0	4095.0	1.1188	1.1506
('Imatinib 2543', 'smallmolecule_smSalt: 103.0', 'smallmolecule_smName: Imatinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: N15')	1401.0	4543.0	4272.0	1.0633	1.0779
('Imatinib 2544', 'smallmolecule_smSalt: 103.0', 'smallmolecule_smName: Imatinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: N14')	1401.0	4458.0	4139.0	1.0771	1.0973
('Imatinib 2545', 'smallmolecule_smSalt: 103.0', 'smallmolecule_smName: Imatinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: N14')	1401.0	4431.0	4095.0	1.082	1.1045
('Imatinib 2546', 'smallmolecule_smSalt: 103.0', 'smallmolecule_smName: Imatinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: N14')	1401.0	4489.0	4272.0	1.0507	1.0625
('Imatinib 2547', 'smallmolecule_smSalt: 103.0', 'smallmolecule_smName: Imatinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: N13')	1401.0	4120.0	4139.0	0.99541	0.99412
('Imatinib 2548', 'smallmolecule_smSalt: 103.0', 'smallmolecule_smName: Imatinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: N13')	1401.0	4159.0	4095.0	1.0155	1.02
('Imatinib 2549', 'smallmolecule_smSalt: 103.0', 'smallmolecule_smName: Imatinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: N13')	1401.0	4495.0	4272.0	1.0521	1.0642
('NVP-TAE684 2550', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K18')	1401.0	4044.0	4139.0	0.97705	0.97049
('NVP-TAE684 2551', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K18')	1401.0	4203.0	4095.0	1.0263	1.0338
('NVP-TAE684 2552', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K18')	1401.0	4540.0	4272.0	1.0626	1.077
('NVP-TAE684 2553', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K17')	1401.0	4035.0	4139.0	0.97487	0.96769
('NVP-TAE684 2554', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K17')	1401.0	4270.0	4095.0	1.0426	1.0547
('NVP-TAE684 2555', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K17')	1401.0	4299.0	4272.0	1.0062	1.0077
('NVP-TAE684 2556', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K16')	1401.0	3674.0	4139.0	0.88765	0.85311
('NVP-TAE684 2557', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K16')	1401.0	4043.0	4095.0	0.98722	0.98343
('NVP-TAE684 2558', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K16')	1401.0	4064.0	4272.0	0.95123	0.93877
('NVP-TAE684 2559', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K15')	1401.0	3220.0	4139.0	0.77797	0.70308
('NVP-TAE684 2560', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K15')	1401.0	3543.0	4095.0	0.86513	0.8212
('NVP-TAE684 2561', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K15')	1401.0	3612.0	4272.0	0.84543	0.8017
('NVP-TAE684 2562', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K14')	1401.0	2127.0	4139.0	0.51389	0.30606
('NVP-TAE684 2563', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K14')	1401.0	2513.0	4095.0	0.61362	0.45856
('NVP-TAE684 2564', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K14')	1401.0	2690.0	4272.0	0.62963	0.49998
('NVP-TAE684 2565', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: K13')	1401.0	992.0	4139.0	0.23967	-0.19845
('NVP-TAE684 2566', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: K13')	1401.0	886.0	4095.0	0.21634	-0.25654
('NVP-TAE684 2567', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: K13')	1401.0	733.0	4272.0	0.17157	-0.33174
('CGP60474 2568', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: G06')	1401.0	1008.0	4139.0	0.24354	-0.1902
('CGP60474 2569', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: G06')	1401.0	1257.0	4095.0	0.30693	-0.067934
('CGP60474 2570', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: G06')	1401.0	1032.0	4272.0	0.24155	-0.17332
('CGP60474 2571', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: F06')	1401.0	4460.0	3978.0	1.121	1.1577
('CGP60474 2572', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: F06')	1401.0	4219.0	4213.0	1.0014	1.0017
('CGP60474 2573', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: F06')	1401.0	4677.0	4545.0	1.0288	1.0338
('CGP60474 2574', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: G05')	1401.0	1016.0	4139.0	0.24547	-0.18609
('CGP60474 2575', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: G05')	1401.0	993.0	4095.0	0.24247	-0.19968
('CGP60474 2576', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: G05')	1401.0	1032.0	4272.0	0.24155	-0.17332
('CGP60474 2577', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: F05')	1401.0	2780.0	3978.0	0.69874	0.57617
('CGP60474 2578', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: F05')	1401.0	3075.0	4213.0	0.72983	0.6402
('CGP60474 2579', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: F05')	1401.0	3190.0	4545.0	0.70173	0.62335
('CGP60474 2580', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: G04')	1401.0	1113.0	4139.0	0.26891	-0.13717
('CGP60474 2581', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: G04')	1401.0	1026.0	4095.0	0.25053	-0.18259
('CGP60474 2582', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: G04')	1401.0	1105.0	4272.0	0.25864	-0.13742
('CGP60474 2583', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: F04')	1401.0	1314.0	3978.0	0.33027	-0.041936
('CGP60474 2584', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: F04')	1401.0	1289.0	4213.0	0.30594	-0.051341
('CGP60474 2585', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: F04')	1401.0	1384.0	4545.0	0.30445	-0.0073854
('CGP60474 2586', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: G03')	1401.0	896.0	4139.0	0.21648	-0.24901
('CGP60474 2587', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: G03')	1401.0	946.0	4095.0	0.23099	-0.22438
('CGP60474 2588', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: G03')	1401.0	962.0	4272.0	0.22517	-0.20865
('CGP60474 2589', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: F03')	1401.0	1335.0	3978.0	0.33555	-0.031791
('CGP60474 2590', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: F03')	1401.0	1250.0	4213.0	0.29668	-0.069519
('CGP60474 2591', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: F03')	1401.0	1108.0	4545.0	0.24373	-0.12928
('CGP60474 2592', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: G02')	1401.0	768.0	4139.0	0.18555	-0.31957
('CGP60474 2593', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: G02')	1401.0	852.0	4095.0	0.20804	-0.27511
('CGP60474 2594', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: G02')	1401.0	808.0	4272.0	0.18912	-0.29001
('CGP60474 2595', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: F02')	1401.0	975.0	3978.0	0.24506	-0.21422
('CGP60474 2596', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: F02')	1401.0	1186.0	4213.0	0.28149	-0.099812
('CGP60474 2597', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: F02')	1401.0	1099.0	4545.0	0.24175	-0.13345
('CGP60474 2598', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: G01')	1401.0	578.0	4139.0	0.13965	-0.43275
('CGP60474 2599', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: G01')	1401.0	847.0	4095.0	0.20682	-0.27787
('CGP60474 2600', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: G01')	1401.0	665.0	4272.0	0.15565	-0.371
('CGP60474 2601', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: F01')	1401.0	1104.0	3978.0	0.27749	-0.1466
('CGP60474 2602', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: F01')	1401.0	894.0	4213.0	0.21219	-0.24659
('CGP60474 2603', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: CGP60474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: F01')	1401.0	1191.0	4545.0	0.26199	-0.09143
('PD173074 2604', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: I12')	1401.0	4442.0	4139.0	1.0732	1.0925
('PD173074 2605', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: I12')	1401.0	4195.0	4095.0	1.0243	1.0313
('PD173074 2606', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: I12')	1401.0	4642.0	4272.0	1.0865	1.1059
('PD173074 2607', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: I11')	1401.0	4387.0	4139.0	1.0599	1.0759
('PD173074 2608', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: I11')	1401.0	4067.0	4095.0	0.99308	0.99104
('PD173074 2609', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: I11')	1401.0	4264.0	4272.0	0.99804	0.99757
('PD173074 2610', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: I10')	1401.0	4689.0	4139.0	1.1329	1.1663
('PD173074 2611', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: I10')	1401.0	3957.0	4095.0	0.96622	0.95606
('PD173074 2612', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: I10')	1401.0	4192.0	4272.0	0.98119	0.97652
('PD173074 2613', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: I09')	1401.0	4765.0	4139.0	1.1512	1.1887
('PD173074 2614', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: I09')	1401.0	4540.0	4095.0	1.1086	1.1378
('PD173074 2615', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: I09')	1401.0	4054.0	4272.0	0.94889	0.9358
('PD173074 2616', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: I08')	1401.0	4742.0	4139.0	1.1457	1.1819
('PD173074 2617', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: I08')	1401.0	4545.0	4095.0	1.1098	1.1393
('PD173074 2618', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: I08')	1401.0	3653.0	4272.0	0.85503	0.81439
('PD173074 2619', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: I07')	1401.0	2336.0	4139.0	0.56439	0.38681
('PD173074 2620', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: I07')	1401.0	2290.0	4095.0	0.55917	0.37353
('PD173074 2621', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: PD173074', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: I07')	1401.0	2347.0	4272.0	0.54935	0.37799
('Crizotinib 2622', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Crizotinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: A24')	1401.0	3584.0	3978.0	0.90083	0.86593
('Crizotinib 2623', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Crizotinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: A24')	1401.0	3743.0	4213.0	0.88838	0.85635
('Crizotinib 2624', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Crizotinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: A24')	1401.0	3857.0	4545.0	0.84845	0.81546
('Crizotinib 2625', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Crizotinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: A23')	1401.0	3680.0	3978.0	0.92496	0.89899
('Crizotinib 2626', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Crizotinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: A23')	1401.0	3934.0	4213.0	0.93371	0.91546
('Crizotinib 2627', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Crizotinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: A23')	1401.0	4296.0	4545.0	0.94502	0.93448
('Crizotinib 2628', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Crizotinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: A22')	1401.0	3634.0	3978.0	0.91339	0.88319
('Crizotinib 2629', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Crizotinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: A22')	1401.0	4153.0	4213.0	0.98569	0.98193
('Crizotinib 2630', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Crizotinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: A22')	1401.0	4075.0	4545.0	0.89641	0.87522
('Crizotinib 2631', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Crizotinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: A21')	1401.0	2926.0	3978.0	0.73544	0.63069
('Crizotinib 2632', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Crizotinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: A21')	1401.0	3453.0	4213.0	0.81955	0.76443
('Crizotinib 2633', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Crizotinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: A21')	1401.0	3781.0	4545.0	0.83173	0.7943
