	('cellCount 0',)	('percentApoptoticCells 1',)	('percentDeadCells 2',)
('4212 773', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J09', 'controlType: ', 'assayCompoundConcentration: 0.001696667', 'day: 2.0')	163.0	7.936643	11.257626
('4213 774', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J10', 'controlType: ', 'assayCompoundConcentration: 0.001696667', 'day: 1.0')	118.0	3.28228	5.679805
('4214 775', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J10', 'controlType: ', 'assayCompoundConcentration: 0.001696667', 'day: 2.0')	187.0	9.135056	13.234932
('4215 776', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J11', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	148.0	4.275122	6.274599
('4216 777', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J11', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	173.0	9.115297	13.922331
('4217 778', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J12', 'controlType: ', 'assayCompoundConcentration: 0.001696667', 'day: 1.0')	133.0	5.550706	8.608402
('4218 779', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J12', 'controlType: ', 'assayCompoundConcentration: 0.001696667', 'day: 2.0')	202.0	10.282011	15.554827
('4219 780', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J13', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 1.0')	103.0	12.024852	18.569254
('4220 781', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J13', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 2.0')	120.0	33.527405	34.618408
('4221 782', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J14', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	146.0	4.337079	6.95124
('4222 783', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J14', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	169.0	10.237788	14.161373
('4223 784', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J15', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 1.0')	83.0	7.039358	12.816577
('4224 785', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J15', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 2.0')	127.0	26.51092	30.40498
('4225 786', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J16', 'controlType: ', 'assayCompoundConcentration: 1.23457', 'day: 1.0')	88.0	18.8599	27.954609
('4226 787', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J16', 'controlType: ', 'assayCompoundConcentration: 1.23457', 'day: 2.0')	152.0	18.92177	28.547546
('4227 788', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J17', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 1.0')	121.0	5.680809	10.769923
('4228 789', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J17', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 2.0')	187.0	12.444894	15.135637
('4229 790', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J18', 'controlType: ', 'assayCompoundConcentration: 1.23457', 'day: 1.0')	96.0	16.859203	23.07214
('4230 791', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J18', 'controlType: ', 'assayCompoundConcentration: 1.23457', 'day: 2.0')	137.0	25.037586	29.114519
('4231 792', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J19', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 1.0')	134.0	4.68217	7.483639
('4232 793', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J19', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 2.0')	177.0	14.097189	22.162508
('4233 794', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J20', 'controlType: ', 'assayCompoundConcentration: 0.001696667', 'day: 1.0')	122.0	8.631558	11.443971
('4234 795', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J20', 'controlType: ', 'assayCompoundConcentration: 0.001696667', 'day: 2.0')	138.0	25.823662	23.80304
('4235 796', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J21', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	138.0	2.947299	6.558664
('4236 797', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J21', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	205.0	8.47947	11.848359
('4237 798', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J22', 'controlType: ', 'assayCompoundConcentration: 0.001696667', 'day: 1.0')	121.0	7.882305	13.543499
('4238 799', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: J22', 'controlType: ', 'assayCompoundConcentration: 0.001696667', 'day: 2.0')	158.0	22.399618	24.228376
('4239 800', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K03', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 1.0')	117.0	3.963292	8.020746
('4240 801', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K03', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 2.0')	175.0	6.77286	11.824042
('4241 802', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K04', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	117.0	3.580353	7.032811
('4242 803', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K04', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	172.0	8.544436	13.615436
('4243 804', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K05', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 1.0')	115.0	4.816662	7.527227
('4244 805', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K05', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 2.0')	170.0	7.317109	10.351176
('4245 806', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K06', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 1.0')	88.0	8.763497	16.339197
('4246 807', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K06', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 2.0')	119.0	25.680357	33.973164
('4247 808', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K07', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 1.0')	127.0	4.345846	7.141062
('4248 809', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K07', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 2.0')	182.0	7.158248	14.102831
('4249 810', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K08', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 1.0')	88.0	7.413223	16.321167
('4250 811', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K08', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 2.0')	106.0	17.153414	22.893316
('4251 812', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K09', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 1.0')	131.0	5.217806	7.410977
('4252 813', 'smCenterCompoundID: 10104.0', 'smSalt: 101.0', 'smLincsID: LSM-1104', 'smName: RO-3306', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K09', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 2.0')	168.0	9.584691	13.740894
('4253 814', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K10', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 1.0')	109.0	4.107689	8.443249
('4254 815', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K10', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 2.0')	168.0	9.056128	14.882201
('4255 816', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K11', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	108.0	2.65203	4.813912
('4256 817', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K11', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	193.0	8.302642	12.811853
('4257 818', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K12', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 1.0')	132.0	6.457592	10.464853
('4258 819', 'smCenterCompoundID: 10041.0', 'smSalt: 101.0', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K12', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 2.0')	186.0	9.370914	11.747433
('4259 820', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K13', 'controlType: ', 'assayCompoundConcentration: 0.137176667', 'day: 1.0')	117.0	8.971384	13.759235
('4260 821', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K13', 'controlType: ', 'assayCompoundConcentration: 0.137176667', 'day: 2.0')	140.0	16.766378	25.360901
('4261 822', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K14', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	113.0	2.323759	6.055132
('4262 823', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K14', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	176.0	9.102377	13.521575
('4263 824', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K15', 'controlType: ', 'assayCompoundConcentration: 0.137176667', 'day: 1.0')	99.0	12.047148	14.06293
('4264 825', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K15', 'controlType: ', 'assayCompoundConcentration: 0.137176667', 'day: 2.0')	144.0	20.752745	29.140627
('4265 826', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K16', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 1.0')	91.0	6.685998	12.484145
('4266 827', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K16', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 2.0')	107.0	24.236193	27.079361
('4267 828', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K17', 'controlType: ', 'assayCompoundConcentration: 0.00019', 'day: 1.0')	125.0	3.467691	7.55464
('4268 829', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K17', 'controlType: ', 'assayCompoundConcentration: 0.00019', 'day: 2.0')	162.0	10.358601	16.395195
('4269 830', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K18', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 1.0')	92.0	7.761149	12.065682
('4270 831', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K18', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 2.0')	116.0	27.282887	32.876129
('4271 832', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K19', 'controlType: ', 'assayCompoundConcentration: 0.00019', 'day: 1.0')	119.0	3.243842	6.741559
('4272 833', 'smCenterCompoundID: 10105.0', 'smSalt: 101.0', 'smLincsID: LSM-1105', 'smName: MPS-1-IN-1', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K19', 'controlType: ', 'assayCompoundConcentration: 0.00019', 'day: 2.0')	172.0	10.486963	15.153318
('4273 834', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K20', 'controlType: ', 'assayCompoundConcentration: 0.001696667', 'day: 1.0')	117.0	4.476742	6.223715
('4274 835', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K20', 'controlType: ', 'assayCompoundConcentration: 0.001696667', 'day: 2.0')	175.0	10.068033	15.691589
('4275 836', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K21', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	111.0	6.738933	8.735153
('4276 837', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K21', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	181.0	9.840482	14.068999
('4277 838', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K22', 'controlType: ', 'assayCompoundConcentration: 0.001696667', 'day: 1.0')	111.0	4.094006	7.044674
('4278 839', 'smCenterCompoundID: 10103.0', 'smSalt: 101.0', 'smLincsID: LSM-1103', 'smName: Staurosporine', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: K22', 'controlType: ', 'assayCompoundConcentration: 0.001696667', 'day: 2.0')	152.0	7.326431	6.33076
('4279 840', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L03', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 1.0')	121.0	3.432432	5.783028
('4280 841', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L03', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 2.0')	219.0	10.908906	13.855293
('4281 842', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L04', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	114.0	4.535459	9.981858
('4282 843', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L04', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	185.0	4.440014	9.222002
('4283 844', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L05', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 1.0')	113.0	4.065732	7.741992
('4284 845', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L05', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 2.0')	167.0	9.601008	14.077073
('4285 846', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L06', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 1.0')	98.0	4.708775	8.961003
('4286 847', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L06', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 2.0')	168.0	7.928837	10.403494
('4287 848', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L07', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 1.0')	115.0	6.089738	8.457767
('4288 849', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L07', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 2.0')	180.0	6.995441	13.29428
('4289 850', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L08', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 1.0')	103.0	7.139418	10.42388
('4290 851', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L08', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 2.0')	155.0	7.865561	11.88816
('4291 852', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L09', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 1.0')	102.0	4.230905	5.472375
('4292 853', 'smCenterCompoundID: 10014.0', 'smSalt: 101.0', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L09', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 2.0')	166.0	12.980725	21.120781
('4293 854', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L10', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 1.0')	112.0	2.835766	4.078664
('4294 855', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L10', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 2.0')	194.0	9.219025	13.289779
('4295 856', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L11', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	123.0	4.297963	7.448884
('4296 857', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L11', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	180.0	7.42164	14.321801
('4297 858', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L12', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 1.0')	109.0	5.78089	10.179115
('4298 859', 'smCenterCompoundID: 10021.0', 'smSalt: 101.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L12', 'controlType: ', 'assayCompoundConcentration: 0.000566667', 'day: 2.0')	195.0	10.869342	16.124125
('4299 860', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L13', 'controlType: ', 'assayCompoundConcentration: 0.137176667', 'day: 1.0')	89.0	14.098164	12.748805
('4300 861', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L13', 'controlType: ', 'assayCompoundConcentration: 0.137176667', 'day: 2.0')	125.0	30.979389	31.017031
('4301 862', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L14', 'controlType: N', 'assayCompoundConcentration: ', 'day: 1.0')	120.0	4.794669	6.994942
('4302 863', 'smCenterCompoundID: ', 'smSalt: ', 'smLincsID: ', 'smName: ', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L14', 'controlType: N', 'assayCompoundConcentration: ', 'day: 2.0')	191.0	10.503505	16.590868
('4303 864', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L15', 'controlType: ', 'assayCompoundConcentration: 0.137176667', 'day: 1.0')	94.0	9.969809	11.036745
('4304 865', 'smCenterCompoundID: 10106.0', 'smSalt: 101.0', 'smLincsID: LSM-1106', 'smName: XMD-12', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L15', 'controlType: ', 'assayCompoundConcentration: 0.137176667', 'day: 2.0')	127.0	32.928913	35.119263
('4305 866', 'smCenterCompoundID: 10102.0', 'smSalt: 101.0', 'smLincsID: LSM-1102', 'smName: Taxol', 'clName: BPH-1', 'clCenterSpecificID: 50005', 'recordedWell: L16', 'controlType: ', 'assayCompoundConcentration: 0.411523333', 'day: 1.0')	83.0	15.07879	19.93618
