	('totalNumberofCells(Nuclei) 0',)	('numberofApoptoticCells 1',)	('relativeViability 2',)	('meanRelativeViability 3',)	('apoptosisFraction 4',)	('meanApoptosisFraction 5',)
('PLX-4720 634', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.1', 'timePoint: 72', 'replicate: 3')	2653.0	147.0	0.91026	0.89328	0.055409	0.052961
('PLX-4720 635', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.1', 'timePoint: 72', 'replicate: 4')	2940.0	133.0	1.0196	0.89328	0.045238	0.052961
('PLX-4720 636', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 1')	3986.0	218.0	1.2586	1.0207	0.054691	0.056215
('PLX-4720 637', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 2')	4223.0	244.0	1.3291	1.0207	0.057779	0.056215
('PLX-4720 638', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 3')	2498.0	145.0	0.78599	1.0207	0.058046	0.056215
('PLX-4720 639', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 4')	2245.0	122.0	0.70916	1.0207	0.054343	0.056215
('PLX-4720 640', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 1')	2481.0	202.0	0.52071	0.53808	0.081419	0.078487
('PLX-4720 641', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 2')	2718.0	200.0	0.57532	0.53808	0.073584	0.078487
('PLX-4720 642', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 3')	2572.0	202.0	0.54151	0.53808	0.078538	0.078487
('PLX-4720 643', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 4')	2450.0	197.0	0.51477	0.53808	0.080408	0.078487
('PLX-4720 644', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 1')	1548.0	140.0	0.51143	0.56909	0.090439	0.084211
('PLX-4720 645', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 2')	1481.0	147.0	0.48455	0.56909	0.099257	0.084211
('PLX-4720 646', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 3')	1936.0	144.0	0.65091	0.56909	0.07438	0.084211
('PLX-4720 647', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 4')	1869.0	136.0	0.62948	0.56909	0.072766	0.084211
('PLX-4720 648', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 1', 'timePoint: 24', 'replicate: 1')	4055.0	427.0	1.2119	0.94591	0.1053	0.10808
('PLX-4720 649', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 1', 'timePoint: 24', 'replicate: 2')	3930.0	382.0	1.1852	0.94591	0.097201	0.10808
('PLX-4720 650', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 1', 'timePoint: 24', 'replicate: 3')	2366.0	276.0	0.69814	0.94591	0.11665	0.10808
('PLX-4720 651', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 1', 'timePoint: 24', 'replicate: 4')	2324.0	263.0	0.68845	0.94591	0.11317	0.10808
('PLX-4720 652', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 1', 'timePoint: 48', 'replicate: 1')	2045.0	279.0	0.4035	0.40704	0.13643	0.18388
('PLX-4720 653', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 1', 'timePoint: 48', 'replicate: 2')	2238.0	304.0	0.44189	0.40704	0.13584	0.18388
('PLX-4720 654', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 1', 'timePoint: 48', 'replicate: 3')	2029.0	413.0	0.36923	0.40704	0.20355	0.18388
('PLX-4720 655', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 1', 'timePoint: 48', 'replicate: 4')	2445.0	635.0	0.41356	0.40704	0.25971	0.18388
('PLX-4720 656', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 1', 'timePoint: 72', 'replicate: 1')	1332.0	267.0	0.38684	0.41744	0.20045	0.18298
('PLX-4720 657', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 1', 'timePoint: 72', 'replicate: 2')	1282.0	267.0	0.36868	0.41744	0.20827	0.18298
('PLX-4720 658', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 1', 'timePoint: 72', 'replicate: 3')	1586.0	263.0	0.48056	0.41744	0.16583	0.18298
('PLX-4720 659', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 1', 'timePoint: 72', 'replicate: 4')	1417.0	223.0	0.4337	0.41744	0.15737	0.18298
('PLX-4720 660', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 3.16', 'timePoint: 24', 'replicate: 1')	3515.0	504.0	1.0058	0.80803	0.14339	0.15435
('PLX-4720 661', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 3.16', 'timePoint: 24', 'replicate: 2')	3632.0	527.0	1.0372	0.80803	0.1451	0.15435
('PLX-4720 662', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 3.16', 'timePoint: 24', 'replicate: 3')	2153.0	364.0	0.59759	0.80803	0.16907	0.15435
('PLX-4720 663', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 3.16', 'timePoint: 24', 'replicate: 4')	2108.0	337.0	0.59158	0.80803	0.15987	0.15435
('PLX-4720 664', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 3.16', 'timePoint: 48', 'replicate: 1')	1860.0	509.0	0.30868	0.30571	0.27366	0.32293
('PLX-4720 665', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 3.16', 'timePoint: 48', 'replicate: 2')	1908.0	586.0	0.30206	0.30571	0.30713	0.32293
('PLX-4720 666', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 3.16', 'timePoint: 48', 'replicate: 3')	2256.0	812.0	0.32993	0.30571	0.35993	0.32293
('PLX-4720 667', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 3.16', 'timePoint: 48', 'replicate: 4')	1903.0	668.0	0.28218	0.30571	0.35102	0.32293
('PLX-4720 668', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 3.16', 'timePoint: 72', 'replicate: 1')	1183.0	457.0	0.26371	0.27324	0.38631	0.3742
('PLX-4720 669', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 3.16', 'timePoint: 72', 'replicate: 2')	1101.0	421.0	0.247	0.27324	0.38238	0.3742
('PLX-4720 670', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 3.16', 'timePoint: 72', 'replicate: 3')	1114.0	422.0	0.25136	0.27324	0.37882	0.3742
('PLX-4720 671', 'smCenterCompoundID: 10049.0', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 3.16', 'timePoint: 72', 'replicate: 4')	1400.0	489.0	0.3309	0.27324	0.34929	0.3742
('AZ-628 672', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 1')	3916.0	201.0	1.2409	0.92252	0.051328	0.048472
('AZ-628 673', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 2')	4126.0	227.0	1.3024	0.92252	0.055017	0.048472
('AZ-628 674', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 3')	1827.0	76.0	0.5849	0.92252	0.041598	0.048472
('AZ-628 675', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 4')	1763.0	81.0	0.56185	0.92252	0.045944	0.048472
('AZ-628 676', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 1')	4652.0	209.0	1.0152	0.96546	0.044927	0.05176
('AZ-628 677', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 2')	4371.0	224.0	0.94752	0.96546	0.051247	0.05176
('AZ-628 678', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 3')	4420.0	266.0	0.94912	0.96546	0.060181	0.05176
('AZ-628 679', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 4')	4380.0	222.0	0.95004	0.96546	0.050685	0.05176
('AZ-628 680', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 1')	3041.0	279.0	1.0032	1.0486	0.091746	0.084699
('AZ-628 681', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 2')	3179.0	251.0	1.0635	1.0486	0.078956	0.084699
('AZ-628 682', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 3')	3357.0	278.0	1.1184	1.0486	0.082812	0.084699
('AZ-628 683', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 4')	3037.0	259.0	1.0091	1.0486	0.085282	0.084699
('AZ-628 684', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.01', 'timePoint: 24', 'replicate: 1')	4664.0	182.0	1.4972	1.1247	0.039022	0.040322
('AZ-628 685', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.01', 'timePoint: 24', 'replicate: 2')	4239.0	186.0	1.3538	1.1247	0.043878	0.040322
('AZ-628 686', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.01', 'timePoint: 24', 'replicate: 3')	2509.0	103.0	0.80369	1.1247	0.041052	0.040322
('AZ-628 687', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.01', 'timePoint: 24', 'replicate: 4')	2625.0	98.0	0.84411	1.1247	0.037333	0.040322
('AZ-628 688', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.01', 'timePoint: 48', 'replicate: 1')	5088.0	253.0	1.1047	1.0788	0.049725	0.043471
('AZ-628 689', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.01', 'timePoint: 48', 'replicate: 2')	4573.0	194.0	1.0005	1.0788	0.042423	0.043471
('AZ-628 690', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.01', 'timePoint: 48', 'replicate: 3')	4977.0	209.0	1.0894	1.0788	0.041993	0.043471
('AZ-628 691', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.01', 'timePoint: 48', 'replicate: 4')	5108.0	203.0	1.1207	1.0788	0.039742	0.043471
('AZ-628 692', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.01', 'timePoint: 72', 'replicate: 1')	3654.0	233.0	1.2426	1.1286	0.063766	0.069126
('AZ-628 693', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.01', 'timePoint: 72', 'replicate: 2')	3364.0	232.0	1.1376	1.1286	0.068966	0.069126
('AZ-628 694', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.01', 'timePoint: 72', 'replicate: 3')	3156.0	233.0	1.0617	1.1286	0.073828	0.069126
('AZ-628 695', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.01', 'timePoint: 72', 'replicate: 4')	3174.0	222.0	1.0723	1.1286	0.069943	0.069126
('AZ-628 696', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.0316', 'timePoint: 24', 'replicate: 1')	4566.0	228.0	1.449	1.1618	0.049934	0.043456
('AZ-628 697', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.0316', 'timePoint: 24', 'replicate: 2')	4611.0	169.0	1.4838	1.1618	0.036651	0.043456
('AZ-628 698', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.0316', 'timePoint: 24', 'replicate: 3')	2691.0	107.0	0.86315	1.1618	0.039762	0.043456
('AZ-628 699', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.0316', 'timePoint: 24', 'replicate: 4')	2675.0	127.0	0.85112	1.1618	0.047477	0.043456
('AZ-628 700', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.0316', 'timePoint: 48', 'replicate: 1')	3571.0	173.0	0.77639	0.77799	0.048446	0.047715
('AZ-628 701', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.0316', 'timePoint: 48', 'replicate: 2')	3403.0	132.0	0.74737	0.77799	0.038789	0.047715
('AZ-628 702', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.0316', 'timePoint: 48', 'replicate: 3')	3756.0	210.0	0.8102	0.77799	0.055911	0.047715
('AZ-628 703', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.0316', 'timePoint: 48', 'replicate: 4')						
('AZ-628 704', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.0316', 'timePoint: 72', 'replicate: 1')	2304.0	149.0	0.78276	0.71575	0.06467	0.067948
('AZ-628 705', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.0316', 'timePoint: 72', 'replicate: 2')	2157.0	151.0	0.72864	0.71575	0.070005	0.067948
('AZ-628 706', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.0316', 'timePoint: 72', 'replicate: 3')	2069.0	130.0	0.70431	0.71575	0.062832	0.067948
('AZ-628 707', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.0316', 'timePoint: 72', 'replicate: 4')	1925.0	143.0	0.64728	0.71575	0.074286	0.067948
('AZ-628 708', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.1', 'timePoint: 24', 'replicate: 1')	3798.0	257.0	1.1828	0.98173	0.067667	0.072825
('AZ-628 709', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.1', 'timePoint: 24', 'replicate: 2')	3978.0	274.0	1.2373	0.98173	0.068879	0.072825
('AZ-628 710', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.1', 'timePoint: 24', 'replicate: 3')	2514.0	206.0	0.77096	0.98173	0.081941	0.072825
('AZ-628 711', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.1', 'timePoint: 24', 'replicate: 4')	2376.0	173.0	0.73588	0.98173	0.072811	0.072825
('AZ-628 712', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.1', 'timePoint: 48', 'replicate: 1')	2365.0	189.0	0.49718	0.47987	0.079915	0.12049
('AZ-628 713', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.1', 'timePoint: 48', 'replicate: 2')	2187.0	234.0	0.44623	0.47987	0.107	0.12049
('AZ-628 714', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.1', 'timePoint: 48', 'replicate: 3')	2460.0	347.0	0.48279	0.47987	0.14106	0.12049
('AZ-628 715', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.1', 'timePoint: 48', 'replicate: 4')	2552.0	393.0	0.4933	0.47987	0.154	0.12049
('AZ-628 716', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.1', 'timePoint: 72', 'replicate: 1')	1409.0	168.0	0.45077	0.47538	0.11923	0.10945
('AZ-628 717', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.1', 'timePoint: 72', 'replicate: 2')	1490.0	145.0	0.48855	0.47538	0.097315	0.10945
('AZ-628 718', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.1', 'timePoint: 72', 'replicate: 3')	1460.0	150.0	0.47583	0.47538	0.10274	0.10945
('AZ-628 719', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.1', 'timePoint: 72', 'replicate: 4')	1519.0	180.0	0.48637	0.47538	0.1185	0.10945
('AZ-628 720', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 1')	3776.0	378.0	1.1351	0.93806	0.10011	0.10547
('AZ-628 721', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 2')	4029.0	463.0	1.1912	0.93806	0.11492	0.10547
('AZ-628 722', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 3')	2321.0	214.0	0.70381	0.93806	0.092202	0.10547
('AZ-628 723', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 24', 'replicate: 4')	2442.0	280.0	0.72219	0.93806	0.11466	0.10547
('AZ-628 724', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 1')	2126.0	503.0	0.37083	0.36843	0.23659	0.22114
('AZ-628 725', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 2')	2005.0	429.0	0.36009	0.36843	0.21397	0.22114
('AZ-628 726', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 3')	1985.0	439.0	0.35324	0.36843	0.22116	0.22114
('AZ-628 727', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 48', 'replicate: 4')	2166.0	461.0	0.38956	0.36843	0.21283	0.22114
('AZ-628 728', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 1')	1238.0	278.0	0.3487	0.3922	0.22456	0.22521
('AZ-628 729', 'smCenterCompoundID: 10050.0', 'smLincsID: LSM-1050', 'smName: AZ-628', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'drugConcentration: 0.316', 'timePoint: 72', 'replicate: 2')	1299.0	283.0	0.36904	0.3922	0.21786	0.22521
