	('MeanIntensityDAPI 0',)	('ElongationFactor 1',)	('MeanIntensityAlexa488 2',)	('MeanIntensityAlexa555 3',)	('TotalIntensityAlexa555 4',)	('MeanIntensityAlexa647 5',)	('Area 6',)	('Z 7',)	('SpotCellCount 8',)	('TotalIntensityDAPI 9',)	('MeanIntensityDAPIMedNorm 10',)	('MeanIntensityAlexa488MedNorm 11',)	('MeanIntensityAlexa555MedNorm 12',)	('TotalIntensityAlexa555MedNorm 13',)	('MeanIntensityAlexa647MedNorm 14',)	('TotalIntensityDAPIMedNorm 15',)	('SpotCellCountMedNorm 16',)	('RadialPosition 17',)	('Density 18',)	('EdUPositiveProportion 19',)	('CVElongationFactor 20',)	('CVZ 21',)	('CVRadialPosition 22',)	('CVDensity 23',)	('CVEdUPositiveProportion 24',)	('LoessSCC 25',)
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 157', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: DSG2_Q14126', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  14', 'ECMp: DSG2')	290.57	1.786	139.397	55.562	229808.0	4.504	4160.0	5711.0	14.5	1039910.0	0.3768	1.4617	1.1924	1.03212	0.6216	0.31051	0.26852	100.773	0.87038	0.0	0.097819	0.0007588	0.187619	0.66093	1.5038	1.0252
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 158', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: ECM1_Q16610', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  16', 'ECMp: ECM1')	301.93	1.832	145.101	52.276	222816.0	4.676	4300.0	5710.0	16.0	1097351.0	0.3915	1.5215	1.1218	1.00071	0.6454	0.32766	0.2963	117.914	0.74604	0.060662	0.092468	0.001397	0.137553	0.55294	0.912	0.8648
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 159', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: FN1_P02751', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  10', 'ECMp: FN1')	255.61	1.83	126.922	51.854	226689.0	4.407	4926.0	5710.0	11.0	1082068.0	0.3315	1.3309	1.1128	1.01811	0.6082	0.32309	0.2037	116.233	0.49736	0.016667	0.100399	0.002497	0.239639	0.85759	2.1396	0.7689
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 160', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: GAP43_P17677', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  17', 'ECMp: GAP43')	272.21	1.797	137.92	52.867	201390.0	4.461	4029.0	5709.0	12.0	1053122.0	0.353	1.4462	1.1345	0.90448	0.6157	0.31445	0.22222	96.07	0.68387	0.0	0.120509	0.001701	0.34941	0.66158	1.8097	0.8881
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 161', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: HyA500K', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  15', 'ECMp: HyA500K')	282.93	1.859	128.215	53.846	256557.0	4.664	4638.0	5710.0	15.0	1258552.0	0.3669	1.3445	1.1555	1.15225	0.6437	0.37579	0.27778	100.517	0.87038	0.0	0.078367	0.001082	0.256301	0.42857	2.2126	0.8065
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 162', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: HyA50K', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  15', 'ECMp: HyA50K')	260.78	1.76	133.043	49.054	184844.0	4.317	4066.0	5709.0	15.0	990816.0	0.3382	1.3951	1.0527	0.83017	0.5958	0.29585	0.27778	95.486	0.74604	0.0	0.061403	0.001554	0.200514	0.70553	1.9134	1.0011
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 163', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: ICAM1_P05362', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  14', 'ECMp: ICAM1')	276.18	1.745	136.318	53.418	262470.0	4.552	4948.0	5704.0	9.0	1342539.0	0.3581	1.4294	1.1464	1.17881	0.6282	0.40087	0.16667	98.418	0.6217	0.0	0.116329	0.002242	0.467952	0.7756	1.627	0.8603
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 164', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: INGAVB2', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  12', 'ECMp: INGAVB2')	282.53	1.792	141.695	55.313	242330.0	4.448	4066.0	5710.0	14.0	1156608.0	0.3664	1.4858	1.187	1.08836	0.6139	0.34535	0.25926	95.612	0.68387	0.0	0.076074	0.0008491	0.186085	0.55602	1.6414	0.9981
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 165', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: ITGA10B1', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  13', 'ECMp: ITGA10B1')	265.28	1.705	135.337	54.593	201642.0	4.411	3912.0	5708.0	22.0	910330.0	0.344	1.4191	1.1716	0.90562	0.6088	0.27181	0.40741	110.805	0.99472	0.0	0.071592	0.00162	0.327717	0.69478	2.6111	1.2942
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 166', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: ITGA2B1', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  12', 'ECMp: ITGA2B1')	270.29	1.819	128.601	54.059	234223.0	4.659	3951.0	5710.0	14.5	1145000.0	0.3505	1.3485	1.1601	1.05195	0.643	0.34188	0.26852	99.641	0.71495	0.0	0.10925	0.001032	0.217274	0.56912	1.941	1.0098
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 167', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: ITGA3B1', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  14', 'ECMp: ITGA3B1')	282.49	1.79	139.962	51.18	185099.0	4.849	3623.0	5707.0	17.0	1036999.0	0.3663	1.4676	1.0983	0.83132	0.6693	0.30964	0.31481	102.125	0.83929	0.04381	0.068387	0.002055	0.361356	0.64723	1.0624	1.0269
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 168', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: ITGA4B1', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  12', 'ECMp: ITGA4B1')	253.44	1.837	132.586	50.533	226886.0	4.396	4473.0	5709.0	11.5	1084451.0	0.3286	1.3903	1.0844	1.01899	0.6067	0.32381	0.21296	95.506	0.68387	0.0	0.092089	0.001148	0.369555	0.6286	1.7937	0.9566
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 169', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: ITGA6B4', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  15', 'ECMp: ITGA6B4')	282.57	1.798	144.34	54.638	209158.0	4.775	4291.0	5709.0	12.0	1044569.0	0.3664	1.5136	1.1725	0.93937	0.659	0.3119	0.22222	102.098	0.74604	0.0	0.08583	0.0009835	0.255341	0.50873	1.784	1.0118
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 170', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: ITGA9B1', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  14', 'ECMp: ITGA9B1')	288.02	1.719	144.069	57.549	219083.0	4.61	3941.0	5711.0	13.0	924095.0	0.3735	1.5107	1.235	0.98395	0.6363	0.27592	0.24074	105.048	0.74604	0.0	0.088359	0.001279	0.373879	0.71802	1.4567	1.0668
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 171', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: ITGAMB2', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  15', 'ECMp: ITGAMB2')	314.36	1.755	150.326	52.344	191935.0	4.716	4154.0	5708.0	15.0	1011818.0	0.4076	1.5763	1.1233	0.86202	0.6509	0.30212	0.27778	95.24	0.87038	0.0	0.07223	0.00095	0.154333	0.4657	1.6115	0.8651
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 172', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: LAMA3_Q16787', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  15', 'ECMp: LAMA3')	299.04	1.922	131.743	50.937	206348.0	4.817	3904.0	5709.0	13.0	1184208.0	0.3878	1.3815	1.0931	0.92675	0.6648	0.35359	0.24074	114.543	0.74604	0.032258	0.086301	0.0007158	0.245798	0.71193	1.5688	1.1718
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 173', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: LAMB1_P07942', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  16', 'ECMp: LAMB1')	285.87	1.871	129.511	51.616	196670.0	4.367	4331.0	5709.0	18.0	1037989.0	0.3707	1.3581	1.1077	0.88329	0.6028	0.30993	0.33333	109.146	0.99472	0.0	0.071999	0.002031	0.294426	0.59335	1.6813	1.0569
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 174', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: LUM_P51884', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  14', 'ECMp: LUM')	282.67	1.801	152.019	51.544	235402.0	4.818	4460.0	5709.0	14.5	1187449.0	0.3665	1.5941	1.1062	1.05724	0.665	0.35456	0.26852	118.949	0.80821	0.060714	0.079246	0.0008952	0.21355	0.52796	1.121	0.9996
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 175', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: NID1_P14543', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:   5', 'ECMp: NID1')	147.8	1.673	111.58	33.877	161557.0	4.674	4430.0	5684.0	2.0	839580.0	0.1917	1.17	0.727	0.72559	0.645	0.25069	0.03704	55.631	0.0	0.0	0.110534	0.002432	0.956229	1.38702		1.2455
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 176', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: OMD_Q99983', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  12', 'ECMp: OMD')	270.93	1.782	153.124	54.944	235602.0	4.689	4414.0	5711.0	15.0	998265.0	0.3513	1.6057	1.1791	1.05814	0.6471	0.29807	0.27778	109.202	0.96363	0.074176	0.059369	0.001198	0.241345	0.70167	1.1374	0.8008
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 177', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: PECAM1_P16284', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  11', 'ECMp: PECAM1')	293.66	1.763	144.891	57.93	213216.0	4.479	3811.0	5707.0	15.0	1047190.0	0.3808	1.5193	1.2432	0.9576	0.6182	0.31268	0.27778	109.017	0.99472	0.0	0.152814	0.000652	0.146795	0.56624	2.0731	1.0118
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 178', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: POSTN_ Q15063', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  12', 'ECMp: POSTN')	287.83	1.723	130.563	51.109	198204.0	4.876	4256.0	5709.0	14.5	1079842.0	0.3732	1.3691	1.0968	0.89018	0.6729	0.32243	0.26852	108.456	0.74604	0.0	0.079268	0.001854	0.209204	0.7199	1.4796	1.0466
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 179', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: SPARC_ P09486', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  10', 'ECMp: SPARC')	294.94	1.891	152.186	53.752	227733.0	4.917	4032.0	5708.0	18.0	1004861.0	0.3825	1.5958	1.1535	1.0228	0.6786	0.30004	0.33333	122.052	0.6217	0.029412	0.0876	0.0009177	0.218264	0.35241	1.205	1.0844
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 180', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: SPP1_P10451', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  13', 'ECMp: SPP1')	287.48	1.766	140.587	51.355	187938.0	4.721	3972.0	5708.0	12.0	1015525.0	0.3728	1.4742	1.1021	0.84407	0.6516	0.30322	0.22222	94.17	0.74604	0.0	0.087576	0.001471	0.214234	0.43858	1.9051	0.9907
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 181', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: THBS1_P07996', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  13', 'ECMp: THBS1')	278.63	1.74	146.739	56.091	243554.0	4.226	4205.0	5707.0	14.0	992637.0	0.3613	1.5387	1.2037	1.09385	0.5832	0.29639	0.25926	105.051	1.11906	0.030303	0.069892	0.001959	0.502811	0.73531	1.4259	0.9963
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 182', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: TNC_P24821', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  13', 'ECMp: TNC')	272.01	1.847	131.398	50.279	228522.0	4.391	4626.0	5710.0	12.0	1127425.0	0.3527	1.3778	1.079	1.02634	0.6061	0.33664	0.22222	113.201	0.74604	0.0	0.059672	0.00153	0.271925	0.53165	1.4271	0.8599
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 183', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: VCAM1_P19320', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  13', 'ECMp: VCAM1')	311.81	1.753	148.748	56.362	208312.0	5.01	4332.0	5710.0	12.0	1011516.0	0.4043	1.5598	1.2096	0.93558	0.6914	0.30203	0.22222	104.764	0.6217	0.0	0.064566	0.0008583	0.234998	0.74089	2.0439	1.024
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 184', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: VTN_P04004', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:  14', 'ECMp: VTN')	270.7	1.773	145.408	51.66	212438.0	4.933	4294.0	5708.0	14.0	969203.0	0.351	1.5247	1.1086	0.9541	0.6808	0.28939	0.25926	95.167	0.68387	0.0	0.066697	0.002376	0.520497	0.82208	2.1053	0.9898
('BMP2_P12643-RnDSystems_355BM010CF_MSA3212051 185', 'id: BMP2_P12643-RnDSystems_355BM010CF_MSA3212051', 'ECMpAnnotID: fiducial', 'Well: A02', 'Ligand: BMP2', 'ReplicateCount:   1', 'ECMp: fiducial')	246.26	1.605	165.768	62.42	215032.0	4.594	3400.0	5702.0	5.0	832531.0	0.3193	1.7382	1.3396	0.96575	0.634	0.24858	0.09259	150.285	0.12434	0.0						0.8593
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 186', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: ALCAM_Q13740', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   8', 'ECMp: ALCAM')	146.7	1.818	145.347	61.286	185878.0	4.294	2564.0	5753.0	12.0	415041.0	0.5385	1.3822	1.1199	0.76112	0.5432	0.35927	0.3	101.114	0.71495	0.0	0.039606	0.001221	0.209533	0.66571	2.8284	0.9277
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 187', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: BCAN_ Q96GW7', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   6', 'ECMp: BCAN')	173.83	1.813	149.229	71.304	181117.0	4.789	2636.0	5750.0	14.5	409258.0	0.6381	1.4191	1.303	0.74163	0.6057	0.35426	0.3625	106.949	1.05689	0.02	0.021624	0.00142	0.184312	0.90694	1.1584	1.2345
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 188', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: BGN_ P21810', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   7', 'ECMp: BGN')	169.29	1.808	158.87	73.008	186672.0	4.655	2704.0	5754.0	16.0	455054.0	0.6215	1.5108	1.3341	0.76437	0.5888	0.3939	0.4	105.292	0.99472	0.0	0.076384	0.001188	0.12449	0.4114	1.7873	1.0993
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 189', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: CADH15_P55291', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   6', 'ECMp: CADH15')	165.22	1.794	157.309	63.794	169976.0	4.953	2762.0	5756.0	13.5	437100.0	0.6065	1.496	1.1657	0.69601	0.6265	0.37836	0.3375	99.609	0.99472	0.0	0.075557	0.0003938	0.222169	0.4106		1.1147
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 190', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: CD44_P16070', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   7', 'ECMp: CD44')	167.1	1.785	154.27	61.264	161615.0	4.362	2941.0	5752.0	10.0	397837.0	0.6134	1.4671	1.1195	0.66177	0.5518	0.34437	0.25	115.589	0.6217	0.0	0.074064	0.001134	0.256627	0.3727		0.9302
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 191', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: CDH1_P12830', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:  10', 'ECMp: CDH1')	158.08	1.843	153.384	66.554	173975.0	4.689	2676.0	5751.0	13.5	377972.0	0.5803	1.4587	1.2162	0.71238	0.5931	0.32718	0.3375	116.496	0.65278	0.0	0.085242	0.001042	0.187351	0.42686	3.1623	0.9829
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 192', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: CDH20_Q9HBT6', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   3', 'ECMp: CDH20')	163.33	1.794	194.677	61.525	175706.0	4.824	2831.0	5754.0	13.0	381288.0	0.5996	1.8513	1.1243	0.71947	0.6101	0.33005	0.325	82.237	1.11906	0.0	0.046786	0.001256	0.042533	0.19879		0.9936
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 193', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: CDH3_P22223', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   3', 'ECMp: CDH3')	151.26	1.82	155.82	76.524	237056.0	4.36	2760.0	5751.0	12.0	497125.0	0.5553	1.4818	1.3983	0.97068	0.5515	0.43032	0.3	98.232	0.80821	0.0	0.030131	0.0006824	0.266007	0.38462		1.1021
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 194', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: CDH6_P55285', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   9', 'ECMp: CDH6')	164.87	1.838	152.431	65.23	193840.0	4.555	2904.0	5747.0	16.0	490938.0	0.6053	1.4496	1.192	0.79372	0.5762	0.42496	0.4	106.191	1.11906	0.0	0.08405	0.001291	0.143555	0.24421	3.0	0.9197
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 195', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: CDH8_P55286', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:  10', 'ECMp: CDH8')	165.41	1.724	149.52	69.207	206997.0	4.692	2953.0	5748.0	12.5	458964.0	0.6072	1.4219	1.2646	0.8476	0.5934	0.39729	0.3125	110.45	0.68387	0.0	0.057279	0.001486	0.161196	0.35595	3.1623	1.0155
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 196', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: CEACAM6_P40199', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:  13', 'ECMp: CEACAM6')	165.73	1.818	158.33	65.717	191340.0	4.751	2686.0	5750.0	13.0	410229.0	0.6084	1.5057	1.2008	0.78348	0.601	0.3551	0.325	110.863	0.87038	0.0	0.047578	0.001088	0.160808	0.36735	2.1203	1.0012
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 197', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: COL1', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   8', 'ECMp: COL1')	163.57	1.934	138.269	64.181	179455.0	4.388	2948.0	5755.0	14.5	510439.0	0.6005	1.3149	1.1728	0.73482	0.555	0.44184	0.3625	95.017	0.99472	0.0	0.071214	0.001157	0.156364	0.43978	2.3286	0.9798
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 198', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: COL23A1_Q86Y22', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   9', 'ECMp: COL23A1')	166.94	1.768	136.91	68.042	197862.0	4.777	2808.0	5751.0	14.0	434046.0	0.6128	1.302	1.2433	0.81019	0.6043	0.37572	0.35	79.866	0.87038	0.0	0.045776	0.0009846	0.316803	0.54709	1.7635	1.0043
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 199', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: COL2A1_P02458', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   9', 'ECMp: COL2A1')	155.83	1.895	154.581	72.576	181406.0	4.758	2696.0	5750.0	13.0	438472.0	0.5721	1.47	1.3262	0.74281	0.6018	0.37955	0.325	103.193	0.74604	0.0	0.105478	0.0006886	0.158061	0.32413	3.0	0.9696
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 200', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: COL3A1_P02461', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   9', 'ECMp: COL3A1')	166.46	1.819	135.674	65.148	201041.0	4.589	2650.0	5752.0	11.0	441194.0	0.6111	1.2902	1.1905	0.82321	0.5804	0.3819	0.275	125.77	0.6217	0.0	0.05049	0.0009803	0.216172	1.24049	2.5334	1.0231
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 201', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: COL4A1_P02462', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   6', 'ECMp: COL4A1')	154.15	1.817	147.873	66.258	204717.0	4.358	2905.0	5747.0	11.5	512044.0	0.5659	1.4063	1.2107	0.83826	0.5512	0.44323	0.2875	98.779	0.71495	0.0	0.032065	0.0004959	0.134265	0.4899	1.6055	0.9037
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 202', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: COL5A1_P20908', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   7', 'ECMp: COL5A1')	168.57	1.849	170.094	66.621	203624.0	4.585	2939.0	5750.0	14.0	405597.0	0.6188	1.6176	1.2174	0.83379	0.5799	0.35109	0.35	122.15	0.74604	0.0	0.032356	0.001189	0.151619	0.87893	2.6458	0.9623
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 203', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: DCN_P07585', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   6', 'ECMp: DCN')	153.05	1.715	168.43	67.191	177302.0	4.618	2708.0	5750.0	12.5	390027.0	0.5619	1.6017	1.2278	0.72601	0.5841	0.33761	0.3125	120.002	0.74604	0.03125	0.049098	0.0006815	0.202394	0.48287	1.2249	0.9322
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 204', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: DSG2_Q14126', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   4', 'ECMp: DSG2')	169.43	1.769	169.864	64.647	218181.0	4.63	3408.0	5747.0	13.5	573734.0	0.622	1.6154	1.1813	0.89339	0.5856	0.49663	0.3375	103.678	0.90146	0.0	0.064581	0.0002079	0.181376	0.31007		0.959
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 205', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: ECM1_Q16610', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   8', 'ECMp: ECM1')	163.94	1.882	152.04	66.499	180523.0	4.677	2790.0	5750.0	11.5	414006.0	0.6018	1.4459	1.2152	0.73919	0.5916	0.35837	0.2875	109.766	0.68387	0.0	0.078051	0.001217	0.10292	0.44877	2.8284	1.0441
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 206', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: FN1_P02751', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   3', 'ECMp: FN1')	153.11	1.873	147.562	53.934	173173.0	4.2	2932.0	5756.0	17.0	430671.0	0.5621	1.4033	0.9856	0.7091	0.5313	0.37279	0.425	109.5	1.05689	0.0	0.013815	0.0005689	0.044038	0.29059	1.7321	0.9946
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 207', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: GAP43_P17677', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:   8', 'ECMp: GAP43')	162.85	1.747	160.045	66.096	179203.0	4.458	2694.0	5752.0	14.0	417301.0	0.5978	1.522	1.2078	0.73379	0.5639	0.36122	0.35	109.281	0.83929	0.0	0.065434	0.001019	0.112673	0.2566	2.8284	1.0208
('BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051 208', 'id: BMP4_Q53XC5-RnDSystems_314BP010CF_BEM6912051', 'ECMpAnnotID: HyA500K', 'Well: B01', 'Ligand: BMP4', 'ReplicateCount:  10', 'ECMp: HyA500K')	160.03	1.776	146.447	60.709	164970.0	4.839	2618.0	5751.0	12.0	401663.0	0.5875	1.3927	1.1094	0.67551	0.6121	0.34769	0.3	123.062	0.68387	0.0	0.053014	0.0008147	0.199115	1.30079	2.1445	0.9106
