	('meanTotalCellCountBeforeTreatment 0',)	('meanTotalCellCountAfterTreatment 1',)	('meanTotalControlCellCount 2',)	('meanRelativeCellCountAfterTreatment 3',)	('meanRelativeGrowthRateAfterTreatment 4',)
('332016 1160', 'smCenterCompoundID: 10041', 'smSalt: 101', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	602.0	3846.0	0.15669	-0.017416
('332017 1161', 'smCenterCompoundID: 10028', 'smSalt: 102', 'smLincsID: LSM-1028', 'smName: BMS345541', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	2121.0	3846.0	0.55155	0.45896
('332018 1162', 'smCenterCompoundID: 10132', 'smSalt: 101', 'smLincsID: LSM-1132', 'smName: BMS-387032', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	532.0	3846.0	0.13849	-0.039374
('332019 1163', 'smCenterCompoundID: 10234', 'smSalt: 101', 'smLincsID: LSM-4257', 'smName: GDC-0980', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	1128.0	3846.0	0.29346	0.14758
('332020 1164', 'smCenterCompoundID: 10122', 'smSalt: 101', 'smLincsID: LSM-1122', 'smName: NVP-AEW541', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3948.0	3846.0	1.0265	1.032
('332021 1165', 'smCenterCompoundID: 10046', 'smSalt: 101', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3895.0	3846.0	1.0129	1.0155
('332022 1166', 'smCenterCompoundID: 10190', 'smSalt: 101', 'smLincsID: LSM-1191', 'smName: PIK-93', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	2580.0	3846.0	0.67089	0.60295
('332023 1167', 'smCenterCompoundID: 10031', 'smSalt: 101', 'smLincsID: LSM-1031', 'smName: KIN001-043', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	3480.0	3846.0	0.9049	0.88526
('332024 1168', 'smCenterCompoundID: 10233', 'smSalt: 101', 'smLincsID: LSM-4256', 'smName: BYL719', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	2892.0	3846.0	0.75193	0.70071
('332025 1169', 'smCenterCompoundID: 10161', 'smSalt: 101', 'smLincsID: LSM-1162', 'smName: NVP-AUY922', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	731.0	3846.0	0.19015	0.022945
('332026 1170', 'smCenterCompoundID: 10045', 'smSalt: 101', 'smLincsID: LSM-1045', 'smName: A443654', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	294.0	3846.0	0.076441	-0.11424
('332027 1171', 'smCenterCompoundID: 10063', 'smSalt: 102', 'smLincsID: LSM-1063', 'smName: OSI-027', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	1638.0	3846.0	0.42588	0.30735
('332028 1172', 'smCenterCompoundID: 10087', 'smSalt: 101', 'smLincsID: LSM-5577', 'smName: XMD11-85h', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	3049.0	3846.0	0.79283	0.75006
('332029 1173', 'smCenterCompoundID: 10017', 'smSalt: 101', 'smLincsID: LSM-6015', 'smName: HG-6-64-01', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	576.0	3846.0	0.14993	-0.025572
('332030 1174', 'smCenterCompoundID: 10039', 'smSalt: 101', 'smLincsID: LSM-5431', 'smName: WH-4-025', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	460.0	3846.0	0.1196	-0.062168
('332031 1175', 'smCenterCompoundID: 10082', 'smSalt: 101', 'smLincsID: LSM-5545', 'smName: WZ-4-145', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	1626.0	3846.0	0.42294	0.3038
('332032 1176', 'smCenterCompoundID: 10091', 'smSalt: 101', 'smLincsID: LSM-6299', 'smName: XMD16-144', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	605.0	3846.0	0.15739	-0.016579
('332033 1177', 'smCenterCompoundID: 10177', 'smSalt: 101', 'smLincsID: LSM-1178', 'smName: Brivanib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3595.0	3846.0	0.93471	0.92123
('332034 1178', 'smCenterCompoundID: 10147', 'smSalt: 101', 'smLincsID: LSM-1148', 'smName: NVP-BKM120', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	477.0	3846.0	0.12411	-0.056731
('332035 1179', 'smCenterCompoundID: 10055', 'smSalt: 101', 'smLincsID: LSM-1055', 'smName: BX-912', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	861.0	3846.0	0.22404	0.063828
('332036 1180', 'smCenterCompoundID: 10120', 'smSalt: 102', 'smLincsID: LSM-1120', 'smName: Canertinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	3099.0	3846.0	0.80575	0.76564
('332037 1181', 'smCenterCompoundID: 10117', 'smSalt: 101', 'smLincsID: LSM-1117', 'smName: Celastrol', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	627.0	3846.0	0.16311	-0.0096784
('332038 1182', 'smCenterCompoundID: 10025', 'smSalt: 101', 'smLincsID: LSM-1025', 'smName: CGP60474', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	383.0	3846.0	0.099668	-0.086217
('332039 1183', 'smCenterCompoundID: 10025', 'smSalt: 101', 'smLincsID: LSM-1025', 'smName: CGP60474', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	440.0	3846.0	0.1144	-0.068442
('332040 1184', 'smCenterCompoundID: 10180', 'smSalt: 101', 'smLincsID: LSM-1181', 'smName: CHIR-99021', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	3403.0	3846.0	0.88496	0.86121
('332041 1185', 'smCenterCompoundID: 10010', 'smSalt: 101', 'smLincsID: LSM-1010', 'smName: CP724714', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3490.0	3846.0	0.90741	0.88829
('332042 1186', 'smCenterCompoundID: 10009', 'smSalt: 101', 'smLincsID: LSM-1009', 'smName: CP466722', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3422.0	3846.0	0.88982	0.86707
('332043 1187', 'smCenterCompoundID: 10027', 'smSalt: 101', 'smLincsID: LSM-1027', 'smName: Crizotinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	934.0	3846.0	0.24293	0.086622
('332044 1188', 'smCenterCompoundID: 10140', 'smSalt: 101', 'smLincsID: LSM-1141', 'smName: CYT387', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	1310.0	3846.0	0.3406	0.20446
('332045 1189', 'smCenterCompoundID: 10020', 'smSalt: 101', 'smLincsID: LSM-1020', 'smName: Dasatinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	556.0	3846.0	0.14465	-0.03195
('332046 1190', 'smCenterCompoundID: 10020', 'smSalt: 101', 'smLincsID: LSM-1020', 'smName: Dasatinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	540.0	3846.0	0.14049	-0.036969
('332047 1191', 'smCenterCompoundID: 10127', 'smSalt: 101', 'smLincsID: LSM-1127', 'smName: Dovitinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	1204.0	3846.0	0.31313	0.17132
('332048 1192', 'smCenterCompoundID: 10069', 'smSalt: 101', 'smLincsID: LSM-1069', 'smName: Enzastaurin', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	4086.0	3846.0	1.0625	1.0755
('332049 1193', 'smCenterCompoundID: 10097', 'smSalt: 101', 'smLincsID: LSM-1097', 'smName: Erlotinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3616.0	3846.0	0.94017	0.92782
('332050 1194', 'smCenterCompoundID: 10157', 'smSalt: 101', 'smLincsID: LSM-1158', 'smName: Foretinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	1085.0	3846.0	0.2821	0.13388
('332051 1195', 'smCenterCompoundID: 10040', 'smSalt: 101', 'smLincsID: LSM-1040', 'smName: R406', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	1994.0	3846.0	0.51845	0.41902
('332052 1196', 'smCenterCompoundID: 10047', 'smSalt: 101', 'smLincsID: LSM-1047', 'smName: GDC-0941', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	1874.0	3846.0	0.48733	0.38148
('332053 1197', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	3709.0	3846.0	0.96452	0.9572
('332054 1198', 'smCenterCompoundID: 10108', 'smSalt: 101', 'smLincsID: LSM-1108', 'smName: Geldanamycin', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	737.0	3846.0	0.19171	0.024827
('332055 1199', 'smCenterCompoundID: 10108', 'smSalt: 101', 'smLincsID: LSM-1108', 'smName: Geldanamycin', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	628.0	3846.0	0.16337	-0.0093648
('332056 1200', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	741.0	3846.0	0.19266	0.025977
('332057 1201', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	860.0	3846.0	0.22369	0.06341
('332058 1202', 'smCenterCompoundID: 10134', 'smSalt: 101', 'smLincsID: LSM-1134', 'smName: GSK1904529A', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	3667.0	3846.0	0.9536	0.94402
('332059 1203', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	436.0	3846.0	0.11345	-0.069592
('332060 1204', 'smCenterCompoundID: 10128', 'smSalt: 101', 'smLincsID: LSM-1128', 'smName: GSK 690693', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3296.0	3846.0	0.85697	0.82744
('332061 1205', 'smCenterCompoundID: 10014', 'smSalt: 101', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	503.0	3846.0	0.13087	-0.048575
('332062 1206', 'smCenterCompoundID: 10015', 'smSalt: 101', 'smLincsID: LSM-5982', 'smName: HG-5-113-01', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	645.0	3846.0	0.1677	-0.0041367
('332063 1207', 'smCenterCompoundID: 10016', 'smSalt: 101', 'smLincsID: LSM-5245', 'smName: HG-5-88-01', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	3141.0	3846.0	0.81667	0.77882
('332064 1208', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	3729.0	3846.0	0.96972	0.96347
('332065 1209', 'smCenterCompoundID: 10100', 'smSalt: 101', 'smLincsID: LSM-36386', 'smName: JNK-9L', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	494.0	3846.0	0.12844	-0.051503
('332066 1210', 'smCenterCompoundID: 10019', 'smSalt: 101', 'smLincsID: LSM-5674', 'smName: JW-7-24-1', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	1400.0	3846.0	0.36418	0.2329
('332067 1211', 'smCenterCompoundID: 10051', 'smSalt: 104', 'smLincsID: LSM-1051', 'smName: Lapatinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	3908.0	3846.0	1.0162	1.0195
('332068 1212', 'smCenterCompoundID: 10115', 'smSalt: 102', 'smLincsID: LSM-1115', 'smName: LDN-193189', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	183.0	3846.0	0.04758	-0.14906
('332069 1213', 'smCenterCompoundID: 10182', 'smSalt: 101', 'smLincsID: LSM-1183', 'smName: Linifanib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	3493.0	3846.0	0.90836	0.88944
('332070 1214', 'smCenterCompoundID: 10135', 'smSalt: 101', 'smLincsID: LSM-1135', 'smName: Linsitinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3644.0	3846.0	0.94745	0.9366
('332071 1215', 'smCenterCompoundID: 10479', 'smSalt: 102', 'smLincsID: ', 'smName: Mitoxantrone', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	154.0	3846.0	0.040127	-0.15805
('332072 1216', 'smCenterCompoundID: 10479', 'smSalt: 102', 'smLincsID: ', 'smName: Mitoxantrone', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	147.0	3846.0	0.038394	-0.16014
('332073 1217', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	2496.0	3846.0	0.64897	0.57649
('332074 1218', 'smCenterCompoundID: 10018', 'smSalt: 101', 'smLincsID: LSM-1018', 'smName: Neratinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	658.0	3846.0	0.17126	0.00015031
('332075 1219', 'smCenterCompoundID: 10099', 'smSalt: 101', 'smLincsID: LSM-1099', 'smName: Nilotinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3771.0	3846.0	0.98047	0.97644
('332076 1220', 'smCenterCompoundID: 10151', 'smSalt: 101', 'smLincsID: LSM-1152', 'smName: BIBF-1120', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	1722.0	3846.0	0.44781	0.3338
('332077 1221', 'smCenterCompoundID: 10061', 'smSalt: 101', 'smLincsID: LSM-1061', 'smName: NU7441', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	2328.0	3846.0	0.60546	0.524
('332078 1222', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	945.0	3846.0	0.24588	0.090177
('332079 1223', 'smCenterCompoundID: 10024', 'smSalt: 101', 'smLincsID: LSM-1024', 'smName: NVP-TAE684', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	832.0	3846.0	0.21641	0.054627
('332080 1224', 'smCenterCompoundID: 10071', 'smSalt: 101', 'smLincsID: LSM-1071', 'smName: PD0332991', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	1572.0	3846.0	0.40872	0.28665
('332081 1225', 'smCenterCompoundID: 10101', 'smSalt: 101', 'smLincsID: LSM-1101', 'smName: PD0325901', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	865.0	3846.0	0.2249	0.064874
('332082 1226', 'smCenterCompoundID: 10101', 'smSalt: 101', 'smLincsID: LSM-1101', 'smName: PD0325901', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	781.0	3846.0	0.20315	0.038629
('332083 1227', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	2923.0	3846.0	0.76016	0.71064
('332084 1228', 'smCenterCompoundID: 10048', 'smSalt: 101', 'smLincsID: LSM-1048', 'smName: PD184352', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	2159.0	3846.0	0.56152	0.47099
('332085 1229', 'smCenterCompoundID: 10159', 'smSalt: 101', 'smLincsID: LSM-1160', 'smName: Pelitinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	1123.0	3846.0	0.29216	0.14601
('332086 1230', 'smCenterCompoundID: 10116', 'smSalt: 101', 'smLincsID: LSM-1116', 'smName: PF431396', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	1070.0	3846.0	0.27838	0.12939
('332087 1231', 'smCenterCompoundID: 10112', 'smSalt: 101', 'smLincsID: LSM-1112', 'smName: PF477736', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	566.0	3846.0	0.14725	-0.028813
('332088 1232', 'smCenterCompoundID: 10072', 'smSalt: 101', 'smLincsID: LSM-1072', 'smName: PF562271', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	1573.0	3846.0	0.40916	0.28717
('332089 1233', 'smCenterCompoundID: 10125', 'smSalt: 101', 'smLincsID: LSM-1125', 'smName: PHA-665752', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3707.0	3846.0	0.96383	0.95636
('332090 1234', 'smCenterCompoundID: 10073', 'smSalt: 101', 'smLincsID: LSM-1073', 'smName: PHA-793887', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	534.0	3846.0	0.13884	-0.038956
('332091 1235', 'smCenterCompoundID: 10126', 'smSalt: 101', 'smLincsID: LSM-1126', 'smName: PI103', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	1230.0	3846.0	0.3198	0.17937
('332092 1236', 'smCenterCompoundID: 10049', 'smSalt: 101', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3690.0	3846.0	0.95958	0.95124
('332093 1237', 'smCenterCompoundID: 10075', 'smSalt: 101', 'smLincsID: LSM-5803', 'smName: QL-X-138', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	1318.0	3846.0	0.34277	0.20708
('332094 1238', 'smCenterCompoundID: 10077', 'smSalt: 101', 'smLincsID: LSM-6019', 'smName: QL-XII-47', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	640.0	3846.0	0.16657	-0.005496
('332095 1239', 'smCenterCompoundID: 10480', 'smSalt: 101', 'smLincsID: ', 'smName: Radicicol', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	687.0	3846.0	0.1788	0.0092471
('332096 1240', 'smCenterCompoundID: 10480', 'smSalt: 101', 'smLincsID: ', 'smName: Radicicol', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	686.0	3846.0	0.17854	0.0089334
('332097 1241', 'smCenterCompoundID: 10001', 'smSalt: 101', 'smLincsID: LSM-1001', 'smName: (R)- Roscovitine', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3388.0	3846.0	0.88106	0.85651
('332098 1242', 'smCenterCompoundID: 10138', 'smSalt: 105', 'smLincsID: LSM-1139', 'smName: Ruxolitinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3559.0	3846.0	0.92535	0.90994
('332099 1243', 'smCenterCompoundID: 10148', 'smSalt: 101', 'smLincsID: LSM-1149', 'smName: XL147', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3861.0	3846.0	1.0039	1.0047
('332100 1244', 'smCenterCompoundID: 10032', 'smSalt: 101', 'smLincsID: LSM-1032', 'smName: Saracatinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	2520.0	3846.0	0.65538	0.58423
('332101 1245', 'smCenterCompoundID: 10056', 'smSalt: 101', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	1534.0	3846.0	0.39902	0.27494
('332102 1246', 'smCenterCompoundID: 10052', 'smSalt: 101', 'smLincsID: LSM-1052', 'smName: Rapamycin', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	2419.0	3846.0	0.62912	0.55255
('332103 1247', 'smCenterCompoundID: 10008', 'smSalt: 101', 'smLincsID: LSM-1008', 'smName: Sorafenib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	3885.0	3846.0	1.0103	1.0124
('332104 1248', 'smCenterCompoundID: 10119', 'smSalt: 101', 'smLincsID: LSM-1119', 'smName: SU11274', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3226.0	3846.0	0.83886	0.80558
('332105 1249', 'smCenterCompoundID: 10141', 'smSalt: 101', 'smLincsID: LSM-1142', 'smName: TG 101348', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	1270.0	3846.0	0.3302	0.19192
('332106 1250', 'smCenterCompoundID: 10171', 'smSalt: 101', 'smLincsID: LSM-1172', 'smName: TGX221', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	3510.0	3846.0	0.91261	0.89457
('332107 1251', 'smCenterCompoundID: 10079', 'smSalt: 101', 'smLincsID: LSM-1079', 'smName: Torin1', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	658.0	748.0	3846.0	0.19466	0.028382
('332108 1252', 'smCenterCompoundID: 10080', 'smSalt: 101', 'smLincsID: LSM-1080', 'smName: Torin2', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	533.0	3846.0	0.13858	-0.039269
('332109 1253', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: Hs 578T', 'clCenterSpecificID: 50238', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	658.0	791.0	3846.0	0.20575	0.041766
