	('cellCount 0',)	('eduPositive 1',)	('mpm2Positive 2',)	('eduPositiveNonMitotic 3',)	('eduPositiveMitotic 4',)
('32397 2894', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: C07', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	6127.0	57.875	2.9215	58.894	24.022
('32398 2895', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: C08', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	344.0	18.895	0.0	18.895	0.0
('32399 2896', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: C08', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	189.0	0.0	0.0	0.0	0.0
('32400 2897', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: C08', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	588.0	0.0	0.0	0.0	0.0
('32401 2898', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: C09', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	1402.0	63.267	6.4194	61.738	85.556
('32402 2899', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: C09', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	2748.0	81.878	8.0058	80.736	95.0
('32403 2900', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: C09', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	6030.0	53.383	3.4163	54.327	26.699
('32404 2901', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: C10', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	800.0	56.0	16.0	49.702	89.062
('32405 2902', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: C10', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	483.0	2.6915	1.6563	2.3158	25.0
('32406 2903', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: C10', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	587.0	0.0	1.0221	0.0	0.0
('32407 2904', 'smName: ', 'clName: IA-LM', 'recordedWell: C11', 'timepoint: 1', 'assayCompoundConcentration: ')	1204.0	58.056	6.4784	57.194	70.513
('32408 2905', 'smName: ', 'clName: IA-LM', 'recordedWell: C11', 'timepoint: 2', 'assayCompoundConcentration: ')	3892.0	62.23	2.7749	62.764	43.519
('32409 2906', 'smName: ', 'clName: IA-LM', 'recordedWell: C11', 'timepoint: 3', 'assayCompoundConcentration: ')	5303.0	47.068	1.98	47.73	14.286
('32410 2907', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: C12', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	680.0	43.382	29.706	39.331	52.97
('32411 2908', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: C12', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	517.0	5.4159	1.1605	5.2838	16.667
('32412 2909', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: C12', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	611.0	0.0	0.982	0.0	0.0
('32413 2910', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: C13', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	614.0	29.805	19.381	23.636	55.462
('32414 2911', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: C13', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	429.0	0.9324	7.6923	0.25253	9.0909
('32415 2912', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: C13', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	507.0	0.0	0.78895	0.0	0.0
('32416 2913', 'smName: ', 'clName: IA-LM', 'recordedWell: C14', 'timepoint: 1', 'assayCompoundConcentration: ')	1182.0	54.822	5.753	55.296	47.059
('32417 2914', 'smName: ', 'clName: IA-LM', 'recordedWell: C14', 'timepoint: 2', 'assayCompoundConcentration: ')	3079.0	85.677	7.9571	84.686	97.143
('32418 2915', 'smName: ', 'clName: IA-LM', 'recordedWell: C14', 'timepoint: 3', 'assayCompoundConcentration: ')	6644.0	51.505	2.7243	52.437	18.232
('32419 2916', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: C15', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	674.0	25.668	22.255	19.275	48.0
('32420 2917', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: C15', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	540.0	0.0	9.6296	0.0	0.0
('32421 2918', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: C15', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	520.0	0.0	1.5385	0.0	0.0
('32422 2919', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: C16', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	637.0	38.462	1.8838	37.6	83.333
('32423 2920', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: C16', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	738.0	25.881	5.9621	22.911	72.727
('32424 2921', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: C16', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	636.0	0.0	2.3585	0.0	0.0
('32425 2922', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: C17', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	1285.0	73.307	7.8599	71.199	98.02
('32426 2923', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: C17', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	2908.0	73.796	8.2875	73.641	75.519
('32427 2924', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: C17', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	5880.0	42.874	4.2687	43.613	26.295
('32428 2925', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: C18', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	718.0	41.086	2.0891	39.972	93.333
('32429 2926', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: C18', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	702.0	25.641	5.2707	23.609	62.162
('32430 2927', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: C18', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	646.0	0.3096	2.4768	0.31746	0.0
('32431 2928', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: C19', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	1539.0	38.921	4.3535	39.742	20.896
('32432 2929', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: C19', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	2868.0	57.462	5.0209	58.921	29.861
('32433 2930', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: C19', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	5678.0	48.714	5.7238	50.495	19.385
('32434 2931', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: C20', 'timepoint: 1', 'assayCompoundConcentration: 0.00019')	1390.0	63.309	10.719	61.08	81.879
('32435 2932', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: C20', 'timepoint: 2', 'assayCompoundConcentration: 0.00019')	2681.0	81.201	11.861	78.713	99.686
('32436 2933', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: C20', 'timepoint: 3', 'assayCompoundConcentration: 0.00019')	5222.0	49.847	4.3661	51.041	23.684
('32437 2934', 'smName: ', 'clName: IA-LM', 'recordedWell: C21', 'timepoint: 1', 'assayCompoundConcentration: ')	1540.0	76.039	6.9481	74.32	99.065
('32438 2935', 'smName: ', 'clName: IA-LM', 'recordedWell: C21', 'timepoint: 2', 'assayCompoundConcentration: ')	3368.0	60.837	3.2067	61.748	33.333
('32439 2936', 'smName: ', 'clName: IA-LM', 'recordedWell: C21', 'timepoint: 3', 'assayCompoundConcentration: ')	5805.0	54.367	3.3592	55.49	22.051
('32440 2937', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: C22', 'timepoint: 1', 'assayCompoundConcentration: 0.00019')	1441.0	61.832	9.3685	60.643	73.333
('32441 2938', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: C22', 'timepoint: 2', 'assayCompoundConcentration: 0.00019')	3038.0	51.547	6.4516	53.061	29.592
('32442 2939', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: C22', 'timepoint: 3', 'assayCompoundConcentration: 0.00019')	5216.0	47.143	4.467	48.244	23.605
('32443 2940', 'smName: GW843682', 'clName: IA-LM', 'recordedWell: D03', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	1249.0	62.29	1.0408	61.893	100.0
('32444 2941', 'smName: GW843682', 'clName: IA-LM', 'recordedWell: D03', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	1564.0	48.082	0.8312	47.711	92.308
('32445 2942', 'smName: GW843682', 'clName: IA-LM', 'recordedWell: D03', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	1810.0	6.3536	0.49724	6.2188	33.333
('32446 2943', 'smName: ', 'clName: IA-LM', 'recordedWell: D04', 'timepoint: 1', 'assayCompoundConcentration: ')	1446.0	65.422	5.5325	64.934	73.75
('32447 2944', 'smName: ', 'clName: IA-LM', 'recordedWell: D04', 'timepoint: 2', 'assayCompoundConcentration: ')	3699.0	66.964	5.2717	67.637	54.872
('32448 2945', 'smName: ', 'clName: IA-LM', 'recordedWell: D04', 'timepoint: 3', 'assayCompoundConcentration: ')	6210.0	45.33	3.5105	46.679	8.2569
('32449 2946', 'smName: GW843682', 'clName: IA-LM', 'recordedWell: D05', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	1631.0	40.037	0.79706	40.235	15.385
('32450 2947', 'smName: GW843682', 'clName: IA-LM', 'recordedWell: D05', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	1946.0	34.481	1.3875	34.445	37.037
('32451 2948', 'smName: GW843682', 'clName: IA-LM', 'recordedWell: D05', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	1989.0	1.0055	0.20111	1.0076	0.0
('32452 2949', 'smName: Tozasertib', 'clName: IA-LM', 'recordedWell: D06', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	575.0	25.217	0.17391	25.087	100.0
('32453 2950', 'smName: Tozasertib', 'clName: IA-LM', 'recordedWell: D06', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	458.0	0.0	0.43668	0.0	0.0
('32454 2951', 'smName: Tozasertib', 'clName: IA-LM', 'recordedWell: D06', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	360.0	0.0	1.6667	0.0	0.0
('32455 2952', 'smName: GW843682', 'clName: IA-LM', 'recordedWell: D07', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	1480.0	73.581	4.7297	72.34	98.571
('32456 2953', 'smName: GW843682', 'clName: IA-LM', 'recordedWell: D07', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	3436.0	77.765	6.9558	77.917	75.732
('32457 2954', 'smName: GW843682', 'clName: IA-LM', 'recordedWell: D07', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	5862.0	53.924	2.9	54.972	18.824
('32458 2955', 'smName: Tozasertib', 'clName: IA-LM', 'recordedWell: D08', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	473.0	22.622	0.0	22.622	0.0
('32459 2956', 'smName: Tozasertib', 'clName: IA-LM', 'recordedWell: D08', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	712.0	0.0	0.2809	0.0	0.0
('32460 2957', 'smName: Tozasertib', 'clName: IA-LM', 'recordedWell: D08', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	416.0	0.0	1.2019	0.0	0.0
('32461 2958', 'smName: GW843682', 'clName: IA-LM', 'recordedWell: D09', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	1582.0	68.71	6.3211	67.679	84.0
('32462 2959', 'smName: GW843682', 'clName: IA-LM', 'recordedWell: D09', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	3415.0	74.846	6.7057	74.765	75.983
('32463 2960', 'smName: GW843682', 'clName: IA-LM', 'recordedWell: D09', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	6323.0	55.148	2.3565	56.058	17.45
('32464 2961', 'smName: Tozasertib', 'clName: IA-LM', 'recordedWell: D10', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	1626.0	64.883	7.1341	64.437	70.69
('32465 2962', 'smName: Tozasertib', 'clName: IA-LM', 'recordedWell: D10', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	2780.0	76.187	4.4964	76.309	73.6
('32466 2963', 'smName: Tozasertib', 'clName: IA-LM', 'recordedWell: D10', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	5789.0	49.007	2.522	49.867	15.753
('32467 2964', 'smName: ', 'clName: IA-LM', 'recordedWell: D11', 'timepoint: 1', 'assayCompoundConcentration: ')	1253.0	35.994	2.3943	36.468	16.667
('32468 2965', 'smName: ', 'clName: IA-LM', 'recordedWell: D11', 'timepoint: 2', 'assayCompoundConcentration: ')	3010.0	67.442	4.9169	68.204	52.703
('32469 2966', 'smName: ', 'clName: IA-LM', 'recordedWell: D11', 'timepoint: 3', 'assayCompoundConcentration: ')	7023.0	45.493	2.1501	46.202	13.245
('32470 2967', 'smName: Tozasertib', 'clName: IA-LM', 'recordedWell: D12', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	1653.0	32.728	2.0569	33.107	14.706
('32471 2968', 'smName: Tozasertib', 'clName: IA-LM', 'recordedWell: D12', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	3304.0	48.547	1.7554	49.045	20.69
('32472 2969', 'smName: Tozasertib', 'clName: IA-LM', 'recordedWell: D12', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	4124.0	2.4976	2.4733	2.5112	1.9608
('32473 2970', 'smName: XMD-12', 'clName: IA-LM', 'recordedWell: D13', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	741.0	40.891	2.4291	39.972	77.778
('32474 2971', 'smName: XMD-12', 'clName: IA-LM', 'recordedWell: D13', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	904.0	2.8761	0.11062	2.8793	0.0
('32475 2972', 'smName: XMD-12', 'clName: IA-LM', 'recordedWell: D13', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	923.0	2.7086	0.65005	2.3991	50.0
('32476 2973', 'smName: ', 'clName: IA-LM', 'recordedWell: D14', 'timepoint: 1', 'assayCompoundConcentration: ')	1514.0	65.059	5.6803	64.356	76.744
('32477 2974', 'smName: ', 'clName: IA-LM', 'recordedWell: D14', 'timepoint: 2', 'assayCompoundConcentration: ')	2874.0	85.317	8.1768	84.236	97.447
('32478 2975', 'smName: ', 'clName: IA-LM', 'recordedWell: D14', 'timepoint: 3', 'assayCompoundConcentration: ')	5797.0	48.37	2.208	48.95	22.656
('32479 2976', 'smName: XMD-12', 'clName: IA-LM', 'recordedWell: D15', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	1095.0	34.429	2.1918	34.267	41.667
('32480 2977', 'smName: XMD-12', 'clName: IA-LM', 'recordedWell: D15', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	765.0	1.6993	0.0	1.6993	0.0
('32481 2978', 'smName: XMD-12', 'clName: IA-LM', 'recordedWell: D15', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	732.0	0.13661	0.13661	0.1368	0.0
('32482 2979', 'smName: Taxol', 'clName: IA-LM', 'recordedWell: D16', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	949.0	36.249	7.5869	33.979	63.889
('32483 2980', 'smName: Taxol', 'clName: IA-LM', 'recordedWell: D16', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	683.0	4.978	5.2709	4.4822	13.889
('32484 2981', 'smName: Taxol', 'clName: IA-LM', 'recordedWell: D16', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	616.0	0.0	4.2208	0.0	0.0
('32485 2982', 'smName: XMD-12', 'clName: IA-LM', 'recordedWell: D17', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	1211.0	74.897	4.3765	73.748	100.0
('32486 2983', 'smName: XMD-12', 'clName: IA-LM', 'recordedWell: D17', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	3263.0	67.177	4.7196	68.286	44.805
('32487 2984', 'smName: XMD-12', 'clName: IA-LM', 'recordedWell: D17', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	5643.0	55.556	3.3138	56.342	32.62
('32488 2985', 'smName: Taxol', 'clName: IA-LM', 'recordedWell: D18', 'timepoint: 1', 'assayCompoundConcentration: 33.33333333')	665.0	49.474	7.218	45.867	95.833
('32489 2986', 'smName: Taxol', 'clName: IA-LM', 'recordedWell: D18', 'timepoint: 2', 'assayCompoundConcentration: 33.33333333')	727.0	7.4278	6.74	6.7847	16.327
('32490 2987', 'smName: Taxol', 'clName: IA-LM', 'recordedWell: D18', 'timepoint: 3', 'assayCompoundConcentration: 33.33333333')	598.0	0.0	2.1739	0.0	0.0
('32491 2988', 'smName: XMD-12', 'clName: IA-LM', 'recordedWell: D19', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	1569.0	31.166	1.9758	31.599	9.6774
('32492 2989', 'smName: XMD-12', 'clName: IA-LM', 'recordedWell: D19', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	4763.0	38.946	3.6112	40.144	6.9767
('32493 2990', 'smName: XMD-12', 'clName: IA-LM', 'recordedWell: D19', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	6805.0	42.337	2.0867	42.879	16.901
('32494 2991', 'smName: Taxol', 'clName: IA-LM', 'recordedWell: D20', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	1070.0	66.542	24.766	59.752	87.17
('32495 2992', 'smName: Taxol', 'clName: IA-LM', 'recordedWell: D20', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	548.0	2.0073	1.0949	1.476	50.0
('32496 2993', 'smName: Taxol', 'clName: IA-LM', 'recordedWell: D20', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	581.0	0.0	0.68847	0.0	0.0
('32497 2994', 'smName: ', 'clName: IA-LM', 'recordedWell: D21', 'timepoint: 1', 'assayCompoundConcentration: ')	1371.0	76.878	3.4282	76.057	100.0
('32498 2995', 'smName: ', 'clName: IA-LM', 'recordedWell: D21', 'timepoint: 2', 'assayCompoundConcentration: ')	3805.0	80.762	6.912	80.548	83.65
('32499 2996', 'smName: ', 'clName: IA-LM', 'recordedWell: D21', 'timepoint: 3', 'assayCompoundConcentration: ')	5959.0	48.901	2.8193	49.732	20.238
('32500 2997', 'smName: Taxol', 'clName: IA-LM', 'recordedWell: D22', 'timepoint: 1', 'assayCompoundConcentration: 0.045726667')	640.0	65.938	23.438	56.531	96.667
('32501 2998', 'smName: Taxol', 'clName: IA-LM', 'recordedWell: D22', 'timepoint: 2', 'assayCompoundConcentration: 0.045726667')	543.0	3.6832	1.4733	3.1776	37.5
('32502 2999', 'smName: Taxol', 'clName: IA-LM', 'recordedWell: D22', 'timepoint: 3', 'assayCompoundConcentration: 0.045726667')	757.0	0.0	0.3963	0.0	0.0
('32503 3000', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: E03', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	1101.0	51.68	0.0	51.68	0.0
('32504 3001', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: E03', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	1468.0	21.253	3.5422	19.703	63.462
('32505 3002', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: E03', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	1108.0	3.6101	1.5343	3.5747	5.8824
('32506 3003', 'smName: ', 'clName: IA-LM', 'recordedWell: E04', 'timepoint: 1', 'assayCompoundConcentration: ')	1536.0	73.763	6.3151	71.994	100.0
('32507 3004', 'smName: ', 'clName: IA-LM', 'recordedWell: E04', 'timepoint: 2', 'assayCompoundConcentration: ')	3192.0	74.436	5.0752	74.389	75.309
('32508 3005', 'smName: ', 'clName: IA-LM', 'recordedWell: E04', 'timepoint: 3', 'assayCompoundConcentration: ')	5643.0	53.748	4.2353	55.44	15.481
('32509 3006', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: E05', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	680.0	64.559	0.0	64.559	0.0
('32510 3007', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: E05', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	737.0	4.6133	0.13569	4.6196	0.0
('32511 3008', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: E05', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	655.0	2.2901	1.2214	2.1638	12.5
('32512 3009', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: E06', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	738.0	48.238	1.084	48.493	25.0
('32513 3010', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: E06', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	762.0	1.5748	0.3937	1.581	0.0
('32514 3011', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: E06', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	624.0	0.0	0.32051	0.0	0.0
('32515 3012', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: E07', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	1698.0	72.379	7.5972	70.236	98.45
('32516 3013', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: E07', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	3692.0	72.129	5.2004	72.0	74.479
('32517 3014', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: E07', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	6440.0	49.845	2.3758	50.724	13.725
('32518 3015', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: E08', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	787.0	45.235	0.50826	45.338	25.0
('32519 3016', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: E08', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	797.0	0.75282	0.75282	0.75853	0.0
('32520 3017', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: E08', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	963.0	0.0	0.41537	0.0	0.0
('32521 3018', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: E09', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	1380.0	50.217	6.5942	50.194	50.549
('32522 3019', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: E09', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	3925.0	72.764	5.4522	73.403	61.682
('32523 3020', 'smName: RO-3306', 'clName: IA-LM', 'recordedWell: E09', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	6032.0	48.607	3.4151	49.828	14.078
('32524 3021', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: E10', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	1385.0	74.585	8.6643	72.332	98.333
('32525 3022', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: E10', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	1966.0	31.536	5.5443	32.149	21.101
('32526 3023', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: E10', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	3284.0	2.1315	6.821	2.0588	3.125
('32527 3024', 'smName: ', 'clName: IA-LM', 'recordedWell: E11', 'timepoint: 1', 'assayCompoundConcentration: ')	1649.0	52.092	5.3366	53.171	32.955
('32528 3025', 'smName: ', 'clName: IA-LM', 'recordedWell: E11', 'timepoint: 2', 'assayCompoundConcentration: ')	3584.0	62.667	4.2969	63.469	44.805
('32529 3026', 'smName: ', 'clName: IA-LM', 'recordedWell: E11', 'timepoint: 3', 'assayCompoundConcentration: ')	6557.0	49.703	2.9434	50.817	12.953
('32530 3027', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: E12', 'timepoint: 1', 'assayCompoundConcentration: 0.015243333')	1216.0	49.836	11.513	50.372	45.714
('32531 3028', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: E12', 'timepoint: 2', 'assayCompoundConcentration: 0.015243333')	2264.0	22.836	8.083	22.778	23.497
('32532 3029', 'smName: BI-2536', 'clName: IA-LM', 'recordedWell: E12', 'timepoint: 3', 'assayCompoundConcentration: 0.015243333')	3123.0	0.0	5.4435	0.0	0.0
('32533 3030', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: E13', 'timepoint: 1', 'assayCompoundConcentration: 3.703706667')	897.0	37.347	24.972	30.609	57.589
('32534 3031', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: E13', 'timepoint: 2', 'assayCompoundConcentration: 3.703706667')	439.0	3.4169	5.9226	1.4528	34.615
('32535 3032', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: E13', 'timepoint: 3', 'assayCompoundConcentration: 3.703706667')	603.0	0.0	3.6484	0.0	0.0
('32536 3033', 'smName: ', 'clName: IA-LM', 'recordedWell: E14', 'timepoint: 1', 'assayCompoundConcentration: ')	1433.0	59.316	7.2575	58.465	70.192
('32537 3034', 'smName: ', 'clName: IA-LM', 'recordedWell: E14', 'timepoint: 2', 'assayCompoundConcentration: ')	3184.0	75.503	6.5955	75.689	72.857
('32538 3035', 'smName: ', 'clName: IA-LM', 'recordedWell: E14', 'timepoint: 3', 'assayCompoundConcentration: ')	5742.0	48.694	2.6297	49.562	16.556
('32539 3036', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: E15', 'timepoint: 1', 'assayCompoundConcentration: 3.703706667')	852.0	33.216	31.69	22.68	55.926
('32540 3037', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: E15', 'timepoint: 2', 'assayCompoundConcentration: 3.703706667')	493.0	1.8256	4.6653	1.2766	13.043
('32541 3038', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: E15', 'timepoint: 3', 'assayCompoundConcentration: 3.703706667')	611.0	0.0	2.6187	0.0	0.0
('32542 3039', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: E16', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	887.0	57.159	3.3822	55.659	100.0
('32543 3040', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: E16', 'timepoint: 2', 'assayCompoundConcentration: 11.11111333')	1016.0	38.976	8.563	35.522	75.862
('32544 3041', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: E16', 'timepoint: 3', 'assayCompoundConcentration: 11.11111333')	739.0	15.426	4.7361	15.483	14.286
('32545 3042', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: E17', 'timepoint: 1', 'assayCompoundConcentration: 0.005083333')	1330.0	74.361	8.2707	72.049	100.0
('32546 3043', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: E17', 'timepoint: 2', 'assayCompoundConcentration: 0.005083333')	3279.0	61.33	5.276	61.751	53.757
('32547 3044', 'smName: MPS-1-IN-1', 'clName: IA-LM', 'recordedWell: E17', 'timepoint: 3', 'assayCompoundConcentration: 0.005083333')	5257.0	52.996	5.7637	54.845	22.772
('32548 3045', 'smName: Staurosporine', 'clName: IA-LM', 'recordedWell: E18', 'timepoint: 1', 'assayCompoundConcentration: 11.11111333')	944.0	56.992	9.0042	53.551	91.765
