	('pAkt10min 0',)	('pAkt30min 1',)	('pAkt90min 2',)	('pErk10min 3',)	('pErk30min 4',)	('pErk90min 5',)	('ligrespelisapaktAU 6',)	('ligrespelisaperkAU 7',)
('114744 279', 'protein_ppName: EPR', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 100.0')	12045.11025	11591.24218	11884.69774	25487.70034	23288.8646	25296.30589		
('114745 280', 'protein_ppName: EPR', 'cell_clName: MDA-MB-361', 'ligandConcentration: 1.0')	2591.942333	2370.576999	2217.300589	272.7051549	166.1702235	1406.037097		
('114746 281', 'protein_ppName: EPR', 'cell_clName: MDA-MB-361', 'ligandConcentration: 100.0')	2411.796751	3079.047843	2287.425056	896.4222677	1535.609314	614.103421		
('114747 282', 'protein_ppName: EPR', 'cell_clName: MDA-MB-415', 'ligandConcentration: 1.0')	28646.79228	27348.50658	28887.49134	293.9902136	43.43729105	43.43729105		
('114748 283', 'protein_ppName: EPR', 'cell_clName: MDA-MB-415', 'ligandConcentration: 100.0')	27840.06802	30197.24848	30730.56999	43.43729105	43.43729105	43.43729105		
('114749 284', 'protein_ppName: EPR', 'cell_clName: MDA-MB-436', 'ligandConcentration: 1.0')	5120.514531	4510.608516	3926.226299	2360.487221	2360.487221	2360.487221		
('114750 285', 'protein_ppName: EPR', 'cell_clName: MDA-MB-436', 'ligandConcentration: 100.0')	7036.234448	6028.198188	5364.681947	12845.44566	11254.96205	11380.08514		
('114751 286', 'protein_ppName: EPR', 'cell_clName: MDA-MB-453', 'ligandConcentration: 1.0')	6793.047939	6465.225921	6430.781948	2672.90306	2207.730713	2460.3309		
('114752 287', 'protein_ppName: EPR', 'cell_clName: MDA-MB-453', 'ligandConcentration: 100.0')	9350.160395	8821.818058	7273.450712	7615.382268	6050.298641	3585.167609		
('114753 288', 'protein_ppName: EPR', 'cell_clName: MDA-MB-468', 'ligandConcentration: 1.0')	48157.34022	48265.82926	50311.18477	42196.62044	41339.16178	36548.79368		
('114754 289', 'protein_ppName: EPR', 'cell_clName: MDA-MB-468', 'ligandConcentration: 100.0')	54712.34607	60249.06685	50162.54865	52909.15707	49577.76039	39059.30578		
('114755 290', 'protein_ppName: EPR', 'cell_clName: T47D', 'ligandConcentration: 1.0')	7149.532517	6882.242151	7697.887389	4712.79921	3406.523796	4862.057387		
('114756 291', 'protein_ppName: EPR', 'cell_clName: T47D', 'ligandConcentration: 100.0')	17694.85315	16134.23392	16323.56084	38328.24901	31395.49134	30055.63816		
('114757 292', 'protein_ppName: EPR', 'cell_clName: UACC-812', 'ligandConcentration: 1.0')	4120.573579	3793.189241	3739.868996	27679.38577	26440.81857	27854.69841		
('114758 293', 'protein_ppName: EPR', 'cell_clName: UACC-812', 'ligandConcentration: 100.0')	4385.505476	5105.967051	6968.738766	45490.3337	42755.59767	41359.72142		
('114759 294', 'protein_ppName: EPR', 'cell_clName: UACC-893', 'ligandConcentration: 1.0')	31734.6065	29220.31752	32929.73314	3301.74737	2073.098393	3240.582049		
('114760 295', 'protein_ppName: EPR', 'cell_clName: UACC-893', 'ligandConcentration: 100.0')	34178.00267	39157.92869	26267.51961	6144.550727	7043.910378	3273.511205		
('114761 296', 'protein_ppName: EPR', 'cell_clName: ZR-75-1', 'ligandConcentration: 1.0')	4258.460794	4605.276257	3579.687143	2602.519475	4207.782246	2909.930936		
('114762 297', 'protein_ppName: EPR', 'cell_clName: ZR-75-1', 'ligandConcentration: 100.0')	9745.457231	6398.491366	5025.212831	33725.17103	19664.8756	11662.25515		
('114763 298', 'protein_ppName: EPR', 'cell_clName: ZR-75-30', 'ligandConcentration: 1.0')	6390.276086	7661.297393	6767.303889	17170.47337	17899.15771	16422.45493		
('114764 299', 'protein_ppName: EPR', 'cell_clName: ZR-75-30', 'ligandConcentration: 100.0')	7695.428587	8372.689005	19276.99619	16451.09482	15532.21964	21734.96666		
('114765 300', 'protein_ppName: EPR', 'cell_clName: 184B5', 'ligandConcentration: 1.0')	6273.59702	4839.28338	5092.257034	10466.82692	10459.88847	8010.13279		
('114766 301', 'protein_ppName: EPR', 'cell_clName: 184B5', 'ligandConcentration: 100.0')	24008.34809	8202.869499	6809.006164	39766.90756	30615.21211	34256.42039		
('114767 302', 'protein_ppName: EPR', 'cell_clName: HCC1187', 'ligandConcentration: 1.0')	15454.32416	15840.54793	17796.88899	4729.919722	1687.261352	3175.649212		
('114768 303', 'protein_ppName: EPR', 'cell_clName: HCC1187', 'ligandConcentration: 100.0')	42669.50251	36513.73533	33907.95781	24320.71311	20329.48459	17455.92761		
('114769 304', 'protein_ppName: EPR', 'cell_clName: HCC1500', 'ligandConcentration: 1.0')	1244.241173	1244.241173	1909.194253	3077.164256	3077.164256	3077.164256		
('114770 305', 'protein_ppName: EPR', 'cell_clName: HCC1500', 'ligandConcentration: 100.0')	1244.241173	1244.241173	2085.055619	3077.164256	3077.164256	3077.164256		
('114771 306', 'protein_ppName: EPR', 'cell_clName: MCF 10A', 'ligandConcentration: 1.0')	5518.745167	3597.627878	3045.685797	12818.41812	6502.357113	3389.933556		
('114772 307', 'protein_ppName: EPR', 'cell_clName: MCF 10A', 'ligandConcentration: 100.0')	16481.26043	9218.722228	8109.28447	28134.90308	20019.91597	13011.51801		
('114773 308', 'protein_ppName: EPR', 'cell_clName: MCF 10F', 'ligandConcentration: 1.0')	3245.374347	2660.336491	2565.86218	2749.391698	1033.043554	952.4800666		
('114774 309', 'protein_ppName: EPR', 'cell_clName: MCF 10F', 'ligandConcentration: 100.0')	2184.760664	2928.668342	2574.854811	20520.52391	14013.49645	10641.3245		
('114775 310', 'protein_ppName: EPR', 'cell_clName: MCF12A', 'ligandConcentration: 1.0')	2834.182546	2350.660508	2172.672932	5303.557529	5323.843472	6179.266286		
('114776 311', 'protein_ppName: EPR', 'cell_clName: MCF12A', 'ligandConcentration: 100.0')	1808.306537	1921.868019	2393.269373	10122.04869	11137.66606	13357.56007		
('114777 312', 'protein_ppName: FGF-1', 'cell_clName: MCF7', 'ligandConcentration: 1.0')	1343.42121	1377.204556	889.1092723	17203.2185	10364.52247	16681.85032		
('114778 313', 'protein_ppName: FGF-1', 'cell_clName: MCF7', 'ligandConcentration: 100.0')	889.1092723	889.1092723	1974.833422	30804.88493	25717.00099	30215.06189		
('114779 314', 'protein_ppName: FGF-1', 'cell_clName: SK-BR-3', 'ligandConcentration: 1.0')	11691.85471	10297.17864	9097.827676	13222.13461	8774.549107	7198.499423		
('114780 315', 'protein_ppName: FGF-1', 'cell_clName: SK-BR-3', 'ligandConcentration: 100.0')	9707.288985	9775.920252	9265.10008	14838.99786	2173.008132	2173.008132		
('114781 316', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-231', 'ligandConcentration: 1.0')	2348.904277	2652.586588	547.0725358	138.3882612	1784.113621	3796.304806		
('114782 317', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-231', 'ligandConcentration: 100.0')	547.0725358	547.0725358	547.0725358	13304.53531	4591.806113	3522.64847		
('114783 318', 'protein_ppName: FGF-1', 'cell_clName: AU565', 'ligandConcentration: 1.0')	8433.397171	9350.872114	8281.862611	15598.7224	13351.70442	11722.68179		
('114784 319', 'protein_ppName: FGF-1', 'cell_clName: AU565', 'ligandConcentration: 100.0')	7290.885479	10754.54875	9174.308302	17731.71873	10322.09987	10200.75937		
('114785 320', 'protein_ppName: FGF-1', 'cell_clName: BT-20', 'ligandConcentration: 1.0')	10136.1079	9341.359932	8112.848008	8622.781881	3862.79315	2708.593061		
('114786 321', 'protein_ppName: FGF-1', 'cell_clName: BT-20', 'ligandConcentration: 100.0')	10035.85325	7722.819302	9140.065646	12335.466	2143.805498	1689.879846		
('114787 322', 'protein_ppName: FGF-1', 'cell_clName: BT-474', 'ligandConcentration: 1.0')	19398.86359	21595.11602	21068.31975	13844.83597	10202.89647	13237.47576		
('114788 323', 'protein_ppName: FGF-1', 'cell_clName: BT-474', 'ligandConcentration: 100.0')	19272.68484	21150.0576	21277.44247	20075.59867	11517.01161	11959.41557		
('114789 324', 'protein_ppName: FGF-1', 'cell_clName: BT-483', 'ligandConcentration: 1.0')	3050.632691	3324.711004	2904.559669	5787.473291	2611.654209	4062.164697		
('114790 325', 'protein_ppName: FGF-1', 'cell_clName: BT-483', 'ligandConcentration: 100.0')	3108.000293	3345.12652	2545.552807	20263.5423	7270.588984	6793.462151		
('114791 326', 'protein_ppName: FGF-1', 'cell_clName: BT-549', 'ligandConcentration: 1.0')	10726.98081	11031.82554	10656.83522	7496.765361	6252.006386	6926.87284		
('114792 327', 'protein_ppName: FGF-1', 'cell_clName: BT-549', 'ligandConcentration: 100.0')	11950.86	10226.17844	9620.108772	11023.31777	3231.186939	2422.44299		
('114793 328', 'protein_ppName: FGF-1', 'cell_clName: CAMA-1', 'ligandConcentration: 1.0')	5442.481132	6614.566694	8352.064582	2192.909031	1263.861142	6773.236833		
('114794 329', 'protein_ppName: FGF-1', 'cell_clName: CAMA-1', 'ligandConcentration: 100.0')	5797.941066	6293.234156	4695.407299	10781.56248	2822.184303	3342.016264		
('114795 330', 'protein_ppName: FGF-1', 'cell_clName: HCC1395', 'ligandConcentration: 1.0')	11719.11649	13341.44902	14740.82455	3995.326826	5136.540291	5234.201057		
('114796 331', 'protein_ppName: FGF-1', 'cell_clName: HCC1395', 'ligandConcentration: 100.0')	12900.66047	13479.57985	11718.0914	8065.430044	2294.37206	2294.37206		
('114797 332', 'protein_ppName: FGF-1', 'cell_clName: HCC1419', 'ligandConcentration: 1.0')	35822.64091	32718.45963	27867.71204	27244.95974	25313.42822	24535.3271		
('114798 333', 'protein_ppName: FGF-1', 'cell_clName: HCC1419', 'ligandConcentration: 100.0')	31364.03996	14681.69714	23477.89053	32744.17996	12634.12478	26035.30175		
('114799 334', 'protein_ppName: FGF-1', 'cell_clName: HCC1428', 'ligandConcentration: 1.0')	1040.118819	1040.118819	1040.118819	16528.56802	7232.495949	9282.671258		
('114800 335', 'protein_ppName: FGF-1', 'cell_clName: HCC1428', 'ligandConcentration: 100.0')	1040.118819	1040.118819	1040.118819	30065.10194	3291.241485	3398.291675		
('114801 336', 'protein_ppName: FGF-1', 'cell_clName: HCC1569', 'ligandConcentration: 1.0')	27128.10584	28346.12743	23535.12618	12539.99799	14173.2431	17134.34402		
('114802 337', 'protein_ppName: FGF-1', 'cell_clName: HCC1569', 'ligandConcentration: 100.0')	32168.33291	27114.55748	21991.23898	27225.85699	13140.32833	9802.48397		
('114803 338', 'protein_ppName: FGF-1', 'cell_clName: HCC1806', 'ligandConcentration: 1.0')	8660.724349	11007.29165	12415.94467	19921.06794	21037.00045	16426.26049		
('114804 339', 'protein_ppName: FGF-1', 'cell_clName: HCC1806', 'ligandConcentration: 100.0')	11572.38929	13652.11226	12168.76394	39330.66695	30859.03338	22759.83402		
('114805 340', 'protein_ppName: FGF-1', 'cell_clName: HCC1937', 'ligandConcentration: 1.0')	3822.309201	3487.705712	2496.007142	11713.76079	4414.713716	8760.767539		
('114806 341', 'protein_ppName: FGF-1', 'cell_clName: HCC1937', 'ligandConcentration: 100.0')	4653.205093	3287.416278	3070.977646	23828.2825	5217.150305	5997.607535		
('114807 342', 'protein_ppName: FGF-1', 'cell_clName: HCC1954', 'ligandConcentration: 1.0')	4105.717891	3064.607828	3811.142194	16440.40081	11178.10016	9327.099431		
('114808 343', 'protein_ppName: FGF-1', 'cell_clName: HCC1954', 'ligandConcentration: 100.0')	2979.60689	3140.624106	2914.695248	12874.73525	7335.279574	7884.687063		
('114809 344', 'protein_ppName: FGF-1', 'cell_clName: HCC202', 'ligandConcentration: 1.0')	69743.04637	69557.58388	61837.62068	6536.079656	5801.407711	5157.289801		
('114810 345', 'protein_ppName: FGF-1', 'cell_clName: HCC202', 'ligandConcentration: 100.0')	70234.23918	57816.38891	62953.37258	8012.91519	2943.688587	4697.780422		
('114811 346', 'protein_ppName: FGF-1', 'cell_clName: HCC38', 'ligandConcentration: 1.0')	4016.343934	4769.506462	5433.085202	21571.19163	17706.37907	24848.4996		
('114812 347', 'protein_ppName: FGF-1', 'cell_clName: HCC38', 'ligandConcentration: 100.0')	4948.410558	4410.644345	3773.940742	37914.72243	10130.5576	5289.263509		
('114813 348', 'protein_ppName: FGF-1', 'cell_clName: HCC70', 'ligandConcentration: 1.0')	10726.948	11029.68493	10042.16121	1323.5756	976.2970679	746.2348032		
('114814 349', 'protein_ppName: FGF-1', 'cell_clName: HCC70', 'ligandConcentration: 100.0')	10289.94931	10442.35455	9144.145322	1303.238082	389.867648	389.867648		
('114815 350', 'protein_ppName: FGF-1', 'cell_clName: Hs 578T', 'ligandConcentration: 1.0')	4238.173889	5733.807977	7485.476539	9367.600072	11093.99687	20155.0203		
('114816 351', 'protein_ppName: FGF-1', 'cell_clName: Hs 578T', 'ligandConcentration: 100.0')	22760.93419	11497.26997	6293.026544	61906.30056	30496.88773	22109.52473		
('114817 352', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 1.0')	842.221377	842.221377	842.221377	3701.050396	4738.166246	5852.54214		
('114818 353', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 100.0')	842.221377	842.221377	842.221377	12211.20534	9560.006886	7206.597722		
('114819 354', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-157', 'ligandConcentration: 1.0')	1069.931871	1069.931871	1069.931871	9357.110102	11902.25108	8288.566033		
('114820 355', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-157', 'ligandConcentration: 100.0')	1069.931871	1069.931871	1069.931871	14353.07255	2645.27124	252.4573021		
('114821 356', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 1.0')	12287.52546	13967.20715	12319.54456	24645.85038	26895.31079	24280.57755		
('114822 357', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 100.0')	12289.32191	11605.40245	12733.57368	25824.70263	26121.07695	25053.0044		
('114823 358', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-361', 'ligandConcentration: 1.0')	1891.410108	2291.394365	1913.088644	2282.145088	2577.301746	2820.952549		
('114824 359', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-361', 'ligandConcentration: 100.0')	2038.783442	2079.697863	1603.686063	3589.622082	1127.749952	166.1702235		
('114825 360', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-415', 'ligandConcentration: 1.0')	32658.77883	34508.59948	27714.38527	2543.943401	1564.370315	3954.951655		
('114826 361', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-415', 'ligandConcentration: 100.0')	42447.0399	33227.11844	26360.0505	13743.621	3377.237212	1157.224057		
('114827 362', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-436', 'ligandConcentration: 1.0')	3960.155524	5512.904484	5422.392381	10779.20167	9233.007211	11689.78798		
('114828 363', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-436', 'ligandConcentration: 100.0')	4464.378665	4102.740275	3989.1645	13368.493	8140.696214	5637.809488		
('114829 364', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-453', 'ligandConcentration: 1.0')	6435.31405	6350.714819	6548.717304	2232.594749	2295.982692	2070.487373		
('114830 365', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-453', 'ligandConcentration: 100.0')	8654.331724	7821.23073	6613.476001	8961.938646	6035.349523	2732.730228		
('114831 366', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-468', 'ligandConcentration: 1.0')	26996.76753	24557.19431	21683.86924	11370.27063	10195.61903	10428.37958		
('114832 367', 'protein_ppName: FGF-1', 'cell_clName: MDA-MB-468', 'ligandConcentration: 100.0')	26640.34732	22842.92446	21152.25252	16258.097	6389.485166	7033.014563		
('114833 368', 'protein_ppName: FGF-1', 'cell_clName: T47D', 'ligandConcentration: 1.0')	7223.44474	7457.155008	9458.996896	20559.76783	10211.15018	19428.68736		
('114834 369', 'protein_ppName: FGF-1', 'cell_clName: T47D', 'ligandConcentration: 100.0')	8565.92838	7611.911539	6683.462385	32975.1074	11929.46097	11253.21762		
('114835 370', 'protein_ppName: FGF-1', 'cell_clName: UACC-812', 'ligandConcentration: 1.0')	3403.450657	3922.120146	4118.609666	26660.48076	24713.9155	26760.71199		
('114836 371', 'protein_ppName: FGF-1', 'cell_clName: UACC-812', 'ligandConcentration: 100.0')	3588.058502	3513.920777	3615.94607	28099.75578	26431.67875	27401.60296		
('114837 372', 'protein_ppName: FGF-1', 'cell_clName: UACC-893', 'ligandConcentration: 1.0')	32926.31147	29363.38627	34472.15972	2073.098393	2073.098393	2073.098393		
('114838 373', 'protein_ppName: FGF-1', 'cell_clName: UACC-893', 'ligandConcentration: 100.0')	29795.5865	36248.32942	21092.772	2073.098393	2073.098393	2073.098393		
('114839 374', 'protein_ppName: FGF-1', 'cell_clName: ZR-75-1', 'ligandConcentration: 1.0')	5734.866312	5832.749551	4913.783251	19440.64606	15408.96562	22747.33622		
('114840 375', 'protein_ppName: FGF-1', 'cell_clName: ZR-75-1', 'ligandConcentration: 100.0')	10970.16299	5846.295892	5619.066945	48822.59761	24905.56868	15532.95028		
('114841 376', 'protein_ppName: FGF-1', 'cell_clName: ZR-75-30', 'ligandConcentration: 1.0')	6601.280007	7746.259688	6814.599973	16673.97154	18134.89493	17409.50518		
('114842 377', 'protein_ppName: FGF-1', 'cell_clName: ZR-75-30', 'ligandConcentration: 100.0')	5108.893524	5839.66678	8905.501332	15204.14696	13697.07029	18864.09947		
('114843 378', 'protein_ppName: FGF-1', 'cell_clName: 184B5', 'ligandConcentration: 1.0')	8993.083709	6200.818323	5545.491545	23009.52409	19135.0632	16002.2925		
('114844 379', 'protein_ppName: FGF-1', 'cell_clName: 184B5', 'ligandConcentration: 100.0')	9432.144687	5246.175219	4526.589789	31758.81958	13047.80981	13320.85291		
('114845 380', 'protein_ppName: FGF-1', 'cell_clName: HCC1187', 'ligandConcentration: 1.0')	27804.185	34170.60688	50164.15998	9443.057197	8487.097605	15244.2307		
('114846 381', 'protein_ppName: FGF-1', 'cell_clName: HCC1187', 'ligandConcentration: 100.0')	62144.56488	55558.6112	43207.90493	25726.96156	17199.66977	10087.37707		
('114847 382', 'protein_ppName: FGF-1', 'cell_clName: HCC1500', 'ligandConcentration: 1.0')	1925.269924	1921.60165	1244.241173	7091.106377	3077.164256	9776.772707		
('114848 383', 'protein_ppName: FGF-1', 'cell_clName: HCC1500', 'ligandConcentration: 100.0')	1244.241173	1244.241173	1244.241173	16301.30242	8138.032957	3077.164256		
('114849 384', 'protein_ppName: FGF-1', 'cell_clName: MCF 10A', 'ligandConcentration: 1.0')	5381.756446	3873.456518	4073.243603	11061.57063	5556.590161	4590.611535		
('114850 385', 'protein_ppName: FGF-1', 'cell_clName: MCF 10A', 'ligandConcentration: 100.0')	5244.910126	3645.75905	4460.144179	15541.41848	3989.052875	3575.236274		
('114851 386', 'protein_ppName: FGF-1', 'cell_clName: MCF 10F', 'ligandConcentration: 1.0')	2120.158428	3054.151727	3075.031169	407.4253875	739.2394519	407.4253875		
('114852 387', 'protein_ppName: FGF-1', 'cell_clName: MCF 10F', 'ligandConcentration: 100.0')	2814.348223	2058.036917	2330.710038	5338.61268	407.4253875	407.4253875		
('114853 388', 'protein_ppName: FGF-1', 'cell_clName: MCF12A', 'ligandConcentration: 1.0')	2281.013196	2758.474892	2106.475353	13455.80199	14668.12861	16432.55489		
('114854 389', 'protein_ppName: FGF-1', 'cell_clName: MCF12A', 'ligandConcentration: 100.0')	1710.688417	2001.584822	1065.403425	19487.58577	12380.84019	11143.52644		
('114855 390', 'protein_ppName: FGF-2', 'cell_clName: MCF7', 'ligandConcentration: 1.0')	1482.016863	1832.670584	2382.017168	25742.27716	14217.57802	17829.42963		
('114856 391', 'protein_ppName: FGF-2', 'cell_clName: MCF7', 'ligandConcentration: 100.0')	889.1092723	889.1092723	2402.580943	27887.18488	18529.20572	17396.06505		
('114857 392', 'protein_ppName: FGF-2', 'cell_clName: SK-BR-3', 'ligandConcentration: 1.0')	12510.34129	12153.74575	10464.32057	9564.355682	7915.896371	7014.291994		
('114858 393', 'protein_ppName: FGF-2', 'cell_clName: SK-BR-3', 'ligandConcentration: 100.0')	11344.39261	10891.76549	10881.97967	18474.16066	6922.639652	7193.938186		
('114859 394', 'protein_ppName: FGF-2', 'cell_clName: MDA-MB-231', 'ligandConcentration: 1.0')	547.0725358	547.0725358	547.0725358	1465.108124	31.58511031	31.58511031		
('114860 395', 'protein_ppName: FGF-2', 'cell_clName: MDA-MB-231', 'ligandConcentration: 100.0')	547.0725358	547.0725358	1639.078531	2662.575787	1753.163773	836.0489931		
('114861 396', 'protein_ppName: FGF-2', 'cell_clName: AU565', 'ligandConcentration: 1.0')	7084.309218	8952.442679	9622.116711	15035.80054	10751.75914	9769.24555		
('114862 397', 'protein_ppName: FGF-2', 'cell_clName: AU565', 'ligandConcentration: 100.0')	6769.914644	10654.99802	9119.946128	19251.95219	11419.09874	9678.306413		
('114863 398', 'protein_ppName: FGF-2', 'cell_clName: BT-20', 'ligandConcentration: 1.0')	7791.001434	7933.64563	7602.267014	1709.778138	816.8670804	187.1952197		
('114864 399', 'protein_ppName: FGF-2', 'cell_clName: BT-20', 'ligandConcentration: 100.0')	8933.500702	7525.786399	7668.76702	4446.256021	1177.317035	923.6633944		
('114865 400', 'protein_ppName: FGF-2', 'cell_clName: BT-474', 'ligandConcentration: 1.0')	19617.35694	19472.43693	21510.13092	14603.70492	11866.14044	15845.67119		
('114866 401', 'protein_ppName: FGF-2', 'cell_clName: BT-474', 'ligandConcentration: 100.0')	21743.28327	21732.98486	20100.08342	25769.55192	18748.73762	15471.67419		
('114867 402', 'protein_ppName: FGF-2', 'cell_clName: BT-483', 'ligandConcentration: 1.0')	3642.172289	3181.496154	3969.637177	14477.70268	4981.807918	6965.030495		
('114868 403', 'protein_ppName: FGF-2', 'cell_clName: BT-483', 'ligandConcentration: 100.0')	3716.178537	4156.847466	3206.607239	22321.80096	11159.43135	9292.592904		
('114869 404', 'protein_ppName: FGF-2', 'cell_clName: BT-549', 'ligandConcentration: 1.0')	10164.05508	9471.501857	10246.23402	6467.353818	5987.189394	7233.45707		
('114870 405', 'protein_ppName: FGF-2', 'cell_clName: BT-549', 'ligandConcentration: 100.0')	11040.04343	8982.635004	9877.798444	13447.72329	7404.456589	5008.319385		
('114871 406', 'protein_ppName: FGF-2', 'cell_clName: CAMA-1', 'ligandConcentration: 1.0')	7279.767201	6412.8827	7268.418424	2962.150033	2524.535261	15616.33885		
('114872 407', 'protein_ppName: FGF-2', 'cell_clName: CAMA-1', 'ligandConcentration: 100.0')	7570.458039	7606.612003	10049.59856	24998.41669	22232.73063	17322.96356		
('114873 408', 'protein_ppName: FGF-2', 'cell_clName: HCC1395', 'ligandConcentration: 1.0')	13558.38362	13320.43468	15241.58085	7015.285185	6617.549703	5479.589478		
('114874 409', 'protein_ppName: FGF-2', 'cell_clName: HCC1395', 'ligandConcentration: 100.0')	13284.55655	14294.14173	16615.84168	10879.34793	5962.340687	3450.05033		
('114875 410', 'protein_ppName: FGF-2', 'cell_clName: HCC1419', 'ligandConcentration: 1.0')	34273.86542	30952.64148	26479.4219	24277.5731	24813.49911	21578.92997		
('114876 411', 'protein_ppName: FGF-2', 'cell_clName: HCC1419', 'ligandConcentration: 100.0')	31411.17105	29247.93398	25282.21238	31072.77517	26876.74866	26110.23024		
('114877 412', 'protein_ppName: FGF-2', 'cell_clName: HCC1428', 'ligandConcentration: 1.0')	1040.118819	1040.118819	1040.118819	13658.20555	6648.677436	10362.40555		
('114878 413', 'protein_ppName: FGF-2', 'cell_clName: HCC1428', 'ligandConcentration: 100.0')	1040.118819	1040.118819	1040.118819	35420.92731	11196.60382	11083.27951		
('114879 414', 'protein_ppName: FGF-2', 'cell_clName: HCC1569', 'ligandConcentration: 1.0')	22285.30901	26586.7194	23986.37292	14628.57166	12369.67185	14292.66571		
('114880 415', 'protein_ppName: FGF-2', 'cell_clName: HCC1569', 'ligandConcentration: 100.0')	29078.75728	28597.43788	26849.77698	26105.183	17141.67056	14951.28983		
('114881 416', 'protein_ppName: FGF-2', 'cell_clName: HCC1806', 'ligandConcentration: 1.0')	8133.238296	7936.602264	12352.86278	10359.53343	14255.09013	18594.371		
('114882 417', 'protein_ppName: FGF-2', 'cell_clName: HCC1806', 'ligandConcentration: 100.0')	10543.94326	12490.90391	12681.33733	31905.5027	28538.66099	22346.93671		
('114883 418', 'protein_ppName: FGF-2', 'cell_clName: HCC1937', 'ligandConcentration: 1.0')	2787.086575	2322.698684	2984.126476	1749.605718	1106.883686	1257.540467		
('114884 419', 'protein_ppName: FGF-2', 'cell_clName: HCC1937', 'ligandConcentration: 100.0')	3185.006734	2775.36856	3149.458806	14337.25369	3106.973589	2671.503601		
('114885 420', 'protein_ppName: FGF-2', 'cell_clName: HCC1954', 'ligandConcentration: 1.0')	4327.507749	1371.748793	4698.099724	21973.6638	12516.84952	13907.23686		
('114886 421', 'protein_ppName: FGF-2', 'cell_clName: HCC1954', 'ligandConcentration: 100.0')	3883.524228	3278.321588	5796.045331	28096.55448	14949.12427	13300.86955		
('114887 422', 'protein_ppName: FGF-2', 'cell_clName: HCC202', 'ligandConcentration: 1.0')	69575.74313	67007.35053	63117.89736	5920.946888	4972.648555	3951.789223		
('114888 423', 'protein_ppName: FGF-2', 'cell_clName: HCC202', 'ligandConcentration: 100.0')	68641.28603	64729.90284	65189.63946	9105.452228	5780.895652	4928.352976		
('114889 424', 'protein_ppName: FGF-2', 'cell_clName: HCC38', 'ligandConcentration: 1.0')	4185.103983	5006.508279	4816.537951	25762.70149	16637.74173	22628.05		
('114890 425', 'protein_ppName: FGF-2', 'cell_clName: HCC38', 'ligandConcentration: 100.0')	4500.359874	4668.856441	3926.628405	38157.11658	20398.70975	16728.4985		
('114891 426', 'protein_ppName: FGF-2', 'cell_clName: HCC70', 'ligandConcentration: 1.0')	10084.496	11284.90323	10290.4677	389.867648	613.7670283	389.867648		
('114892 427', 'protein_ppName: FGF-2', 'cell_clName: HCC70', 'ligandConcentration: 100.0')	10836.15448	10635.71221	10069.46283	389.867648	389.867648	389.867648		
('114893 428', 'protein_ppName: FGF-2', 'cell_clName: Hs 578T', 'ligandConcentration: 1.0')	7297.526485	8592.890481	11429.09291	22815.24957	25838.50333	30486.76416		
('114894 429', 'protein_ppName: FGF-2', 'cell_clName: Hs 578T', 'ligandConcentration: 100.0')	22711.37614	12851.64046	7900.745188	59346.88362	34109.11802	23672.17366		
('114895 430', 'protein_ppName: FGF-2', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 1.0')	842.221377	842.221377	842.221377	4186.454127	3828.999253	5316.329906		
('114896 431', 'protein_ppName: FGF-2', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 100.0')	842.221377	842.221377	842.221377	12323.65432	9524.399042	7488.827286		
('114897 432', 'protein_ppName: FGF-2', 'cell_clName: MDA-MB-157', 'ligandConcentration: 1.0')	1069.931871	1069.931871	1069.931871	10635.68699	9352.22858	8036.085196		
('114898 433', 'protein_ppName: FGF-2', 'cell_clName: MDA-MB-157', 'ligandConcentration: 100.0')	1069.931871	1069.931871	1069.931871	18961.39966	10033.73158	7014.488639		
('114899 434', 'protein_ppName: FGF-2', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 1.0')	12490.52442	13776.99469	13099.94401	26448.6363	23103.88202	23316.66882		
('114900 435', 'protein_ppName: FGF-2', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 100.0')	12416.44724	14288.24351	13852.86833	26185.07912	24204.48026	25249.41177		
