	('auc 0',)
('490747 97', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10161', 'smallmolecule_smLincsID: LSM-1162', 'smallmolecule_smName: NVP-AUY922', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.02957
('490748 98', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10164', 'smallmolecule_smLincsID: LSM-1165', 'smallmolecule_smName: AZD8330', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.38058
('490749 99', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10171', 'smallmolecule_smLincsID: LSM-1172', 'smallmolecule_smName: TGX221', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.87
('490750 100', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10172', 'smallmolecule_smLincsID: LSM-1173', 'smallmolecule_smName: GSK1059615', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.40259
('490751 101', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10172', 'smallmolecule_smLincsID: LSM-1173', 'smallmolecule_smName: GSK1059615', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.39536
('490752 102', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10177', 'smallmolecule_smLincsID: LSM-1178', 'smallmolecule_smName: Brivanib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.89681
('490753 103', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10180', 'smallmolecule_smLincsID: LSM-1181', 'smallmolecule_smName: CHIR-99021', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.63324
('490754 104', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10182', 'smallmolecule_smLincsID: LSM-1183', 'smallmolecule_smName: Linifanib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.82386
('490755 105', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10190', 'smallmolecule_smLincsID: LSM-1191', 'smallmolecule_smName: PIK-93', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.74839
('490756 106', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10232', 'smallmolecule_smLincsID: LSM-4255', 'smallmolecule_smName: BEZ235', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.08
('490757 107', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10233', 'smallmolecule_smLincsID: LSM-4256', 'smallmolecule_smName: BYL719', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.43583
('490758 108', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10234', 'smallmolecule_smLincsID: LSM-4257', 'smallmolecule_smName: GDC-0980', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	-0.019079
('490759 109', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10479', 'smallmolecule_smLincsID: LSM-2481', 'smallmolecule_smName: Mitoxantrone', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	-0.14572
('490760 110', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10479', 'smallmolecule_smLincsID: LSM-2481', 'smallmolecule_smName: Mitoxantrone', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	-0.18643
('490761 111', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10480', 'smallmolecule_smLincsID: LSM-6548', 'smallmolecule_smName: Radicicol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.18906
('490762 112', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10480', 'smallmolecule_smLincsID: LSM-6548', 'smallmolecule_smName: Radicicol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.17798
('490763 113', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10481', 'smallmolecule_smLincsID: LSM-6685', 'smallmolecule_smName: Withaferin A', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP5')	0.34443
('490764 114', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10481', 'smallmolecule_smLincsID: LSM-6685', 'smallmolecule_smName: Withaferin A', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'ljpLibraryPlate: LJP6')	0.30779
('490765 115', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10001', 'smallmolecule_smLincsID: LSM-1001', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.79001
('490766 116', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10004', 'smallmolecule_smLincsID: LSM-1004', 'smallmolecule_smName: AT-7519', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.077212
('490767 117', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10006', 'smallmolecule_smLincsID: LSM-1006', 'smallmolecule_smName: AZD7762', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.19692
('490768 118', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10007', 'smallmolecule_smLincsID: LSM-1007', 'smallmolecule_smName: AZD8055', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.14163
('490769 119', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10008', 'smallmolecule_smLincsID: LSM-1008', 'smallmolecule_smName: Sorafenib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.85479
('490770 120', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10009', 'smallmolecule_smLincsID: LSM-1009', 'smallmolecule_smName: CP466722', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.92383
('490771 121', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10010', 'smallmolecule_smLincsID: LSM-1010', 'smallmolecule_smName: CP724714', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.19429
('490772 122', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10011', 'smallmolecule_smLincsID: LSM-1011', 'smallmolecule_smName: Flavopiridol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.27009
('490773 123', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10014', 'smallmolecule_smLincsID: LSM-1014', 'smallmolecule_smName: GW843682', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.14674
('490774 124', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10015', 'smallmolecule_smLincsID: LSM-5982', 'smallmolecule_smName: HG-5-113-01', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.33001
('490775 125', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10016', 'smallmolecule_smLincsID: LSM-5245', 'smallmolecule_smName: HG-5-88-01', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.56481
('490776 126', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10017', 'smallmolecule_smLincsID: LSM-6015', 'smallmolecule_smName: HG-6-64-01', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.58953
('490777 127', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	-0.14125
('490778 128', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10019', 'smallmolecule_smLincsID: LSM-5674', 'smallmolecule_smName: JW-7-24-1', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.40114
('490779 129', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.70597
('490780 130', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.58575
('490781 131', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10021', 'smallmolecule_smLincsID: LSM-1021', 'smallmolecule_smName: Tozasertib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	-0.095811
('490782 132', 'smallmolecule_smSalt: 103', 'smallmolecule_smCenterCompoundID: 10023', 'smallmolecule_smLincsID: LSM-1023', 'smallmolecule_smName: Imatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	1.0568
('490783 133', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.57432
('490784 134', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.096149
('490785 135', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.34804
('490786 136', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.96762
('490787 137', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.50623
('490788 138', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.57148
('490789 139', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10031', 'smallmolecule_smLincsID: LSM-1031', 'smallmolecule_smName: KIN001-043', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.71464
('490790 140', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10032', 'smallmolecule_smLincsID: LSM-1032', 'smallmolecule_smName: Saracatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.85853
('490791 141', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10035', 'smallmolecule_smLincsID: LSM-1035', 'smallmolecule_smName: Sigma A6730', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.61424
('490792 142', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10039', 'smallmolecule_smLincsID: LSM-5431', 'smallmolecule_smName: WH-4-025', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.71924
('490793 143', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10040', 'smallmolecule_smLincsID: LSM-1040', 'smallmolecule_smName: R406', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.97457
('490794 144', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10041', 'smallmolecule_smLincsID: LSM-1041', 'smallmolecule_smName: BI-2536', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.15187
('490795 145', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10045', 'smallmolecule_smLincsID: LSM-1045', 'smallmolecule_smName: A443654', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.24587
('490796 146', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10046', 'smallmolecule_smLincsID: LSM-1046', 'smallmolecule_smName: SB590885', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.90752
('490797 147', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10047', 'smallmolecule_smLincsID: LSM-1047', 'smallmolecule_smName: GDC-0941', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.12932
('490798 148', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10048', 'smallmolecule_smLincsID: LSM-1048', 'smallmolecule_smName: PD184352', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.96137
('490799 149', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.8257
('490800 150', 'smallmolecule_smSalt: 104', 'smallmolecule_smCenterCompoundID: 10051', 'smallmolecule_smLincsID: LSM-1051', 'smallmolecule_smName: Lapatinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.021668
('490801 151', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10052', 'smallmolecule_smLincsID: LSM-1052', 'smallmolecule_smName: Rapamycin', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.40527
('490802 152', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10053', 'smallmolecule_smLincsID: LSM-1053', 'smallmolecule_smName: ZSTK474', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.22878
('490803 153', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10055', 'smallmolecule_smLincsID: LSM-1055', 'smallmolecule_smName: BX-912', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.24584
('490804 154', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10056', 'smallmolecule_smLincsID: LSM-1056', 'smallmolecule_smName: Selumetinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	1.0382
('490805 155', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10057', 'smallmolecule_smLincsID: LSM-1057', 'smallmolecule_smName: MK2206', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.41595
('490806 156', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10059', 'smallmolecule_smLincsID: LSM-1059', 'smallmolecule_smName: AZD-6482', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.67837
('490807 157', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10061', 'smallmolecule_smLincsID: LSM-1061', 'smallmolecule_smName: NU7441', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.7376
('490808 158', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10063', 'smallmolecule_smLincsID: LSM-1063', 'smallmolecule_smName: OSI-027', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.22644
('490809 159', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10064', 'smallmolecule_smLincsID: LSM-1064', 'smallmolecule_smName: WYE-125132', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.011532
('490810 160', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10067', 'smallmolecule_smLincsID: LSM-1067', 'smallmolecule_smName: AZD1152-HQPA', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	-0.064725
('490811 161', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10068', 'smallmolecule_smLincsID: LSM-1068', 'smallmolecule_smName: Vemurafenib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.97883
('490812 162', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10069', 'smallmolecule_smLincsID: LSM-1069', 'smallmolecule_smName: Enzastaurin', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	1.0606
('490813 163', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.63228
('490814 164', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10072', 'smallmolecule_smLincsID: LSM-1072', 'smallmolecule_smName: PF562271', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.43695
('490815 165', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10073', 'smallmolecule_smLincsID: LSM-1073', 'smallmolecule_smName: PHA-793887', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.026349
('490816 166', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10075', 'smallmolecule_smLincsID: LSM-5803', 'smallmolecule_smName: QL-X-138', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.18336
('490817 167', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10077', 'smallmolecule_smLincsID: LSM-6019', 'smallmolecule_smName: QL-XII-47', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.04921
('490818 168', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10079', 'smallmolecule_smLincsID: LSM-1079', 'smallmolecule_smName: Torin1', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.091173
('490819 169', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10080', 'smallmolecule_smLincsID: LSM-1080', 'smallmolecule_smName: Torin2', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	-0.18148
('490820 170', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10082', 'smallmolecule_smLincsID: LSM-5545', 'smallmolecule_smName: WZ-4-145', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.1871
('490821 171', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10084', 'smallmolecule_smLincsID: LSM-5970', 'smallmolecule_smName: WZ3105', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	-0.26976
('490822 172', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10086', 'smallmolecule_smLincsID: LSM-1086', 'smallmolecule_smName: XMD11-50', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.48017
('490823 173', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10087', 'smallmolecule_smLincsID: LSM-5577', 'smallmolecule_smName: XMD11-85h', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.69784
('490824 174', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10091', 'smallmolecule_smLincsID: LSM-6299', 'smallmolecule_smName: XMD16-144', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.0024422
('490825 175', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10097', 'smallmolecule_smLincsID: LSM-1097', 'smallmolecule_smName: Erlotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.75487
('490826 176', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10098', 'smallmolecule_smLincsID: LSM-1098', 'smallmolecule_smName: Gefitinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.50411
('490827 177', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.9621
('490828 178', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10100', 'smallmolecule_smLincsID: LSM-36386', 'smallmolecule_smName: JNK-9L', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.30897
('490829 179', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10101', 'smallmolecule_smLincsID: LSM-1101', 'smallmolecule_smName: PD0325901', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.66286
('490830 180', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10101', 'smallmolecule_smLincsID: LSM-1101', 'smallmolecule_smName: PD0325901', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.71611
('490831 181', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10108', 'smallmolecule_smLincsID: LSM-1108', 'smallmolecule_smName: Geldanamycin', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	-0.12125
('490832 182', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10108', 'smallmolecule_smLincsID: LSM-1108', 'smallmolecule_smName: Geldanamycin', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.13419
('490833 183', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10109', 'smallmolecule_smLincsID: LSM-1109', 'smallmolecule_smName: YM 201636', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.83322
('490834 184', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10111', 'smallmolecule_smLincsID: LSM-1111', 'smallmolecule_smName: TWS119', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.737
('490835 185', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10112', 'smallmolecule_smLincsID: LSM-1112', 'smallmolecule_smName: PF477736', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	-0.12314
('490836 186', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10115', 'smallmolecule_smLincsID: LSM-1115', 'smallmolecule_smName: LDN-193189', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.60112
('490837 187', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10116', 'smallmolecule_smLincsID: LSM-1116', 'smallmolecule_smName: PF431396', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.31158
('490838 188', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10117', 'smallmolecule_smLincsID: LSM-1117', 'smallmolecule_smName: Celastrol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	0.172
('490839 189', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10119', 'smallmolecule_smLincsID: LSM-1119', 'smallmolecule_smName: SU11274', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.87637
('490840 190', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10120', 'smallmolecule_smLincsID: LSM-1120', 'smallmolecule_smName: Canertinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP6')	-0.054943
('490841 191', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10122', 'smallmolecule_smLincsID: LSM-1122', 'smallmolecule_smName: NVP-AEW541', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.87574
('490842 192', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10125', 'smallmolecule_smLincsID: LSM-1125', 'smallmolecule_smName: PHA-665752', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'ljpLibraryPlate: LJP5')	0.86587
