	('maxDose(log10) 0',)	('goodnessOfFit 1',)	('EC50(log10) 2',)	('IC50(log10) 3',)	('GI50(log10) 4',)	('hillSlope 5',)	('E_inf 6',)	('E_max 7',)	('areaUnderCurve 8',)
('Afatinib 657', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238')									
('Afatinib 658', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: MB 157', 'clCenterSpecificID: 50324')	-4.1759	0.9103	-7.8959	-7.7758	-8.0522	0.7092	0.08881	0.090902	3.8972
('Afatinib 659', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: MDA-MB-134-VI', 'clCenterSpecificID: 50327')	-4.1759	0.9579	-5.2049	-5.2044	-5.4921	1.482	2.07e-16	0.029034	6.7286
('Afatinib 660', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: MDA-MB-157', 'clCenterSpecificID: 50328')	-4.1759	0.9637	-5.5169	-5.5155	-5.5973	4.0	0.00691	0.0069143	6.8951
('Afatinib 661', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: MDA-MB-175-VII', 'clCenterSpecificID: 50329')	-4.1759	0.8569	-7.3239	-7.3144	-8.2297	0.7557	0.008243	0.01237	3.9564
('Afatinib 662', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: MDA-MB-361', 'clCenterSpecificID: 50331')	-4.1759	0.9721	-6.4529	-6.4528	-8.2239	0.5572	1.15e-16	0.051114	5.1843
('Afatinib 663', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: MDA-MB-436', 'clCenterSpecificID: 50333')	-4.1759	0.9131	-5.04	-5.0401	-5.3939	0.9885	1.79e-16	0.1227	7.5287
('Afatinib 664', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: MDA-MB-453', 'clCenterSpecificID: 50334')	-4.1759	0.9652	-6.3719	-6.3716	-7.0248	0.6003	2.02e-13	0.045869	5.3112
('Afatinib 665', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: MDA-MB-468', 'clCenterSpecificID: 50335')	-4.1759	0.9052	-6.0229	-6.0233	-6.3015	0.5159	1.64e-16	0.10024	5.5156
('Afatinib 666', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: T47D', 'clCenterSpecificID: 50541')									
('Afatinib 667', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: UACC-812', 'clCenterSpecificID: 50556')	-4.1759	0.9313	-6.8609	-6.8606	-8.5554	0.4511	1.96e-16	0.057946	4.5521
('Afatinib 668', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: UACC-893', 'clCenterSpecificID: 50557')	-4.1759	0.9419	-6.5479	-6.5477	-8.5022	0.491	1.54e-16	0.064074	4.8958
('Afatinib 669', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: ZR-75-1', 'clCenterSpecificID: 50574')	-4.1759	0.9339	-5.2789	-5.2788	-5.8136	1.176	1.39e-16	0.048038	6.4619
('Afatinib 670', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: 184B5', 'clCenterSpecificID: 50576')	-4.1759	0.9209	-6.6219	-6.6223	-7.1526	0.4854	1.5e-16	0.060983	5.0546
('Afatinib 671', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: HCC1187', 'clCenterSpecificID: 50578')									
('Afatinib 672', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: MCF 10A', 'clCenterSpecificID: 50583')	-4.1759	0.9681	-7.4799	-7.4254	-7.5242	1.441	0.0821	0.082116	4.286
('Afatinib 673', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: MCF 10F', 'clCenterSpecificID: 50584')	-4.1759	0.9349	-6.5439	-6.5441	-7.0254	0.5651	4.31e-13	0.04388	5.1668
('Afatinib 674', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: SUM1315MO2', 'clCenterSpecificID: 51081')	-4.1759	0.9192	-5.5239	-5.5238	-6.8927	0.4672	1.34e-16	0.18999	6.2413
('Afatinib 675', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: SUM149PT', 'clCenterSpecificID: 51082')	-4.1759	0.943	-6.7779	-6.7783	-7.1133	0.4841	1.18e-16	0.052111	4.7334
('Afatinib 676', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: SUM159PT', 'clCenterSpecificID: 51083')	-4.1759	0.9287	-5.5719	-5.5719	-5.6128	1.599	2.22e-16	0.0058247	6.2405
('Afatinib 677', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: SUM185PE', 'clCenterSpecificID: 51084')									
('Afatinib 678', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: SUM225CWN', 'clCenterSpecificID: 51085')	-4.1759	0.9306	-7.2619	-7.1185	-7.9561	0.5364	0.08138	0.10124	4.5543
('Afatinib 679', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: SUM229PE', 'clCenterSpecificID: 51086')	-4.1759	0.8957	-5.8319	-5.8323	-6.1683	0.593	8.38e-13	0.094345	5.6619
('Afatinib 680', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: SUM52PE', 'clCenterSpecificID: 51087')	-4.1759	0.9404	-5.3189	-5.314	-5.4936	2.072	0.01068	0.014905	7.1317
('Afatinib 681', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: 184A1', 'clCenterSpecificID: 51088')	-4.1759	0.9303	-7.3599	-7.2239	-7.7859	0.6118	0.08745	0.097615	4.4828
('Afatinib 682', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: MCF12A', 'clCenterSpecificID: 51089')	-4.1759	0.9617	-6.7709	-6.727	-7.0937	0.6622	0.03211	0.050283	4.9893
('Afatinib 683', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: MX1', 'clCenterSpecificID: 51090')	-4.1759	0.9382	-5.7739	-5.7742	-6.4715	1.241	8.86e-14	0.010282	6.2408
('Afatinib 684', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: T47DKBLUC', 'clCenterSpecificID: 51091')	-4.1759	0.9804	-5.3209	-5.3199	-5.411	3.999	0.006144	0.0061701	6.7041
('Afatinib 685', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: 600MPE', 'clCenterSpecificID: 51092')	-4.1759	0.8966	-5.3999	-5.3999	-5.6112	2.396	8.25e-14	0.0011665	6.0754
('Afatinib 686', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: HCC2185', 'clCenterSpecificID: 51093')	-4.1759	0.9422	-5.3079	-5.3083	-5.8544	1.287	1.69e-16	0.033711	6.6863
('Afatinib 687', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: HCC3153', 'clCenterSpecificID: 51094')									
('Afatinib 688', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: LY2', 'clCenterSpecificID: 51095')									
('Afatinib 689', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: ZR75B', 'clCenterSpecificID: 51096')	-4.1759	0.8938	-5.4319	-5.4318	-5.5463	2.401	8.7e-14	0.00096397	6.016
('Trametinib 690', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: MCF7', 'clCenterSpecificID: 50029')	-4.7773								8.7392
('Trametinib 691', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057')	-4.7773								9.1252
('Trametinib 692', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: MDA-MB-231', 'clCenterSpecificID: 50058')	-4.7773	0.8886	-7.3353	-5.7558	-6.6866	2.018	0.52005	0.52006	7.5355
('Trametinib 693', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: AU565', 'clCenterSpecificID: 50091')	-4.7773								9.1204
('Trametinib 694', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: BT-20', 'clCenterSpecificID: 50105')									
('Trametinib 695', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: BT-474', 'clCenterSpecificID: 50106')	-4.7773								8.9172
('Trametinib 696', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: BT-483', 'clCenterSpecificID: 50107')	-4.7773								8.7439
('Trametinib 697', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: BT-549', 'clCenterSpecificID: 50108')	-4.7773	0.902	-7.5993	-4.7773	-5.4198	0.5582	0.5585	0.57263	7.0978
('Trametinib 698', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: CAMA-1', 'clCenterSpecificID: 50131')	-4.7773	0.7059	-5.8873	-4.7773	-4.7773	0.5843	0.7967	0.83398	8.4439
('Trametinib 699', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: HCC1143', 'clCenterSpecificID: 50205')	-4.7773	0.7467	-8.0903	-4.7773	-4.7773	2.072	0.7862	0.7862	8.0205
('Trametinib 700', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: HCC1395', 'clCenterSpecificID: 50206')	-4.7773	0.8592	-7.1708	-4.7773	-6.6618	1.409	0.71725	0.71762	8.0422
('Trametinib 701', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: HCC1419', 'clCenterSpecificID: 50207')	-4.7773	0.7514	-7.8313	-4.7773	-7.4018	0.6188	0.851	0.8529	8.2122
('Trametinib 702', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: HCC1428', 'clCenterSpecificID: 50208')	-4.7773								8.7307
('Trametinib 703', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: HCC1569', 'clCenterSpecificID: 50210')	-4.7773								8.9257
('Trametinib 704', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: HCC1806', 'clCenterSpecificID: 50211')	-4.7773	0.84765	-8.6718	-4.7773	-6.3239	2.395	0.67285	0.67285	7.0514
('Trametinib 705', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: HCC1937', 'clCenterSpecificID: 50212')	-4.7773								7.9773
('Trametinib 706', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: HCC1954', 'clCenterSpecificID: 50213')	-4.7773	0.7566	-7.3333	-4.7773	-5.6595	0.535	0.6386	0.65347	6.9646
('Trametinib 707', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: HCC202', 'clCenterSpecificID: 50214')	-4.7773								8.3626
('Trametinib 708', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: HCC38', 'clCenterSpecificID: 50216')	-4.7773								9.0692
('Trametinib 709', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: HCC70', 'clCenterSpecificID: 50219')	-4.7773	0.8905	-8.2518	-4.7773	-7.8153	0.70665	0.60105	0.60248	7.4155
('Trametinib 710', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238')	-4.7773	0.9234	-7.5648	-5.9046	-7.5318	1.285	0.4185	0.41891	6.5197
('Trametinib 711', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: MB 157', 'clCenterSpecificID: 50324')	-4.7773								7.7902
('Trametinib 712', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: MDA-MB-134-VI', 'clCenterSpecificID: 50327')	-4.7773	0.9541	-7.6033	-6.6651	-8.0082	0.9934	0.4416	0.44247	6.4887
('Trametinib 713', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: MDA-MB-157', 'clCenterSpecificID: 50328')									
('Trametinib 714', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: MDA-MB-175-VII', 'clCenterSpecificID: 50329')	-4.7773	0.937	-7.3673	-6.2037	-7.8746	0.8195	0.4444	0.44856	6.7305
('Trametinib 715', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: MDA-MB-361', 'clCenterSpecificID: 50331')	-4.7773	0.7856	-5.8653	-4.7773	-4.7773	0.4957	0.8348	0.87182	8.8515
('Trametinib 716', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: MDA-MB-436', 'clCenterSpecificID: 50333')	-4.7773				-4.857				8.0655
('Trametinib 717', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: MDA-MB-453', 'clCenterSpecificID: 50334')	-4.7773	0.9462	-7.0683	-4.7773	-6.1307	1.846	0.745	0.74502	8.1288
('Trametinib 718', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: MDA-MB-468', 'clCenterSpecificID: 50335')	-4.7773								8.7311
('Trametinib 719', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: T47D', 'clCenterSpecificID: 50541')	-4.7773								8.5808
('Trametinib 720', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: UACC-812', 'clCenterSpecificID: 50556')	-4.7773								9.2545
('Trametinib 721', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: UACC-893', 'clCenterSpecificID: 50557')	-4.7773								8.4003
('Trametinib 722', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: ZR-75-1', 'clCenterSpecificID: 50574')	-4.7773								8.8565
('Trametinib 723', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: 184B5', 'clCenterSpecificID: 50576')									
('Trametinib 724', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: HCC1187', 'clCenterSpecificID: 50578')	-4.7773								8.8116
('Trametinib 725', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: MCF 10A', 'clCenterSpecificID: 50583')	-4.7773	0.97605	-8.2693	-8.0487	-8.2293	1.6805	0.2626	0.26261	4.9256
('Trametinib 726', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: MCF 10F', 'clCenterSpecificID: 50584')	-4.7773	0.95765	-8.0603	-7.7544	-8.1042	1.23	0.3048	0.30505	5.2526
('Trametinib 727', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: SUM1315MO2', 'clCenterSpecificID: 51081')	-4.7773	0.84605	-6.6293	-4.8677	-6.9874	0.7539	0.5155	0.58674	7.5543
('Trametinib 728', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: SUM149PT', 'clCenterSpecificID: 51082')	-4.7773	0.92615	-8.1218	-7.0747	-7.6825	0.7057	0.3988	0.40718	5.8683
('Trametinib 729', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: SUM159PT', 'clCenterSpecificID: 51083')	-4.7773	0.9586	-8.4253	-7.8185	-7.9844	0.8062	0.367	0.36701	5.5186
('Trametinib 730', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: SUM185PE', 'clCenterSpecificID: 51084')	-4.7773	0.7168	-5.7923	-4.7773	-4.8083	0.4298	0.7356	0.80645	8.4395
('Trametinib 731', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: SUM225CWN', 'clCenterSpecificID: 51085')									
('Trametinib 732', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: SUM229PE', 'clCenterSpecificID: 51086')	-4.7773	0.86145	-8.0593	-6.8511	-8.2068	0.6907	0.3234	0.32712	5.4947
('Trametinib 733', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: SUM52PE', 'clCenterSpecificID: 51087')	-4.7773	0.8128	-7.8363	-4.7773	-7.532	2.821	0.6513	0.6513	7.843
('Trametinib 734', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: 184A1', 'clCenterSpecificID: 51088')	-4.7773	0.9456	-8.4983	-6.0092	-8.716	1.0862	0.499	0.49909	6.0545
('Trametinib 735', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: MCF12A', 'clCenterSpecificID: 51089')	-4.7773	0.9782	-8.4908	-8.1545	-8.6879	1.1815	0.2996	0.29963	4.9284
('Trametinib 736', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: MX1', 'clCenterSpecificID: 51090')									
('Trametinib 737', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: T47DKBLUC', 'clCenterSpecificID: 51091')									
('Trametinib 738', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: 600MPE', 'clCenterSpecificID: 51092')	-4.7773	0.9066	-7.9113	-4.7773	-8.1982	1.197	0.6256	0.62571	6.9738
('Trametinib 739', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: HCC2185', 'clCenterSpecificID: 51093')	-4.7773								8.3671
('Trametinib 740', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: HCC3153', 'clCenterSpecificID: 51094')	-4.7773								8.7877
('Trametinib 741', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: LY2', 'clCenterSpecificID: 51095')	-4.7773								8.517
('Trametinib 742', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: ZR75B', 'clCenterSpecificID: 51096')	-4.7773	0.7284	-7.6263	-4.7773	-4.7773	0.5066	0.8157	0.82211	8.3485
('GSK2126458 743', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: MCF7', 'clCenterSpecificID: 50029')	-4.4776	0.9876	-7.7246	-7.563	-8.1347	1.024	0.1581	0.1585	4.6877
('GSK2126458 744', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: SK-BR-3', 'clCenterSpecificID: 50057')	-4.4776	0.9831	-8.4476	-8.0186	-8.4601	0.9475	0.304	0.30412	4.6948
('GSK2126458 745', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: MDA-MB-231', 'clCenterSpecificID: 50058')	-4.4776	0.868	-6.8636	-6.7312	-6.7902	2.209	0.245	0.245	7.9009
('GSK2126458 746', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: AU565', 'clCenterSpecificID: 50091')	-4.4776	0.9675	-8.1726	-7.7602	-8.1358	0.7102	0.2454	0.24719	4.7024
('GSK2126458 747', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: BT-20', 'clCenterSpecificID: 50105')	-4.4776	0.9798	-7.1356	-7.102	-7.8044	0.7553	0.1163	0.12183	4.8945
('GSK2126458 748', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: BT-474', 'clCenterSpecificID: 50106')	-4.4776	0.9827	-7.6646	-7.5992	-8.3285	0.7338	0.05203	0.05636	4.2655
('GSK2126458 749', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: BT-483', 'clCenterSpecificID: 50107')	-4.4776	0.981	-7.7216	-7.1924	-8.8962	0.5153	0.233	0.249	5.0745
('GSK2126458 750', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: BT-549', 'clCenterSpecificID: 50108')	-4.4776	0.9671	-7.4066	-7.1032	-7.3547	0.7457	0.2033	0.20847	5.3689
('GSK2126458 751', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: CAMA-1', 'clCenterSpecificID: 50131')	-4.4776	0.9464	-6.7651	-6.7125	-7.1194	1.3345	0.074855	0.075736	5.5519
('GSK2126458 752', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: HCC1143', 'clCenterSpecificID: 50205')	-4.4776	0.9819	-7.3286	-7.1069	-7.4557	0.8936	0.1828	0.18511	5.2906
('GSK2126458 753', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: HCC1395', 'clCenterSpecificID: 50206')	-4.4776	0.9674	-7.0311	-6.6125	-7.3086	0.92295	0.29025	0.29358	6.1517
('GSK2126458 754', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smCenterSampleID: 2.0', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: HCC1419', 'clCenterSpecificID: 50207')	-4.4776	0.9393	-7.8176	-7.3177	-8.755	0.7216	0.2822	0.28498	5.2439
