	('seedingDensity 0', 'datapointUnit: ')	('iC50 1', 'datapointUnit: uM')	('emaxIC 2', 'datapointUnit: ')	('aUCIC 3', 'datapointUnit: ')	('curveFitIC 4', 'datapointUnit: ')	('r2Ic 5', 'datapointUnit: ')	('eC50IC 6', 'datapointUnit: uM')	('einfIC 7', 'datapointUnit: ')	('hillCoefficientIC 8', 'datapointUnit: ')	('gR50 9', 'datapointUnit: uM')	('gRmax 10', 'datapointUnit: ')	('aUCGR 11', 'datapointUnit: ')	('curveFitGR 12', 'datapointUnit: ')	('r2Gr 13', 'datapointUnit: ')	('eC50GR 14', 'datapointUnit: uM')	('gRinf 15', 'datapointUnit: ')	('hillCoefficientGR 16', 'datapointUnit: ')
('555824 169', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	312.5	inf	0.59535	0.074205		0.9475	1.3308	0.58088	1.8178	1.6898	-0.40039	0.23828		0.995	1.9013	-0.40164	5.0
('555825 170', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	625.0	3.2779	0.42857	0.065266		0.9673	2.2548	0.42299	5.0	1.9185	-0.40625	0.21784		0.9927	2.1662	-0.41751	5.0
('555826 171', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	1250.0	3.0404	0.35972	0.11706		0.9357	2.3552	0.35921	4.9631	2.1685	-0.27259	0.24866		0.9443	2.3664	-0.27375	5.0
('555827 172', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	2500.0	3.0483	0.42093	0.095404		0.9772	1.9201	0.42033	3.9738	1.7355	-0.21819	0.22501		0.9892	1.9018	-0.21953	3.9766
('555828 173', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	5000.0	5.092	0.45986	0.081698		0.9815	2.5216	0.45503	3.4272	2.1397	-0.27905	0.2132		0.9902	2.4402	-0.28873	3.4683
('555829 174', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	156.25	inf	0.93467	-0.020081		0.0447	inf	0.93467	0.0	inf	1.05	0.076775		0.0	inf	1.05	0.0
('555830 175', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	312.5	inf	0.88424	-0.041958		0.1938	inf	0.88424	0.0	21.5364	0.6227	-0.032977		0.8666	26.8285	-1.0	5.0
('555831 176', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	625.0	inf	0.93853	-0.028508		-0.0581	inf	0.93853	0.0	inf	0.84116	-0.010719		0.3221	inf	0.84116	0.0
('555832 177', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	1250.0	inf	0.89866	-0.0025709		0.3544	inf	0.89866	0.0	inf	0.80167	0.009775		0.4042	inf	0.80167	0.0
('555833 178', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	2500.0	30.4928	0.87474	-0.024107		0.5361	28.5664	0.13883	4.9842	23.3203	0.73072	-0.023138		0.811	29.0101	-0.9895	5.0
('555834 179', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	5000.0	inf	0.89251	-0.022114		0.5582	20.7343	0.76911	4.0267	inf	0.72277	-0.026008		0.8287	16.1826	0.62577	4.9548
('555835 180', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	156.25	inf	0.80552	0.15586		0.0	inf	0.80552	0.0	inf	0.072921	0.57364		0.0	inf	0.072921	0.0
('555836 181', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	312.5	inf	0.64576	0.16606		0.6797	15.271	0.39065	0.26133	0.1742	-0.13517	0.56416		0.6938	13.9022	-1.0	0.25084
('555837 182', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	625.0	88.3847	0.571	0.19062		0.8867	2.7508	0.38304	0.4187	0.4847	-0.033596	0.46647		0.8809	1.8088	-0.39054	0.43829
('555838 183', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	1250.0	65.9352	0.56132	0.24411		0.9678	5.9794	0.23853	0.27008	0.4581	0.13282	0.48128		0.9685	6.074	-0.50882	0.27158
('555839 184', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	2500.0	inf	0.56676	0.26615		0.966	0.1161	0.52708	0.43286	0.0931	0.053932	0.58741		0.9629	0.1118	-0.040025	0.42094
('555840 185', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	5000.0	inf	0.57439	0.22938		0.938	0.2557	0.53924	0.42715	0.0908	-0.091389	0.61585		0.9394	0.1534	-0.13518	0.45672
('555841 186', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	156.25	inf	1.05	-0.0086395		-0.031	inf	1.05	0.0	inf	1.05	0.050997		0.0675	inf	1.05	0.0
('555842 187', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	312.5	inf	1.05	-0.046637		-6.9372	inf	1.05	0.0	inf	1.05	-0.05		-inf	inf	1.05	0.0
('555843 188', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	625.0	inf	1.05	-0.048962		-86.9229	inf	1.05	0.0	inf	1.05	-0.05		-inf	inf	1.05	0.0
('555844 189', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	1250.0	inf	0.71082	0.027174		0.7381	4.4047	0.79315	5.0	inf	0.42427	0.071212		0.7608	4.449	0.59311	5.0
('555845 190', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	2500.0	inf	0.4695	0.056176		0.9547	5.0716	0.51651	5.0	5.0195	-0.11952	0.13901		0.9665	5.0654	-0.02327	4.9998
('555846 191', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	5000.0	8.4953	0.42856	0.06434		0.9871	5.3796	0.42652	4.1972	4.6098	-0.34178	0.17281		0.995	5.2223	-0.34564	4.2128
('555847 192', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	156.25	inf	0.73698	0.12533		0.9006	0.0028	0.79124	5.0	0.0023	0.063724	0.53325		0.7269	0.0021	0.22217	5.0
('555848 193', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	312.5	inf	0.6002	0.27614		0.9239	0.0014	0.61817	5.0	0.0013	-0.27993	0.89759		0.9473	0.0014	-0.21591	5.0
('555849 194', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	625.0	0.0129	0.48136	0.34938		0.982	0.0026	0.49355	2.6824	0.0021	-0.22364	0.83309		0.9872	0.0024	-0.19744	2.5914
('555850 195', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	1250.0	0.005	0.41033	0.39783		0.9928	0.003	0.40522	3.1391	0.0027	-0.16909	0.79106		0.9953	0.003	-0.17905	3.1539
('555851 196', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	2500.0	0.0044	0.31896	0.41274		0.992	0.0035	0.35115	4.9999	0.003	-0.44626	0.88496		0.9949	0.0034	-0.38229	5.0
('555852 197', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	5000.0	0.0052	0.3751	0.38622		0.995	0.0039	0.38317	5.0	0.0033	-0.49859	0.94232		0.9982	0.0038	-0.48599	5.0
('555853 198', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	156.25	7.5041	0.47077	0.26184		0.8205	1.7066	0.19705	0.33832	0.0109	-0.7437	1.0083		0.8375	0.0346	-0.6089	0.69041
('555854 199', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	312.5	2.1766	0.41183	0.38927		0.9056	2.1766	2.0542e-07	0.16068	-inf	-0.65645	1.2212		0.8894	0.0093	-1.0	0.18908
('555855 200', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	625.0	0.0852	0.31235	0.48593		0.9792	0.0105	0.31186	0.4672	0.0015	-0.55644	1.1437		0.9808	0.0075	-0.55897	0.4732
('555856 201', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	1250.0	0.0238	0.28425	0.55296		0.9713	0.0041	0.29704	0.51356	0.0014	-0.42198	1.0958		0.9709	0.0042	-0.39505	0.51689
('555857 202', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	2500.0	0.0157	0.24244	0.57946		0.9658	0.0048	0.28933	0.72905	0.0018	-0.59277	1.2381		0.9655	0.0043	-0.49502	0.76901
('555858 203', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	5000.0	0.0238	0.30246	0.5507		0.9946	0.0054	0.30735	0.64327	0.0011	-0.63052	1.3387		0.9959	0.0038	-0.61873	0.67495
('555859 204', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	156.25	44.438	0.52777	0.10806		0.6869	44.4379	1.3517e-07	0.52706	0.4691	-0.83789	0.3952		0.602	0.5028	-0.1969	4.7886
('555860 205', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	312.5	inf	0.47942	0.16061		0.9614	0.7853	0.50412	1.3097	0.3229	-0.64406	0.61064		0.9843	0.5094	-0.54543	1.6175
('555861 206', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	625.0	2.4872	0.42884	0.23673		0.8949	0.452	0.46121	1.4991	0.2759	-0.40482	0.6311		0.8894	0.3788	-0.32542	1.5804
('555862 207', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	1250.0	1.3592	0.32838	0.30474		0.9756	0.4605	0.31196	0.90356	0.2522	-0.3352	0.60659		0.9792	0.469	-0.37154	0.89593
('555863 208', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	2500.0	0.6596	0.33434	0.31636		0.9725	0.3025	0.35677	1.6034	0.2129	-0.39086	0.67095		0.9733	0.294	-0.34515	1.6269
('555864 209', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10250', 'smallmolecule_smLincsID: LSM-6348', 'smallmolecule_smCenterSampleID: 4', 'smallmolecule_smName: Etoposide', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	5000.0	0.5127	0.35894	0.30677		0.989	0.2509	0.38439	2.0491	0.1768	-0.47926	0.72967		0.9923	0.2332	-0.42427	2.2178
('555865 210', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	156.25	inf	0.89556	-0.022571		0.3911	inf	0.89556	0.0	inf	0.88989	-0.038201		0.1473	inf	0.88989	0.0
('555866 211', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	312.5	inf	1.0156	-0.0075438		-0.0358	inf	1.0156	0.0	inf	1.05	0.050073		0.0605	inf	1.05	0.0
('555867 212', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	625.0	inf	0.86194	0.011238		0.2661	inf	0.86194	0.0	inf	0.65176	0.057564		0.2546	inf	0.65176	0.0
('555868 213', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	1250.0	inf	0.84129	0.071353		0.9166	0.1053	0.84048	2.8673	inf	0.69127	0.14974		0.9639	0.105	0.68913	2.8004
('555869 214', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	2500.0	inf	0.551	0.24201		0.9916	0.0692	0.57185	4.0705	0.0709	0.021514	0.53534		0.9954	0.0684	0.065844	3.9828
('555870 215', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10264', 'smallmolecule_smLincsID: LSM-5690', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: Methotrexate', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 4')	5000.0	0.1528	0.47781	0.29489		0.9977	0.0744	0.47302	4.0589	0.0632	-0.30006	0.74052		0.9983	0.0712	-0.30962	4.0522
('555871 216', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	156.25	inf	0.65257	0.068922		0.8639	1.5276	0.60516	1.0995	17.4626	0.5351	0.10062		0.8773	1.6878	0.45298	1.0118
('555872 217', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	312.5	inf	0.61287	0.029018		0.8878	3.2987	0.58079	2.2343	2.9445	0.035714	0.12482		0.9344	3.0164	-0.027993	2.2601
('555873 218', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	625.0	3.8624	0.48236	0.071576		0.971	2.0408	0.47941	5.0	2.1286	0.062714	0.1491		0.9896	2.0786	0.055968	5.0
('555874 219', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	1250.0	2.904	0.43887	0.074533		0.9722	1.9623	0.42956	5.0	1.9993	0.058342	0.14587		0.9883	1.9619	0.045068	5.0
('555875 220', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	2500.0	2.8672	0.4518	0.089975		0.9838	1.8417	0.44533	5.0	1.9062	0.074777	0.16235		0.9924	1.8545	0.064226	5.0
('555876 221', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	5000.0	5.1697	0.48233	0.083467		0.9921	2.131	0.48056	3.6643	3.7519	0.42553	0.091618		0.9944	2.2452	0.42307	3.6452
('555877 222', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	156.25	inf	1.0016	-0.03764		-3.2326	inf	1.0016	0.0	inf	1.0117	-0.038918		-4.2879	inf	1.0117	0.0
('555878 223', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	312.5	inf	0.90599	0.025684		0.0495	inf	0.90599	0.0	inf	0.72517	0.11413		0.2187	inf	0.72517	0.0
('555879 224', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	625.0	inf	1.0213	-0.048858		-26.9944	inf	1.0213	0.0	inf	1.042	-0.049681		-381.2868	inf	1.042	0.0
('555880 225', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	1250.0	inf	0.93946	-0.039414		-0.5282	inf	0.93946	0.0	inf	0.90429	-0.038181		0.0754	inf	0.90429	0.0
('555881 226', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	2500.0	inf	0.9573	-0.01389		0.1362	inf	0.9573	0.0	inf	0.9316	-0.010188		0.3402	inf	0.9316	0.0
('555882 227', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	5000.0	inf	0.98632	-0.01416		-0.4715	inf	0.98632	0.0	inf	0.98718	-0.012942		-0.4592	inf	0.98718	0.0
('555883 228', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50057', 'cell_clName: SK-BR-3', 'replicate: 5')	156.25	inf	0.93864	0.035277		0.1524	inf	0.93864	0.0	inf	0.91783	0.0606		0.0733	inf	0.91783	0.0
