	('totalCellCountBeforeTreatment 0',)	('totalCellCountAfterTreatment 1',)	('totalControlCellCount 2',)	('relativeCellCount 3',)	('normalizedGrowthRateInhibitionValue 4',)
('ZSTK474 2906', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: ZSTK474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: M14')	1476.0	1549.0	3734.0	0.41483	0.036351
('ZSTK474 2907', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: ZSTK474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: M13')	1476.0	1533.0	3413.0	0.44913	0.031428
('ZSTK474 2908', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: ZSTK474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: M13')	1476.0	1455.0	3783.0	0.38456	-0.010857
('ZSTK474 2909', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: ZSTK474', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: M13')	1476.0	1531.0	3734.0	0.41001	0.027339
('BX-912 2910', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: L24')	1476.0	3059.0	3788.0	0.80741	0.70876
('BX-912 2911', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: L24')	1476.0	2813.0	3731.0	0.75391	0.61916
('BX-912 2912', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: L24')	1476.0	2558.0	3796.0	0.67375	0.49673
('BX-912 2913', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: L23')	1476.0	3121.0	3788.0	0.82378	0.73418
('BX-912 2914', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: L23')	1476.0	2920.0	3731.0	0.78259	0.665
('BX-912 2915', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: L23')	1476.0	2942.0	3796.0	0.7749	0.65856
('BX-912 2916', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: L22')	1476.0	1690.0	3788.0	0.44607	0.10434
('BX-912 2917', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: L22')	1476.0	1780.0	3731.0	0.47706	0.14991
('BX-912 2918', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: L22')	1476.0	1744.0	3796.0	0.45935	0.12988
('BX-912 2919', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: L21')	1476.0	1369.0	3788.0	0.36134	-0.054198
('BX-912 2920', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: L21')	1476.0	1228.0	3731.0	0.32912	-0.12883
('BX-912 2921', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: L21')	1476.0	1338.0	3796.0	0.35242	-0.069851
('BX-912 2922', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: L20')	1476.0	1379.0	3788.0	0.36398	-0.04912
('BX-912 2923', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: L20')	1476.0	1351.0	3731.0	0.36208	-0.064372
('BX-912 2924', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: L20')	1476.0	1486.0	3796.0	0.3914	0.0046096
('BX-912 2925', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: L19')	1476.0	1597.0	3788.0	0.42152	0.059299
('BX-912 2926', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: L19')	1476.0	1461.0	3731.0	0.39156	-0.0079706
('BX-912 2927', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: BX-912', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: L19')	1476.0	1599.0	3796.0	0.42116	0.060136
('Selumetinib 2928', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: M12')	1476.0	3894.0	3413.0	1.1408	1.2303
('Selumetinib 2929', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: M12')	1476.0	4148.0	3783.0	1.0963	1.1402
('Selumetinib 2930', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: M12')	1476.0	3860.0	3734.0	1.0337	1.0502
('Selumetinib 2931', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: M11')	1476.0	3727.0	3413.0	1.0919	1.1509
('Selumetinib 2932', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: M11')	1476.0	3649.0	3783.0	0.96445	0.94737
('Selumetinib 2933', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: M11')	1476.0	3765.0	3734.0	1.0083	1.0124
('Selumetinib 2934', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: M10')	1476.0	3609.0	3413.0	1.0573	1.0944
('Selumetinib 2935', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: M10')	1476.0	3927.0	3783.0	1.0379	1.0556
('Selumetinib 2936', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: M10')	1476.0	3610.0	3734.0	0.96677	0.95014
('Selumetinib 2937', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: M09')	1476.0	3720.0	3413.0	1.0899	1.1476
('Selumetinib 2938', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: M09')	1476.0	3809.0	3783.0	1.0067	1.0099
('Selumetinib 2939', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: M09')	1476.0	3828.0	3734.0	1.0252	1.0375
('Selumetinib 2940', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: M08')	1476.0	3516.0	3413.0	1.0301	1.0497
('Selumetinib 2941', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: M08')	1476.0	3859.0	3783.0	1.02	1.0293
('Selumetinib 2942', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: M08')	1476.0	3606.0	3734.0	0.9657	0.94852
('Selumetinib 2943', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: M07')	1476.0	3238.0	3413.0	0.94865	0.91465
('Selumetinib 2944', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: M07')	1476.0	3641.0	3783.0	0.96234	0.94422
('Selumetinib 2945', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: Selumetinib', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: M07')	1476.0	3687.0	3734.0	0.98739	0.98113
('MK2206 2946', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: F06')	1476.0	3469.0	3413.0	1.0163	1.027
('MK2206 2947', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: F06')	1476.0	3442.0	3783.0	0.90974	0.86536
('MK2206 2948', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: F06')	1476.0	3206.0	3734.0	0.85858	0.78465
('MK2206 2949', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: F05')	1476.0	2811.0	3413.0	0.82355	0.70326
('MK2206 2950', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: F05')	1476.0	2907.0	3783.0	0.76834	0.64707
('MK2206 2951', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: F05')	1476.0	3122.0	3734.0	0.83608	0.74959
('MK2206 2952', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: F04')	1476.0	2518.0	3413.0	0.73771	0.555
('MK2206 2953', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: F04')	1476.0	2522.0	3783.0	0.66658	0.48338
('MK2206 2954', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: F04')	1476.0	2632.0	3734.0	0.70486	0.54005
('MK2206 2955', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: F03')	1476.0	2401.0	3413.0	0.70343	0.49498
('MK2206 2956', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: F03')	1476.0	2463.0	3783.0	0.65098	0.45774
('MK2206 2957', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: F03')	1476.0	2474.0	3734.0	0.66255	0.47044
('MK2206 2958', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: F02')	1476.0	2103.0	3413.0	0.61612	0.33975
('MK2206 2959', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: F02')	1476.0	1992.0	3783.0	0.5265	0.24672
('MK2206 2960', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: F02')	1476.0	2167.0	3734.0	0.58033	0.33184
('MK2206 2961', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: F01')	1476.0	1328.0	3413.0	0.38907	-0.08407
('MK2206 2962', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: F01')	1476.0	1261.0	3783.0	0.33329	-0.10983
('MK2206 2963', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: MK2206', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: F01')	1476.0	1438.0	3734.0	0.3851	-0.019656
('AZD-6482 2964', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I06')	1476.0	3466.0	3788.0	0.91484	0.87323
('AZD-6482 2965', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: I06')	1476.0	3729.0	3731.0	0.99941	0.99911
('AZD-6482 2966', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I06')	1476.0	4140.0	3796.0	1.0904	1.1312
('AZD-6482 2967', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I05')	1476.0	3575.0	3788.0	0.94361	0.9164
('AZD-6482 2968', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: I05')	1476.0	3498.0	3731.0	0.9375	0.90576
('AZD-6482 2969', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I05')	1476.0	4015.0	3796.0	1.0575	1.0838
('AZD-6482 2970', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I04')	1476.0	4283.0	3788.0	1.1305	1.1888
('AZD-6482 2971', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: I04')	1476.0	3963.0	3731.0	1.0621	1.0922
('AZD-6482 2972', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I04')	1476.0	3670.0	3796.0	0.96664	0.95081
('AZD-6482 2973', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I03')	1476.0	3473.0	3788.0	0.91669	0.87602
('AZD-6482 2974', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: I03')	1476.0	3435.0	3731.0	0.92061	0.88004
('AZD-6482 2975', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I03')	1476.0	3577.0	3796.0	0.94215	0.9144
('AZD-6482 2976', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I02')	1476.0	2173.0	3788.0	0.57356	0.32868
('AZD-6482 2977', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: I02')	1476.0	2333.0	3731.0	0.62527	0.40775
('AZD-6482 2978', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I02')	1476.0	2527.0	3796.0	0.66559	0.48339
('AZD-6482 2979', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: I01')	1476.0	1019.0	3788.0	0.26896	-0.23886
('AZD-6482 2980', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: I01')	1476.0	1241.0	3731.0	0.3326	-0.12195
('AZD-6482 2981', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: AZD-6482', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: I01')	1476.0	1335.0	3796.0	0.35163	-0.071382
('NU7441 2982', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: C12')	1476.0	4009.0	3788.0	1.0582	1.0849
('NU7441 2983', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: C12')	1476.0	4054.0	3731.0	1.0865	1.128
('NU7441 2984', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: C12')	1476.0	3832.0	3796.0	1.0093	1.0137
('NU7441 2985', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: C11')	1476.0	3664.0	3788.0	0.9671	0.95138
('NU7441 2986', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: C11')	1476.0	4036.0	3731.0	1.0817	1.121
('NU7441 2987', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: C11')	1476.0	3577.0	3796.0	0.94215	0.9144
('NU7441 2988', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: C10')	1476.0	3254.0	3788.0	0.85888	0.78824
('NU7441 2989', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: C10')	1476.0	3320.0	3731.0	0.88979	0.83277
('NU7441 2990', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: C10')	1476.0	3391.0	3796.0	0.89316	0.84081
('NU7441 2991', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: C09')	1476.0	2835.0	3788.0	0.74829	0.61579
('NU7441 2992', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: C09')	1476.0	2851.0	3731.0	0.76409	0.63549
('NU7441 2993', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: C09')	1476.0	2608.0	3796.0	0.68692	0.51815
('NU7441 2994', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: C08')	1476.0	2783.0	3788.0	0.73456	0.59393
('NU7441 2995', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: C08')	1476.0	2645.0	3731.0	0.70888	0.54629
('NU7441 2996', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: C08')	1476.0	2603.0	3796.0	0.68561	0.51601
('NU7441 2997', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: C07')	1476.0	1710.0	3788.0	0.45135	0.11394
('NU7441 2998', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: C07')	1476.0	1811.0	3731.0	0.48536	0.16485
('NU7441 2999', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: NU7441', 'cell_clName: SK-BR-3', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: C07')	1476.0	1763.0	3796.0	0.46436	0.1389
('OSI-027 3000', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: OSI-027', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: E12')	1476.0	2853.0	3413.0	0.83585	0.72428
('OSI-027 3001', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: OSI-027', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 2', 'assayWell: E12')	1476.0	3433.0	3783.0	0.90736	0.86176
('OSI-027 3002', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: OSI-027', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6', 'replicate: 3', 'assayWell: E12')	1476.0	3536.0	3734.0	0.94696	0.92019
('OSI-027 3003', 'smallmolecule_smSalt: 102.0', 'smallmolecule_smName: OSI-027', 'cell_clName: SK-BR-3', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6', 'replicate: 1', 'assayWell: E11')	1476.0	2097.0	3413.0	0.61436	0.33659
