	('PC1Loading 0',)	('PC2Loading 1',)
(' 208', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p-Histone H3(S10)')	6.2896	-0.235
(' 209', 'clName: COLO 858', 'clCenterSpecificID: 50149', 'timePoint: 48', 'variable: p27 Kip1')	-2.5443	-1.7226
(' 210', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: pMEK(S217/221)')	5.4543	-5.4691
(' 211', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: pERK(T202/Y204)')	10.002	-0.048405
(' 212', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-p90RSK(S380)')	0.91656	-0.034991
(' 213', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-p90RSK(T573)')	0.87054	-0.26167
(' 214', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-AKT(T308)')		
(' 215', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-AKT(S473)')	-0.18648	-0.023221
(' 216', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-mTOR(S2448)')	0.25683	-0.21242
(' 217', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	0.69444	-0.083871
(' 218', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-p70S6K(T389)')	0.92735	-0.28136
(' 219', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-S6(S235/236)')	1.2904	0.19028
(' 220', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-AMPK(T172)')	0.10272	-0.10504
(' 221', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	0.98643	-0.27479
(' 222', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: Total c-Jun')	0.98264	-0.3178
(' 223', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-cJun(S63)')	0.49806	-0.2391
(' 224', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	1.0473	-0.58664
(' 225', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-HSP27(S82)')	0.63952	-0.28587
(' 226', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-NFKB(S536)')	0.29398	-0.13852
(' 227', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: Bim')	0.49984	-0.39665
(' 228', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: cPARP')	0.3144	-0.14535
(' 229', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p-Histone H3(S10)')	0.08862	-0.15508
(' 230', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 1', 'variable: p27 Kip1')	0.33128	-0.0017954
(' 231', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: pMEK(S217/221)')	4.2663	-5.016
(' 232', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: pERK(T202/Y204)')	8.4688	1.3034
(' 233', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-p90RSK(S380)')	-0.31708	0.18157
(' 234', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-p90RSK(T573)')	-0.33709	-0.18118
(' 235', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-AKT(T308)')		
(' 236', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-AKT(S473)')	-1.2307	0.088608
(' 237', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-mTOR(S2448)')	-0.78859	-0.038397
(' 238', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	-0.49141	0.092688
(' 239', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-p70S6K(T389)')	0.9369	0.2606
(' 240', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-S6(S235/236)')	1.7897	-0.034995
(' 241', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-AMPK(T172)')	-1.0471	-0.25673
(' 242', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	-0.9135	0.11905
(' 243', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: Total c-Jun')	0.85293	0.1831
(' 244', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-cJun(S63)')	0.24696	0.09114
(' 245', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	-0.48809	-0.15335
(' 246', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-HSP27(S82)')	-0.77078	0.20206
(' 247', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-NFKB(S536)')	-1.0765	0.23701
(' 248', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: Bim')	-2.0734	-0.072902
(' 249', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: cPARP')	-1.0256	0.17606
(' 250', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-2.013	0.003164
(' 251', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 5', 'variable: p27 Kip1')	-0.90704	0.01024
(' 252', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: pMEK(S217/221)')	6.0498	-5.5885
(' 253', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: pERK(T202/Y204)')	9.6116	1.0695
(' 254', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-p90RSK(S380)')	1.1434	0.020501
(' 255', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-p90RSK(T573)')	0.86412	-0.10965
(' 256', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-AKT(T308)')		
(' 257', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-AKT(S473)')	0.015525	0.1352
(' 258', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-mTOR(S2448)')	0.9146	-0.04945
(' 259', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	1.4312	-0.01179
(' 260', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-p70S6K(T389)')	3.2374	0.026342
(' 261', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-S6(S235/236)')	6.2861	0.42465
(' 262', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-AMPK(T172)')	1.0961	-0.16772
(' 263', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	1.2758	-0.058866
(' 264', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: Total c-Jun')	2.4573	0.052691
(' 265', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-cJun(S63)')	1.9096	0.12645
(' 266', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	1.0491	-0.37919
(' 267', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-HSP27(S82)')	0.85516	-0.055134
(' 268', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-NFKB(S536)')	0.68233	-0.0033358
(' 269', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: Bim')	-0.4146	-0.32815
(' 270', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: cPARP')	0.41433	-0.11464
(' 271', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p-Histone H3(S10)')	-0.77953	-0.13356
(' 272', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 10', 'variable: p27 Kip1')	-1.3481	-0.19965
(' 273', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: pMEK(S217/221)')	3.5799	-5.3632
(' 274', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: pERK(T202/Y204)')	5.5107	0.87128
(' 275', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-p90RSK(S380)')	-1.9752	0.14351
(' 276', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-p90RSK(T573)')	-1.1561	-0.098591
(' 277', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-AKT(T308)')		
(' 278', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-AKT(S473)')	-3.4461	0.3281
(' 279', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-mTOR(S2448)')	-0.74897	0.25577
(' 280', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	-0.85518	0.12891
(' 281', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-p70S6K(T389)')	1.5996	0.35027
(' 282', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-S6(S235/236)')	4.8965	0.39146
(' 283', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-AMPK(T172)')	0.25555	0.40506
(' 284', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	-2.4856	0.054952
(' 285', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: Total c-Jun')	-1.189	0.30422
(' 286', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-cJun(S63)')	-1.3589	0.33625
(' 287', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	-2.1707	-0.40029
(' 288', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-HSP27(S82)')	-2.7768	0.17225
(' 289', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-NFKB(S536)')	-2.0401	0.011179
(' 290', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: Bim')	-5.1445	-0.22263
(' 291', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: cPARP')	-2.9257	-0.26219
(' 292', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p-Histone H3(S10)')	3.8801	0.58744
(' 293', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 24', 'variable: p27 Kip1')	-4.9545	-0.40833
(' 294', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: pMEK(S217/221)')	2.7136	-5.7443
(' 295', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: pERK(T202/Y204)')	4.3419	-0.036486
(' 296', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-p90RSK(S380)')	-2.4114	-0.16412
(' 297', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-p90RSK(T573)')	-1.6645	-0.40273
(' 298', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-AKT(T308)')		
(' 299', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-AKT(S473)')	-4.0747	-0.50698
(' 300', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-mTOR(S2448)')	-0.77565	0.17073
(' 301', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	-1.5026	-0.34102
(' 302', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-p70S6K(T389)')	-0.50446	-0.028045
(' 303', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-S6(S235/236)')	3.0399	0.13259
(' 304', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-AMPK(T172)')	-2.0818	-0.52141
(' 305', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	-2.8778	-0.40828
(' 306', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: Total c-Jun')	-3.8309	-0.22865
(' 307', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-cJun(S63)')	-4.0581	-0.20309
(' 308', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	-3.2215	-0.71935
(' 309', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-HSP27(S82)')	-4.2896	-0.14295
(' 310', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-NFKB(S536)')	-2.6875	-0.45045
(' 311', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: Bim')	-5.8092	-0.89063
(' 312', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: cPARP')	-3.5613	-0.67331
(' 313', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p-Histone H3(S10)')	8.1074	1.3525
(' 314', 'clName: K2', 'clCenterSpecificID: 51100', 'timePoint: 48', 'variable: p27 Kip1')	-6.3554	-1.1737
(' 315', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: pMEK(S217/221)')	1.9014	-5.1153
(' 316', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: pERK(T202/Y204)')	4.846	-3.0747
(' 317', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-p90RSK(S380)')	0.74791	-0.35953
(' 318', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-p90RSK(T573)')	0.65761	-0.21995
(' 319', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-AKT(T308)')		
(' 320', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-AKT(S473)')	0.43841	0.52891
(' 321', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-mTOR(S2448)')	1.1166	-0.51846
(' 322', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	2.1688	-0.97852
(' 323', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-p70S6K(T389)')	1.953	-0.5305
(' 324', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-S6(S235/236)')	0.28868	-0.49513
(' 325', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-AMPK(T172)')	1.3346	-0.37751
(' 326', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	1.2937	-0.49629
(' 327', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: Total c-Jun')	1.2267	-0.57348
(' 328', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-cJun(S63)')	1.127	-0.45721
(' 329', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	3.0611	-2.683
(' 330', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-HSP27(S82)')	1.0841	-0.5
(' 331', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-NFKB(S536)')	0.99121	-0.35991
(' 332', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: Bim')	1.8931	-0.30201
(' 333', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: cPARP')	1.0954	-0.28306
(' 334', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p-Histone H3(S10)')	0.37486	0.64204
(' 335', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 1', 'variable: p27 Kip1')	1.4428	-0.79372
(' 336', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: pMEK(S217/221)')	0.53975	-4.0846
(' 337', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: pERK(T202/Y204)')	3.0199	-0.43901
(' 338', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-p90RSK(S380)')	0.32683	0.72858
(' 339', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-p90RSK(T573)')	0.51262	0.27323
(' 340', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-AKT(T308)')		
(' 341', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-AKT(S473)')	-0.28148	1.3581
(' 342', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-mTOR(S2448)')	0.13649	1.0306
(' 343', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	0.093934	1.5303
(' 344', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-p70S6K(T389)')	0.21672	1.9381
(' 345', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-S6(S235/236)')	1.0402	-0.28521
(' 346', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-AMPK(T172)')	-0.10043	1.1044
(' 347', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	0.17028	1.0967
(' 348', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: Total c-Jun')	0.9766	0.51354
(' 349', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-cJun(S63)')	-1.0745	1.7444
(' 350', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	-0.1395	1.1794
(' 351', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-HSP27(S82)')	0.17619	0.69578
(' 352', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-NFKB(S536)')	-0.20308	1.2591
(' 353', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: Bim')	0.057755	1.6104
(' 354', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: cPARP')	0.037541	1.2298
(' 355', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-0.16373	1.229
(' 356', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 5', 'variable: p27 Kip1')	0.6093	0.3523
(' 357', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: pMEK(S217/221)')	1.4806	-5.2147
(' 358', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: pERK(T202/Y204)')	4.8011	-1.9199
(' 359', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-p90RSK(S380)')	1.131	-0.093597
(' 360', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-p90RSK(T573)')	1.5106	-0.21652
(' 361', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-AKT(T308)')		
(' 362', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-AKT(S473)')	1.1273	0.24639
(' 363', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-mTOR(S2448)')	1.5666	-0.18706
(' 364', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	2.3471	-0.075306
(' 365', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-p70S6K(T389)')	2.3707	-0.070023
(' 366', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-S6(S235/236)')	2.3417	-1.0871
(' 367', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-AMPK(T172)')	1.2584	-0.0922
(' 368', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	1.5213	0.17262
(' 369', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: Total c-Jun')	2.1078	-0.47824
(' 370', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-cJun(S63)')	0.56429	0.43862
(' 371', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	2.2176	-0.79864
(' 372', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-HSP27(S82)')	1.1994	-0.22674
(' 373', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-NFKB(S536)')	1.0734	0.29559
(' 374', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: Bim')	1.6265	0.28689
(' 375', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: cPARP')	0.96645	0.34815
(' 376', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p-Histone H3(S10)')	0.9709	0.24712
(' 377', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 10', 'variable: p27 Kip1')	0.88263	-0.1722
(' 378', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: pMEK(S217/221)')	0.77258	-5.5734
(' 379', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: pERK(T202/Y204)')	2.4696	-0.83956
(' 380', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-p90RSK(S380)')	0.99782	0.1629
(' 381', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-p90RSK(T573)')	0.70491	0.13171
(' 382', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-AKT(T308)')		
(' 383', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-AKT(S473)')	-0.30402	1.0211
(' 384', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-mTOR(S2448)')	0.53089	0.47276
(' 385', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	0.47519	1.1027
(' 386', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-p70S6K(T389)')	1.5359	1.0556
(' 387', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-S6(S235/236)')	2.5414	-1.3744
(' 388', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-AMPK(T172)')	-0.2334	1.0602
(' 389', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	0.384	1.0472
(' 390', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: Total c-Jun')	1.7099	-0.35062
(' 391', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-cJun(S63)')	0.13391	0.54488
(' 392', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	0.63688	0.50756
(' 393', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-HSP27(S82)')	0.36387	0.30241
(' 394', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-NFKB(S536)')	0.16404	0.60448
(' 395', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: Bim')	-0.11516	1.5493
(' 396', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: cPARP')	0.052435	0.85122
(' 397', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p-Histone H3(S10)')	3.3984	-0.78259
(' 398', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 24', 'variable: p27 Kip1')	-0.1116	0.26765
(' 399', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: pMEK(S217/221)')	0.80333	-6.0035
(' 400', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: pERK(T202/Y204)')	1.8712	-1.7989
(' 401', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-p90RSK(S380)')	0.62773	-0.21142
(' 402', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-p90RSK(T573)')	0.079216	0.017999
(' 403', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-AKT(T308)')		
(' 404', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-AKT(S473)')	0.88994	-0.50061
(' 405', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-mTOR(S2448)')	0.45549	-0.2539
(' 406', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	1.0624	-0.65301
(' 407', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-p70S6K(T389)')	1.5834	-0.57849
(' 408', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-S6(S235/236)')	-1.137	0.97235
(' 409', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-AMPK(T172)')	-0.34394	0.15956
(' 410', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	0.35269	-0.20453
(' 411', 'clName: LOXIMVI', 'clCenterSpecificID: 50988', 'timePoint: 48', 'variable: Total c-Jun')	0.93653	-0.48173
