	('meanRelativeCellCountAfterTreatment 0',)	('standardErroroftheMeanforRelativeCellCountAfterTreatment 1',)	('meanRelativeGrowthRateAfterTreatment 2',)	('standardErroroftheMeanforRelativeGrowthRateAfterTreatment 3',)
('335243 247', 'smCenterCompoundID: 10031', 'smSalt: 101', 'smLincsID: LSM-1031', 'smName: KIN001-043', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.94003	0.03791	0.91107	0.057614
('335244 248', 'smCenterCompoundID: 10233', 'smSalt: 101', 'smLincsID: LSM-4256', 'smName: BYL719', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.78667	0.017334	0.69162	0.020901
('335245 249', 'smCenterCompoundID: 10161', 'smSalt: 101', 'smLincsID: LSM-1162', 'smName: NVP-AUY922', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.28788	0.025558	-0.033333	0.056865
('335246 250', 'smCenterCompoundID: 10045', 'smSalt: 101', 'smLincsID: LSM-1045', 'smName: A443654', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.32322	0.093539	0.024628	0.11798
('335247 251', 'smCenterCompoundID: 10063', 'smSalt: 102', 'smLincsID: LSM-1063', 'smName: OSI-027', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.68599	0.057312	0.54818	0.07584
('335248 252', 'smCenterCompoundID: 10087', 'smSalt: 101', 'smLincsID: LSM-5577', 'smName: XMD11-85h', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.92525	0.070795	0.89529	0.10064
('335249 253', 'smCenterCompoundID: 10017', 'smSalt: 101', 'smLincsID: LSM-6015', 'smName: HG-6-64-01', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.85882	0.10431	0.80131	0.14864
('335250 254', 'smCenterCompoundID: 10039', 'smSalt: 101', 'smLincsID: LSM-5431', 'smName: WH-4-025', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.70196	0.027219	0.56788	0.0406
('335251 255', 'smCenterCompoundID: 10082', 'smSalt: 101', 'smLincsID: LSM-5545', 'smName: WZ-4-145', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.84882	0.081872	0.78546	0.11531
('335252 256', 'smCenterCompoundID: 10091', 'smSalt: 101', 'smLincsID: LSM-6299', 'smName: XMD16-144', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.36121	0.014292	0.073862	0.033889
('335253 257', 'smCenterCompoundID: 10177', 'smSalt: 101', 'smLincsID: LSM-1178', 'smName: Brivanib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.97865	0.007167	0.96931	0.010082
('335254 258', 'smCenterCompoundID: 10147', 'smSalt: 101', 'smLincsID: LSM-1148', 'smName: NVP-BKM120', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.62118	0.051984	0.45316	0.066923
('335255 259', 'smCenterCompoundID: 10055', 'smSalt: 101', 'smLincsID: LSM-1055', 'smName: BX-912', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.96517	0.01357	0.94906	0.020413
('335256 260', 'smCenterCompoundID: 10120', 'smSalt: 102', 'smLincsID: LSM-1120', 'smName: Canertinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.84591	0.019925	0.77784	0.024948
('335257 261', 'smCenterCompoundID: 10117', 'smSalt: 101', 'smLincsID: LSM-1117', 'smName: Celastrol', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.87391	0.026965	0.81869	0.036529
('335258 262', 'smCenterCompoundID: 10025', 'smSalt: 101', 'smLincsID: LSM-1025', 'smName: CGP60474', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.19108	0.051012	-0.17452	0.093893
('335259 263', 'smCenterCompoundID: 10025', 'smSalt: 101', 'smLincsID: LSM-1025', 'smName: CGP60474', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.16211	0.017691	-0.21521	0.049105
('335260 264', 'smCenterCompoundID: 10180', 'smSalt: 101', 'smLincsID: LSM-1181', 'smName: CHIR-99021', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.947	0.043537	0.92458	0.061176
('335261 265', 'smCenterCompoundID: 10010', 'smSalt: 101', 'smLincsID: LSM-1010', 'smName: CP724714', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.92574	0.022658	0.89202	0.032827
('335262 266', 'smCenterCompoundID: 10009', 'smSalt: 101', 'smLincsID: LSM-1009', 'smName: CP466722', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1.027	0.017758	1.0389	0.025302
('335263 267', 'smCenterCompoundID: 10027', 'smSalt: 101', 'smLincsID: LSM-1027', 'smName: Crizotinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.86789	0.0028463	0.80844	0.007197
('335264 268', 'smCenterCompoundID: 10140', 'smSalt: 101', 'smLincsID: LSM-1141', 'smName: CYT387', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.87985	0.041671	0.82665	0.058941
('335265 269', 'smCenterCompoundID: 10020', 'smSalt: 101', 'smLincsID: LSM-1020', 'smName: Dasatinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.37807	0.017502	0.099215	0.021785
('335266 270', 'smCenterCompoundID: 10020', 'smSalt: 101', 'smLincsID: LSM-1020', 'smName: Dasatinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.34856	0.049064	0.058742	0.053764
('335267 271', 'smCenterCompoundID: 10127', 'smSalt: 101', 'smLincsID: LSM-1127', 'smName: Dovitinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.54934	0.062264	0.35001	0.078887
('335268 272', 'smCenterCompoundID: 10069', 'smSalt: 101', 'smLincsID: LSM-1069', 'smName: Enzastaurin', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1.0795	0.022422	1.1141	0.031091
('335269 273', 'smCenterCompoundID: 10097', 'smSalt: 101', 'smLincsID: LSM-1097', 'smName: Erlotinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.93105	0.034316	0.90207	0.048495
('335270 274', 'smCenterCompoundID: 10157', 'smSalt: 101', 'smLincsID: LSM-1158', 'smName: Foretinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.45156	0.067589	0.20261	0.11012
('335271 275', 'smCenterCompoundID: 10040', 'smSalt: 101', 'smLincsID: LSM-1040', 'smName: R406', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.95887	0.028366	0.94029	0.040622
('335272 276', 'smCenterCompoundID: 10047', 'smSalt: 101', 'smLincsID: LSM-1047', 'smName: GDC-0941', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.60969	0.076868	0.43878	0.10157
('335273 277', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.93036	0.028046	0.90032	0.038755
('335274 278', 'smCenterCompoundID: 10108', 'smSalt: 101', 'smLincsID: LSM-1108', 'smName: Geldanamycin', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.28879	0.019723	-0.031589	0.046824
('335275 279', 'smCenterCompoundID: 10108', 'smSalt: 101', 'smLincsID: LSM-1108', 'smName: Geldanamycin', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.27976	0.028628	-0.044374	0.052683
('335276 280', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.38185	0.01232	0.10475	0.01041
('335277 281', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.4551	0.076024	0.21317	0.10136
('335278 282', 'smCenterCompoundID: 10134', 'smSalt: 101', 'smLincsID: LSM-1134', 'smName: GSK1904529A', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.91218	0.011578	0.87325	0.014723
('335279 283', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.20481	0.022567	-0.15185	0.030354
('335280 284', 'smCenterCompoundID: 10128', 'smSalt: 101', 'smLincsID: LSM-1128', 'smName: GSK 690693', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.72143	0.050202	0.59797	0.067146
('335281 285', 'smCenterCompoundID: 10014', 'smSalt: 101', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.5032	0.11087	0.28636	0.14967
('335282 286', 'smCenterCompoundID: 10015', 'smSalt: 101', 'smLincsID: LSM-5982', 'smName: HG-5-113-01', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.84003	0.030758	0.76733	0.046119
('335283 287', 'smCenterCompoundID: 10016', 'smSalt: 101', 'smLincsID: LSM-5245', 'smName: HG-5-88-01', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.9298	0.019076	0.89856	0.026619
('335284 288', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.9737	0.010068	0.96145	0.01535
('335285 289', 'smCenterCompoundID: 10100', 'smSalt: 101', 'smLincsID: LSM-36386', 'smName: JNK-9L', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.67014	0.11816	0.52882	0.16476
('335286 290', 'smCenterCompoundID: 10019', 'smSalt: 101', 'smLincsID: LSM-5674', 'smName: JW-7-24-1', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.83823	0.043034	0.76792	0.058275
('335287 291', 'smCenterCompoundID: 10051', 'smSalt: 104', 'smLincsID: LSM-1051', 'smName: Lapatinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.95137	0.028209	0.93065	0.039407
('335288 292', 'smCenterCompoundID: 10115', 'smSalt: 102', 'smLincsID: LSM-1115', 'smName: LDN-193189', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.94212	0.046593	0.91808	0.065587
('335289 293', 'smCenterCompoundID: 10182', 'smSalt: 101', 'smLincsID: LSM-1183', 'smName: Linifanib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1.0398	0.01638	1.0581	0.023805
('335290 294', 'smCenterCompoundID: 10135', 'smSalt: 101', 'smLincsID: LSM-1135', 'smName: Linsitinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.97085	0.034988	0.95912	0.050628
('335291 295', 'smCenterCompoundID: 10479', 'smSalt: 102', 'smLincsID: ', 'smName: Mitoxantrone', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.25088	0.034235	-0.086986	0.066918
('335292 296', 'smCenterCompoundID: 10479', 'smSalt: 102', 'smLincsID: ', 'smName: Mitoxantrone', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.2721	0.021208	-0.055636	0.047091
('335293 297', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.73223	0.063132	0.6155	0.084764
('335294 298', 'smCenterCompoundID: 10018', 'smSalt: 101', 'smLincsID: LSM-1018', 'smName: Neratinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.70681	0.053887	0.5769	0.072164
('335295 299', 'smCenterCompoundID: 10099', 'smSalt: 101', 'smLincsID: LSM-1099', 'smName: Nilotinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1.032	0.018266	1.0472	0.027611
('335296 300', 'smCenterCompoundID: 10151', 'smSalt: 101', 'smLincsID: LSM-1152', 'smName: BIBF-1120', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.86753	0.063981	0.80928	0.089631
('335297 301', 'smCenterCompoundID: 10061', 'smSalt: 101', 'smLincsID: LSM-1061', 'smName: NU7441', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1.0154	0.016991	1.0216	0.024646
('335298 302', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.34648	0.034132	0.053893	0.042119
('335299 303', 'smCenterCompoundID: 10024', 'smSalt: 101', 'smLincsID: LSM-1024', 'smName: NVP-TAE684', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.95643	0.044742	0.9393	0.064949
('335300 304', 'smCenterCompoundID: 10071', 'smSalt: 101', 'smLincsID: LSM-1071', 'smName: PD0332991', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.55054	0.062794	0.35226	0.079212
('335301 305', 'smCenterCompoundID: 10101', 'smSalt: 101', 'smLincsID: LSM-1101', 'smName: PD0325901', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.88656	0.057425	0.83784	0.079931
('335302 306', 'smCenterCompoundID: 10101', 'smSalt: 101', 'smLincsID: LSM-1101', 'smName: PD0325901', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.8454	0.05226	0.7777	0.071967
('335303 307', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1.0593	0.025524	1.0852	0.036195
('335304 308', 'smCenterCompoundID: 10048', 'smSalt: 101', 'smLincsID: LSM-1048', 'smName: PD184352', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1.0216	0.023377	1.0313	0.033227
('335305 309', 'smCenterCompoundID: 10159', 'smSalt: 101', 'smLincsID: LSM-1160', 'smName: Pelitinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.82226	0.0048976	0.74268	0.0029843
('335306 310', 'smCenterCompoundID: 10116', 'smSalt: 101', 'smLincsID: LSM-1116', 'smName: PF431396', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.56238	0.052248	0.36714	0.069469
('335307 311', 'smCenterCompoundID: 10112', 'smSalt: 101', 'smLincsID: LSM-1112', 'smName: PF477736', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.97695	0.0046846	0.9667	0.0065247
('335308 312', 'smCenterCompoundID: 10072', 'smSalt: 101', 'smLincsID: LSM-1072', 'smName: PF562271', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.83286	0.038029	0.75999	0.051098
('335309 313', 'smCenterCompoundID: 10125', 'smSalt: 101', 'smLincsID: LSM-1125', 'smName: PHA-665752', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1.0211	0.0061757	1.0303	0.0084022
('335310 314', 'smCenterCompoundID: 10073', 'smSalt: 101', 'smLincsID: LSM-1073', 'smName: PHA-793887', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.46591	0.047806	0.22866	0.054941
('335311 315', 'smCenterCompoundID: 10126', 'smSalt: 101', 'smLincsID: LSM-1126', 'smName: PI103', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.52203	0.13076	0.31487	0.17823
('335312 316', 'smCenterCompoundID: 10049', 'smSalt: 101', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.98058	0.024337	0.97299	0.034588
('335313 317', 'smCenterCompoundID: 10075', 'smSalt: 101', 'smLincsID: LSM-5803', 'smName: QL-X-138', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.69855	0.056778	0.56644	0.074839
('335314 318', 'smCenterCompoundID: 10077', 'smSalt: 101', 'smLincsID: LSM-6019', 'smName: QL-XII-47', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.51728	0.10914	0.3062	0.14576
('335315 319', 'smCenterCompoundID: 10480', 'smSalt: 101', 'smLincsID: ', 'smName: Radicicol', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.36961	0.026559	0.085028	0.056346
('335316 320', 'smCenterCompoundID: 10480', 'smSalt: 101', 'smLincsID: ', 'smName: Radicicol', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.37587	0.019345	0.095751	0.02936
('335317 321', 'smCenterCompoundID: 10001', 'smSalt: 101', 'smLincsID: LSM-1001', 'smName: (R)- Roscovitine', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.94096	0.014939	0.91519	0.02013
('335318 322', 'smCenterCompoundID: 10138', 'smSalt: 105', 'smLincsID: LSM-1139', 'smName: Ruxolitinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.97208	0.023058	0.96059	0.033275
('335319 323', 'smCenterCompoundID: 10148', 'smSalt: 101', 'smLincsID: LSM-1149', 'smName: XL147', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1.0188	0.041511	1.0255	0.059058
('335320 324', 'smCenterCompoundID: 10032', 'smSalt: 101', 'smLincsID: LSM-1032', 'smName: Saracatinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.88155	0.020977	0.82941	0.027373
('335321 325', 'smCenterCompoundID: 10056', 'smSalt: 101', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.98001	0.027623	0.97104	0.039376
('335322 326', 'smCenterCompoundID: 10052', 'smSalt: 101', 'smLincsID: LSM-1052', 'smName: Rapamycin', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.62215	0.022991	0.45282	0.031059
('335323 327', 'smCenterCompoundID: 10008', 'smSalt: 101', 'smLincsID: LSM-1008', 'smName: Sorafenib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.86544	0.029181	0.80642	0.038872
('335324 328', 'smCenterCompoundID: 10119', 'smSalt: 101', 'smLincsID: LSM-1119', 'smName: SU11274', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1.0195	0.015719	1.0284	0.022681
('335325 329', 'smCenterCompoundID: 10141', 'smSalt: 101', 'smLincsID: LSM-1142', 'smName: TG 101348', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.95905	0.011676	0.9413	0.015898
('335326 330', 'smCenterCompoundID: 10171', 'smSalt: 101', 'smLincsID: LSM-1172', 'smName: TGX221', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	1.0218	0.0099259	1.0322	0.015275
('335327 331', 'smCenterCompoundID: 10079', 'smSalt: 101', 'smLincsID: LSM-1079', 'smName: Torin1', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.31682	0.027102	0.011334	0.02277
('335328 332', 'smCenterCompoundID: 10080', 'smSalt: 101', 'smLincsID: LSM-1080', 'smName: Torin2', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.24582	0.022438	-0.092582	0.032558
('335329 333', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.2995	0.014484	-0.016035	0.041732
('335330 334', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.80224	0.027846	0.715	0.03516
('335331 335', 'smCenterCompoundID: 10111', 'smSalt: 101', 'smLincsID: LSM-1111', 'smName: TWS119', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.99134	0.025834	0.98886	0.037403
('335332 336', 'smCenterCompoundID: 10068', 'smSalt: 101', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.98606	0.017904	0.98041	0.025294
('335333 337', 'smCenterCompoundID: 10481', 'smSalt: 101', 'smLincsID: ', 'smName: Withaferin A', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.78176	0.042877	0.68286	0.064433
('335334 338', 'smCenterCompoundID: 10481', 'smSalt: 101', 'smLincsID: ', 'smName: Withaferin A', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.75858	0.081741	0.65402	0.11211
('335335 339', 'smCenterCompoundID: 10064', 'smSalt: 101', 'smLincsID: LSM-1064', 'smName: WYE-125132', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.4245	0.038994	0.16791	0.042685
('335336 340', 'smCenterCompoundID: 10084', 'smSalt: 101', 'smLincsID: LSM-5970', 'smName: WZ3105', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.28436	0.037891	-0.039088	0.075143
('335337 341', 'smCenterCompoundID: 10086', 'smSalt: 101', 'smLincsID: LSM-1086', 'smName: XMD11-50', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.82446	0.077446	0.74996	0.10827
('335338 342', 'smCenterCompoundID: 10149', 'smSalt: 102', 'smLincsID: LSM-1150', 'smName: Y39983', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.94851	0.042735	0.92768	0.061772
('335339 343', 'smCenterCompoundID: 10109', 'smSalt: 101', 'smLincsID: LSM-1109', 'smName: YM 201636', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.96344	0.015388	0.94727	0.021835
('335340 344', 'smCenterCompoundID: 10053', 'smSalt: 101', 'smLincsID: LSM-1053', 'smName: ZSTK474', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.68895	0.12225	0.55633	0.17101
('335341 345', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.8758	0.025706	0.82005	0.036728
